layer,split_train,rank_abs_mean_difference_train,feature_id,mean_safe_train,mean_unsafe_train,unsafe_minus_safe_train,prevalence_safe_train,prevalence_unsafe_train,split_eval,rank_abs_mean_difference_eval,mean_safe_eval,mean_unsafe_eval,unsafe_minus_safe_eval,prevalence_safe_eval,prevalence_unsafe_eval,abs_train_difference,feature
25,train,8,4370,4.200704574584961,3.885913372039795,-0.314791202545166,1.0,1.0,eval,12,4.191957950592041,3.872447013854981,-0.3195109367370605,1.0,1.0,0.314791202545166,L25·F4370
25,train,7,23434,3.2637529373168945,2.944777250289917,-0.3189756870269775,1.0,1.0,eval,5,3.244776964187622,2.905015468597412,-0.3397614955902099,1.0,1.0,0.3189756870269775,L25·F23434
25,train,6,8538,3.1821959018707275,2.8599212169647217,-0.3222746849060058,1.0,1.0,eval,6,3.138406753540039,2.802167654037476,-0.3362390995025635,1.0,1.0,0.3222746849060058,L25·F8538
25,train,5,25864,4.596255302429199,4.258126258850098,-0.3381290435791015,1.0,1.0,eval,1,4.561117649078369,4.162012100219727,-0.3991055488586426,1.0,1.0,0.3381290435791015,L25·F25864
25,train,4,9097,3.05266547203064,2.7105891704559326,-0.342076301574707,1.0,1.0,eval,3,3.023681402206421,2.663801908493042,-0.3598794937133789,1.0,1.0,0.342076301574707,L25·F9097
25,train,3,25555,4.250425815582275,3.903313159942627,-0.3471126556396484,1.0,1.0,eval,8,4.214104652404785,3.8804309368133545,-0.3336737155914306,1.0,1.0,0.3471126556396484,L25·F25555
25,train,2,14019,6.730851650238037,6.381452560424805,-0.3493990898132324,1.0,1.0,eval,39,6.747107982635498,6.485521793365479,-0.2615861892700195,1.0,1.0,0.3493990898132324,L25·F14019
25,train,1,19384,8.48425579071045,8.128495216369629,-0.3557605743408203,1.0,1.0,eval,4,8.333250045776367,7.977836608886719,-0.3554134368896484,1.0,1.0,0.3557605743408203,L25·F19384
20,train,8,4068,0.7582351565361023,0.6586102843284607,-0.0996248722076416,1.0,1.0,eval,54,0.7396779656410217,0.6543659567832947,-0.085312008857727,1.0,1.0,0.0996248722076416,L20·F4068
20,train,7,14368,1.7727190256118774,1.672887086868286,-0.0998319387435913,1.0,1.0,eval,118,1.763278603553772,1.6863081455230713,-0.0769704580307006,1.0,1.0,0.0998319387435913,L20·F14368
20,train,6,18692,1.0948737859725952,0.9943714141845704,-0.1005023717880249,1.0,1.0,eval,48,1.1201506853103638,1.0335133075714111,-0.0866373777389526,1.0,1.0,0.1005023717880249,L20·F18692
20,train,5,17764,1.3176673650741575,1.215983510017395,-0.1016838550567627,1.0,1.0,eval,5,1.3118094205856323,1.2030291557312012,-0.1087802648544311,1.0,1.0,0.1016838550567627,L20·F17764
20,train,4,27587,1.7305153608322144,1.8322715759277344,0.10175621509552,1.0,1.0,eval,4,1.7465630769729614,1.8694052696228027,0.1228421926498413,1.0,1.0,0.10175621509552,L20·F27587
20,train,3,27764,1.0099934339523315,0.906789243221283,-0.1032041907310485,1.0,1.0,eval,2,1.015308499336243,0.8898796439170837,-0.1254288554191589,1.0,1.0,0.1032041907310485,L20·F27764
20,train,2,16004,0.745028555393219,0.8509792685508728,0.1059507131576538,1.0,1.0,eval,28,0.7609482407569885,0.8531469106674194,0.0921986699104309,1.0,1.0,0.1059507131576538,L20·F16004
20,train,1,16472,1.1323593854904177,1.0200988054275513,-0.1122605800628662,1.0,1.0,eval,25,1.1182433366775513,1.0248026847839355,-0.0934406518936157,1.0,1.0,0.1122605800628662,L20·F16472
18,train,8,23433,0.998032808303833,0.956409752368927,-0.041623055934906,1.0,1.0,eval,21,0.9970555305480956,0.9525083899497986,-0.0445471405982971,1.0,1.0,0.041623055934906,L18·F23433
