feature,coef,abs_coef,direction
num__step_increment,3.006856198422714,3.006856198422714,1.0
num__round_payoff,2.6522693762904077,2.6522693762904077,1.0
num__response_chars,1.9425072283101799,1.9425072283101799,1.0
num__prompt_chars,-1.4364453904179042,1.4364453904179042,-1.0
num__attempts,-0.7967975358768419,0.7967975358768419,-1.0
num__retry_count,0.647493080416142,0.647493080416142,1.0
cat__seat_persona_role_,-0.48398781608261277,0.48398781608261277,-1.0
cat__persona_condition_none,-0.48398781608261277,0.48398781608261277,-1.0
cat__run_treatment_baseline,-0.3527681590769967,0.3527681590769967,-1.0
cat__run_treatment_baseline_swapped,-0.33064735055058025,0.33064735055058025,-1.0
cat__persona_condition_S_AA,0.30249231563563844,0.30249231563563844,1.0
cat__model_qwen2.5:7b-instruct-fp16,-0.29392508035040754,0.29392508035040754,-1.0
cat__own_prev_action_safe,0.2933972529360903,0.2933972529360903,1.0
cat__seat_persona_role_adversarial,0.2828676082682184,0.2828676082682184,1.0
cat__own_prev_action_none,-0.2716763845961057,0.2716763845961057,-1.0
cat__opponent_prev_action_none,-0.2716763845961057,0.2716763845961057,-1.0
cat__opponent_prev_action_safe,0.22164728722944443,0.22164728722944443,1.0
cat__run_treatment_persona_baseline_adv_adv,0.21625565595092902,0.21625565595092902,1.0
num__max_private_risk,-0.21091281756018848,0.21091281756018848,-1.0
cat__lane_baseline,0.1994276935449668,0.1994276935449668,1.0
cat__run_group_baseline,0.1994276935449668,0.1994276935449668,1.0
cat__persona_condition_R0,0.17899296335702614,0.17899296335702614,1.0
cat__run_treatment_persona_baseline_neutral,0.17899296335702614,0.17899296335702614,1.0
cat__seat_persona_role_neutral,0.17899296335702614,0.17899296335702614,1.0
num__prev_signal,0.17547613489081537,0.17547613489081537,1.0
cat__prompt_template_hash_cf7ad4716ada,-0.17054413108733665,0.17054413108733665,-1.0
cat__lane_lane_a,-0.16921768150081273,0.16921768150081273,-1.0
cat__run_group_lane_a,-0.16921768150081273,0.16921768150081273,-1.0
cat__own_prev_action_unsafe,-0.15224503578950638,0.15224503578950638,-1.0
num__stop_draw,0.13364205991513414,0.13364205991513414,1.0
cat__prompt_version_ai-race-fairgame-v3,-0.13052416744952383,0.13052416744952383,-1.0
