opponent_strategy,max_private_risk,n_races,n_route_decisions,unsafe_rate,ci95_low,ci95_high,inference_supported,executing_identity,seats_used
AS,0.1,10,93,0.24731182795698925,0.21,0.2987012987012987,True,kit567,"[0, 1]"
AU,0.1,10,93,1.0,1.0,1.0,True,hunhtrungkit,"[0, 1]"
CAS,0.1,10,93,1.0,1.0,1.0,True,foundnotkiet,"[0, 1]"
CS,0.1,10,93,0.7634408602150538,0.7176470588235294,0.8,True,tnkiet,"[0, 1]"
AS,0.6,10,93,0.17204301075268819,0.125,0.24,True,hunhtrungkit,"[0, 1]"
AU,0.6,10,93,0.8924731182795699,0.8648648648648649,0.9122807017543859,True,tnkiet,"[0, 1]"
CAS,0.6,10,93,0.7419354838709677,0.7,0.7830188679245284,True,kit567,"[0, 1]"
CS,0.6,10,93,0.5698924731182796,0.5321100917431193,0.618421052631579,True,foundnotkiet,"[0, 1]"
AS,0.9,10,93,0.13978494623655913,0.10236220472440945,0.1927710843373494,True,tnkiet,"[0, 1]"
AU,0.9,10,93,0.8817204301075269,0.8421052631578947,0.9150943396226415,True,foundnotkiet,"[0, 1]"
CAS,0.9,10,93,0.6774193548387096,0.6276595744680851,0.7346938775510204,True,hunhtrungkit,"[0, 1]"
CS,0.9,10,93,0.5698924731182796,0.5411764705882353,0.5978260869565217,True,kit567,"[0, 1]"
