layer,split_train,rank_abs_mean_difference_train,feature_id,mean_safe_train,mean_unsafe_train,unsafe_minus_safe_train,prevalence_safe_train,prevalence_unsafe_train,split_eval,rank_abs_mean_difference_eval,mean_safe_eval,mean_unsafe_eval,unsafe_minus_safe_eval,prevalence_safe_eval,prevalence_unsafe_eval,abs_train_difference,feature
25,train,8,27878,7.791823863983154,7.627414226531982,-0.1644096374511718,1.0,1.0,eval,6,7.84390115737915,7.639037132263184,-0.2048640251159668,1.0,1.0,0.1644096374511718,L25·F27878
25,train,7,333,7.981472015380859,7.816048622131348,-0.1654233932495117,1.0,1.0,eval,9,8.084261894226074,7.892960548400879,-0.1913013458251953,1.0,1.0,0.1654233932495117,L25·F333
25,train,6,3,6.3270263671875,6.1572136878967285,-0.1698126792907714,1.0,1.0,eval,25,6.474883556365967,6.306119918823242,-0.1687636375427246,1.0,1.0,0.1698126792907714,L25·F3
25,train,5,11364,8.156131744384766,7.982912063598633,-0.1732196807861328,1.0,1.0,eval,2,8.266160011291504,8.018038749694824,-0.2481212615966797,1.0,1.0,0.1732196807861328,L25·F11364
25,train,4,16655,3.1264536380767822,3.3000617027282715,0.1736080646514892,1.0,1.0,eval,29,3.1564667224884038,3.322700023651123,0.1662333011627197,1.0,1.0,0.1736080646514892,L25·F16655
25,train,3,16048,7.550525665283203,7.364151954650879,-0.1863737106323242,1.0,1.0,eval,51,7.63353157043457,7.481767654418945,-0.151763916015625,1.0,1.0,0.1863737106323242,L25·F16048
25,train,2,14935,9.7219877243042,9.531661033630373,-0.1903266906738281,1.0,1.0,eval,4,9.828917503356934,9.60597038269043,-0.2229471206665039,1.0,1.0,0.1903266906738281,L25·F14935
25,train,1,917,6.855760097503662,6.659505844116211,-0.1962542533874511,1.0,1.0,eval,5,6.937122344970703,6.727463722229004,-0.2096586227416992,1.0,1.0,0.1962542533874511,L25·F917
20,train,8,13068,0.861349880695343,0.7854837775230408,-0.0758661031723022,1.0,1.0,eval,18,0.8423371315002441,0.749754011631012,-0.0925831198692321,1.0,1.0,0.0758661031723022,L20·F13068
20,train,7,9444,1.9698389768600464,2.050248384475708,0.0804094076156616,1.0,1.0,eval,136,1.9973397254943848,2.0653696060180664,0.0680298805236816,1.0,1.0,0.0804094076156616,L20·F9444
20,train,6,2251,0.5242780447006226,0.4430018663406372,-0.0812761783599853,1.0,1.0,eval,10,0.5229629278182983,0.4236260056495666,-0.0993369221687316,1.0,1.0,0.0812761783599853,L20·F2251
20,train,5,9619,1.2363654375076294,1.320803165435791,0.0844377279281616,1.0,1.0,eval,7,1.2434262037277222,1.345609426498413,0.1021832227706909,1.0,1.0,0.0844377279281616,L20·F9619
20,train,4,6557,0.9059532284736632,0.8176327347755432,-0.0883204936981201,1.0,1.0,eval,9,0.9044837951660156,0.80344158411026,-0.1010422110557556,1.0,1.0,0.0883204936981201,L20·F6557
20,train,3,6774,0.4316158294677734,0.3426510095596313,-0.088964819908142,1.0,1.0,eval,3,0.4294222593307495,0.3219060003757477,-0.1075162589550018,1.0,1.0,0.088964819908142,L20·F6774
20,train,2,422,1.0416984558105469,1.1348605155944824,0.0931620597839355,1.0,1.0,eval,2,1.0510571002960205,1.161860704421997,0.1108036041259765,1.0,1.0,0.0931620597839355,L20·F422
20,train,1,14068,4.819307804107666,4.713897705078125,-0.105410099029541,1.0,1.0,eval,1,4.827812671661377,4.680251598358154,-0.1475610733032226,1.0,1.0,0.105410099029541,L20·F14068
18,train,8,16271,0.7354755401611328,0.7701777815818787,0.0347022414207458,1.0,1.0,eval,246,0.7437748312950134,0.7750990390777588,0.0313242077827453,1.0,1.0,0.0347022414207458,L18·F16271
18,train,7,5888,0.4388259947299957,0.4029538631439209,-0.0358721315860748,1.0,1.0,eval,15,0.4343674182891845,0.3876481354236603,-0.0467192828655242,1.0,1.0,0.0358721315860748,L18·F5888
18,train,6,2300,1.253368258476257,1.2153079509735107,-0.0380603075027465,1.0,1.0,eval,12,1.2576346397399902,1.209705829620361,-0.0479288101196289,1.0,1.0,0.0380603075027465,L18·F2300
18,train,5,4963,1.0192325115203855,0.9800567626953124,-0.0391757488250732,1.0,1.0,eval,129,1.0341440439224243,0.9997444152832032,-0.0343996286392211,1.0,1.0,0.0391757488250732,L18·F4963
18,train,4,16974,0.4824026525020599,0.4369615912437439,-0.045441061258316,1.0,1.0,eval,4,0.4880827963352203,0.4317514300346374,-0.0563313663005828,1.0,1.0,0.045441061258316,L18·F16974
18,train,3,1057,1.2881245613098145,1.2381958961486816,-0.0499286651611328,1.0,1.0,eval,18,1.292869210243225,1.2478066682815552,-0.0450625419616699,1.0,1.0,0.0499286651611328,L18·F1057
18,train,2,13794,1.0310440063476562,1.0824711322784424,0.0514271259307861,1.0,1.0,eval,7,1.02970290184021,1.0804530382156372,0.0507501363754272,1.0,1.0,0.0514271259307861,L18·F13794
18,train,1,17122,1.1805990934371948,1.2325056791305542,0.0519065856933593,1.0,1.0,eval,3,1.1929889917373655,1.251616597175598,0.0586276054382324,1.0,1.0,0.0519065856933593,L18·F17122
12,train,15,21625,3.0063469409942627,2.994235754013061,-0.0121111869812011,1.0,1.0,eval,1,3.001002311706543,2.982761859893799,-0.0182404518127441,1.0,1.0,0.0121111869812011,L12·F21625
12,train,13,13545,0.2937421500682831,0.2815206050872803,-0.0122215449810028,1.0,1.0,eval,88,0.2908276617527008,0.2810291051864624,-0.0097985565662384,1.0,1.0,0.0122215449810028,L12·F13545
12,train,8,26138,0.3251309990882873,0.3121630549430847,-0.0129679441452026,1.0,1.0,eval,15,0.3272347450256347,0.3145748376846313,-0.0126599073410034,1.0,1.0,0.0129679441452026,L12·F26138
