layer,split,n,normalized_mse,mean_cosine_similarity,mean_l0
4,eval,120,0.0001326501428756,0.9999369606375694,13003.183333333332
4,train,480,0.0001331307277809,0.9999364712586004,13003.3125
12,eval,120,0.0002029679309615,0.9999190390110017,17937.183333333334
12,train,480,0.0001969741899732,0.9999215036630632,17937.477083333335
18,eval,120,0.0003244018818433,0.9998763099312782,17955.808333333334
18,train,480,0.0003459550794833,0.9998681803544364,17956.0625
20,eval,120,0.0003071170099563,0.9998833268880843,17751.133333333335
20,train,480,0.000324279619986,0.9998771447688342,17751.504166666666
25,eval,120,0.0002030074184301,0.9999496847391128,17005.841666666667
25,train,480,0.0002158794287312,0.9999464313189188,17005.764583333334
