feature,coef,abs_coef,direction
num__step_increment,2.517771891112404,2.517771891112404,1.0
num__round_payoff,2.2618362549070845,2.2618362549070845,1.0
num__response_chars,1.6547786828527975,1.6547786828527975,1.0
num__prompt_chars,-1.221696288285712,1.221696288285712,-1.0
response__safe,-1.0294063453677595,1.0294063453677595,-1.0
response__action safe,-1.0294063453677595,1.0294063453677595,-1.0
response__action unsafe,0.9270879021946608,0.9270879021946608,1.0
response__unsafe,0.9270879021946608,0.9270879021946608,1.0
num__attempts,-0.6590352070115474,0.6590352070115474,-1.0
num__retry_count,0.512021493012377,0.512021493012377,1.0
cat__seat_persona_role_,-0.38044403354596756,0.38044403354596756,-1.0
cat__persona_condition_none,-0.38044403354596756,0.38044403354596756,-1.0
cat__run_treatment_baseline,-0.28298126641214383,0.28298126641214383,-1.0
cat__run_treatment_baseline_swapped,-0.2664655556245925,0.2664655556245925,-1.0
cat__persona_condition_S_AA,0.24716666129032816,0.24716666129032816,1.0
cat__model_qwen2.5:7b-instruct-fp16,-0.24699662828315574,0.24699662828315574,-1.0
cat__own_prev_action_safe,0.24345765339920938,0.24345765339920938,1.0
cat__seat_persona_role_adversarial,0.24313446326668736,0.24313446326668736,1.0
cat__own_prev_action_none,-0.22168388711528178,0.22168388711528178,-1.0
cat__opponent_prev_action_none,-0.22168388711528178,0.22168388711528178,-1.0
num__max_private_risk,-0.19404675699266494,0.19404675699266494,-1.0
cat__opponent_prev_action_safe,0.18535790972541893,0.18535790972541893,1.0
cat__run_treatment_persona_baseline_adv_adv,0.17526193338785742,0.17526193338785742,1.0
cat__run_group_baseline,0.16900278849077094,0.16900278849077094,1.0
cat__lane_baseline,0.16900278849077094,0.16900278849077094,1.0
cat__lane_lane_a,-0.1452817331764672,0.1452817331764672,-1.0
cat__run_group_lane_a,-0.1452817331764672,0.1452817331764672,-1.0
cat__persona_condition_R0,0.144035354127003,0.144035354127003,1.0
cat__run_treatment_persona_baseline_neutral,0.144035354127003,0.144035354127003,1.0
cat__seat_persona_role_neutral,0.144035354127003,0.144035354127003,1.0
num__prev_signal,0.13822653994897188,0.13822653994897188,1.0
cat__own_prev_action_unsafe,-0.12760509903822242,0.12760509903822242,-1.0
cat__prompt_template_hash_cf7ad4716ada,-0.12434556171834589,0.12434556171834589,-1.0
num__stop_draw,0.11238175560134511,0.11238175560134511,1.0
num__own_stage_payoff_before,0.10888502900314605,0.10888502900314605,1.0
cat__run_phase_pilot,-0.10583133275430182,0.10583133275430182,-1.0
cat__prompt_version_ai-race-fairgame-v3,-0.10583133275430182,0.10583133275430182,-1.0
cat__lane_lane_b,-0.10171489510668982,0.10171489510668982,-1.0
cat__run_group_lane_b,-0.10171489510668982,0.10171489510668982,-1.0
cat__seat_persona_role_cooperative,-0.09272414658890343,0.09272414658890343,-1.0
cat__run_treatment_google-gemini-3.1-flash-lite-preview,0.08675234235800451,0.08675234235800451,1.0
cat__model_google/gemini-3.1-flash-lite-preview,0.08675234235800451,0.08675234235800451,1.0
cat__prompt_template_hash_6529162557fe,-0.08466800890389191,0.08466800890389191,-1.0
num__rep,-0.07319753503320017,0.07319753503320017,-1.0
response__action,0.07207261412528575,0.07207261412528575,1.0
cat__run_treatment_S_AA_adv_adv,0.07190472790247068,0.07190472790247068,1.0
cat__opponent_prev_action_unsafe,-0.06950535536443225,0.06950535536443225,-1.0
num__opponent_stage_payoff_before,0.06886369780699532,0.06886369780699532,1.0
cat__prompt_template_hash_68574275bafb,-0.06583502667561558,0.06583502667561558,-1.0
cat__prompt_template_hash_b0e6b6344b26,-0.06340537065257487,0.06340537065257487,-1.0
cat__run_treatment_S_AC_adv_coop,-0.06319446341154963,0.06319446341154963,-1.0
prompt__risk 10,0.06249012424160281,0.06249012424160281,1.0
prompt__risk company,-0.0591699855059754,0.0591699855059754,-1.0
prompt__played your,-0.05749063131820874,0.05749063131820874,-1.0
prompt__previous round,-0.05749063131820874,0.05749063131820874,-1.0
prompt__played,-0.05749063131820874,0.05749063131820874,-1.0
prompt__been played,-0.05749063131820874,0.05749063131820874,-1.0
prompt__previous,-0.05749063131820874,0.05749063131820874,-1.0
prompt__round has,-0.05749063131820874,0.05749063131820874,-1.0
prompt__far no,-0.05749063131820874,0.05749063131820874,-1.0
prompt__no previous,-0.05749063131820874,0.05749063131820874,-1.0
num__own_progress_before,0.05693240689703229,0.05693240689703229,1.0
num__round,-0.05550360208059689,0.05550360208059689,-1.0
num__progress_gap_before,0.05403572693331421,0.05403572693331421,1.0
prompt__risk your,-0.05194687111072488,0.05194687111072488,-1.0
cat__persona_condition_S_AC,-0.04969731428976018,0.04969731428976018,-1.0
prompt__been,-0.04894103772610707,0.04894103772610707,-1.0
prompt__has been,-0.04894103772610707,0.04894103772610707,-1.0
cat__prompt_template_hash_c93bdd324b0a,-0.04879018024827668,0.04879018024827668,-1.0
num__opponent_private_risk_before,-0.04809109900011295,0.04809109900011295,-1.0
cat__run_treatment_google-gemini-3-flash-preview,0.04749492612757513,0.04749492612757513,1.0
cat__persona_condition_S_CA,-0.04705903032278369,0.04705903032278369,-1.0
prompt__and round,0.046848500463878284,0.046848500463878284,1.0
cat__prompt_template_hash_9fc211531cfe,-0.04452338637072606,0.04452338637072606,-1.0
num__opponent_progress_before,0.04213579668514321,0.04213579668514321,1.0
prompt__who,0.041487841935112485,0.041487841935112485,1.0
prompt__90,-0.04130885204271202,0.04130885204271202,-1.0
prompt__chose safe,0.04061772728607529,0.04061772728607529,1.0
prompt__risk 30,-0.0405933955876309,0.0405933955876309,-1.0
prompt__risk 90,-0.040458351720907226,0.040458351720907226,-1.0
prompt__30,-0.04032568221610593,0.04032568221610593,-1.0
num__own_private_risk_before,0.036707974869188344,0.036707974869188344,1.0
cat__run_treatment_S_CA_coop_adv,-0.03654775745282971,0.03654775745282971,-1.0
cat__prompt_template_hash_b8e82d648dcb,-0.03613468525601811,0.03613468525601811,-1.0
cat__run_treatment_google-gemini-3.5-flash-lite,0.034755520005191366,0.034755520005191366,1.0
cat__model_google/gemini-3.5-flash-lite,0.034755520005191366,0.034755520005191366,1.0
prompt__payoff company,-0.03392768454156843,0.03392768454156843,-1.0
cat__prompt_template_hash_a480aae7f828,-0.03358340881732894,0.03358340881732894,-1.0
prompt__payoff your,-0.033491625966736376,0.033491625966736376,-1.0
cat__prompt_template_hash_b647f30c7d36,-0.03185248791689782,0.03185248791689782,-1.0
prompt__risk 45,-0.031618816532805134,0.031618816532805134,-1.0
prompt__45,-0.031618816532805134,0.031618816532805134,-1.0
cat__prompt_template_hash_e4847fa2b439,-0.031487689302538174,0.031487689302538174,-1.0
cat__prompt_template_hash_1e0b418a5f30,-0.03121550179194178,0.03121550179194178,-1.0
prompt__10 company,0.030353074190527275,0.030353074190527275,1.0
prompt__ever do,0.030014274500381365,0.030014274500381365,1.0
prompt__only ever,0.030014274500381365,0.030014274500381365,1.0
prompt__competitor you,0.030014274500381365,0.030014274500381365,1.0
prompt__reach any,0.030014274500381365,0.030014274500381365,1.0
prompt__rather come,0.030014274500381365,0.030014274500381365,1.0
prompt__well,0.030014274500381365,0.030014274500381365,1.0
prompt__than reach,0.030014274500381365,0.030014274500381365,1.0
prompt__with competitor,0.030014274500381365,0.030014274500381365,1.0
prompt__well at,0.030014274500381365,0.030014274500381365,1.0
prompt__understanding with,0.030014274500381365,0.030014274500381365,1.0
prompt__do well,0.030014274500381365,0.030014274500381365,1.0
prompt__firms only,0.030014274500381365,0.030014274500381365,1.0
prompt__each other,0.030014274500381365,0.030014274500381365,1.0
prompt__ever,0.030014274500381365,0.030014274500381365,1.0
prompt__any workable,0.030014274500381365,0.030014274500381365,1.0
prompt__at each,0.030014274500381365,0.030014274500381365,1.0
prompt__competitor,0.030014274500381365,0.030014274500381365,1.0
prompt__any,0.030014274500381365,0.030014274500381365,1.0
prompt__alone than,0.030014274500381365,0.030014274500381365,1.0
prompt__90 your,-0.029946223838186046,0.029946223838186046,-1.0
cat__prompt_template_hash_a06710abf108,-0.029664278201486576,0.029664278201486576,-1.0
prompt__safe company,0.028948271316762177,0.028948271316762177,1.0
cat__prompt_template_hash_78eaaee1dfa5,0.02813064221202706,0.02813064221202706,1.0
cat__prompt_template_hash_7eec699d241d,0.02807258573634838,0.02807258573634838,1.0
cat__lane_persona,-0.02783749296190863,0.02783749296190863,-1.0
cat__run_group_persona,-0.02783749296190863,0.02783749296190863,-1.0
prompt__number if,-0.025308972074601532,0.025308972074601532,-1.0
prompt__progress your,-0.02496756765217399,0.02496756765217399,-1.0
prompt__chose,0.024409493980363912,0.024409493980363912,1.0
prompt__progress company,-0.024118554145604182,0.024118554145604182,-1.0
cat__prompt_template_hash_f7dfe129e476,0.023576878474467572,0.023576878474467572,1.0
cat__prompt_template_hash_2a927598cf00,-0.023271376059477322,0.023271376059477322,-1.0
prompt__30 your,-0.022263552485825178,0.022263552485825178,-1.0
prompt__safe round,0.021853948978681086,0.021853948978681086,1.0
cat__prompt_template_hash_e3f21e474bd2,0.021555818449437884,0.021555818449437884,1.0
prompt__30 company,-0.021309070050928372,0.021309070050928372,-1.0
prompt__90 company,-0.02120061338529053,0.02120061338529053,-1.0
prompt__executive,0.020743920967556242,0.020743920967556242,1.0
prompt__and who,0.020743920967556242,0.020743920967556242,1.0
prompt__executive who,0.020743920967556242,0.020743920967556242,1.0
cat__run_treatment_persona_baseline_risk_averse,-0.019832970013114546,0.019832970013114546,-1.0
cat__seat_persona_role_risk-averse,-0.019832970013114546,0.019832970013114546,-1.0
cat__persona_condition_R-,-0.019832970013114546,0.019832970013114546,-1.0
cat__model_google/gemini-3-flash-preview,0.019657433165666552,0.019657433165666552,1.0
cat__prompt_template_hash_5db3fe43c78b,0.019249066701783658,0.019249066701783658,1.0
cat__prompt_template_hash_56580fe1fcb0,-0.01910895118454841,0.01910895118454841,-1.0
prompt__progress 10,-0.0190295824261928,0.0190295824261928,-1.0
prompt__is 60,-0.018736748314530382,0.018736748314530382,-1.0
prompt__is 10,-0.018435417184737967,0.018435417184737967,-1.0
prompt__signs,0.01842262213539034,0.01842262213539034,1.0
prompt__the same,0.01842262213539034,0.01842262213539034,1.0
prompt__the executive,0.01842262213539034,0.01842262213539034,1.0
prompt__to board,0.01842262213539034,0.01842262213539034,1.0
prompt__that meets,0.01842262213539034,0.01842262213539034,1.0
prompt__this company,0.01842262213539034,0.01842262213539034,1.0
prompt__year,0.01842262213539034,0.01842262213539034,1.0
prompt__year and,0.01842262213539034,0.01842262213539034,1.0
prompt__same,0.01842262213539034,0.01842262213539034,1.0
prompt__having joined,0.01842262213539034,0.01842262213539034,1.0
prompt__once,0.01842262213539034,0.01842262213539034,1.0
prompt__same industry,0.01842262213539034,0.01842262213539034,1.0
prompt__signs off,0.01842262213539034,0.01842262213539034,1.0
prompt__schedule having,0.01842262213539034,0.01842262213539034,1.0
prompt__schedule,0.01842262213539034,0.01842262213539034,1.0
prompt__reports to,0.01842262213539034,0.01842262213539034,1.0
prompt__quarter you,0.01842262213539034,0.01842262213539034,1.0
prompt__are the,0.01842262213539034,0.01842262213539034,1.0
prompt__another firm,0.01842262213539034,0.01842262213539034,1.0
prompt__another,0.01842262213539034,0.01842262213539034,1.0
prompt__quarter,0.01842262213539034,0.01842262213539034,1.0
prompt__reports,0.01842262213539034,0.01842262213539034,1.0
prompt__company development,0.01842262213539034,0.01842262213539034,1.0
prompt__board that,0.01842262213539034,0.01842262213539034,1.0
prompt__board,0.01842262213539034,0.01842262213539034,1.0
prompt__having,0.01842262213539034,0.01842262213539034,1.0
prompt__industry last,0.01842262213539034,0.01842262213539034,1.0
prompt__once every,0.01842262213539034,0.01842262213539034,1.0
prompt__off on,0.01842262213539034,0.01842262213539034,1.0
prompt__development,0.01842262213539034,0.01842262213539034,1.0
prompt__last,0.01842262213539034,0.01842262213539034,1.0
prompt__joined,0.01842262213539034,0.01842262213539034,1.0
prompt__meets once,0.01842262213539034,0.01842262213539034,1.0
prompt__on this,0.01842262213539034,0.01842262213539034,1.0
prompt__firm in,0.01842262213539034,0.01842262213539034,1.0
prompt__meets,0.01842262213539034,0.01842262213539034,1.0
prompt__firm,0.01842262213539034,0.01842262213539034,1.0
prompt__joined from,0.01842262213539034,0.01842262213539034,1.0
prompt__off,0.01842262213539034,0.01842262213539034,1.0
prompt__development schedule,0.01842262213539034,0.01842262213539034,1.0
prompt__every quarter,0.01842262213539034,0.01842262213539034,1.0
prompt__who signs,0.01842262213539034,0.01842262213539034,1.0
prompt__from another,0.01842262213539034,0.01842262213539034,1.0
prompt__in the,0.01842262213539034,0.01842262213539034,1.0
prompt__industry,0.01842262213539034,0.01842262213539034,1.0
prompt__who reports,0.01842262213539034,0.01842262213539034,1.0
prompt__last year,0.01842262213539034,0.01842262213539034,1.0
prompt__10,0.018086720340467325,0.018086720340467325,1.0
cat__prompt_template_hash_3cf3e4f9c30d,0.018037593891996433,0.018037593891996433,1.0
cat__prompt_template_hash_20421657179f,0.01800058498787229,0.01800058498787229,1.0
prompt__60 your,-0.01773529478310235,0.01773529478310235,-1.0
prompt__payoff 10,0.017689010012286042,0.017689010012286042,1.0
cat__prompt_template_hash_6af2ded64dd2,0.017257121630536994,0.017257121630536994,1.0
prompt__45 company,-0.017179576160076492,0.017179576160076492,-1.0
prompt__45 your,-0.016693075243315456,0.016693075243315456,-1.0
prompt__is 90,-0.01663611590453033,0.01663611590453033,-1.0
