persona_condition,risk,AS,AU,CS,Tie/Other,total
R1,0.1,0.0,0.0,0.0,1.0,6
R1,0.6,0.0,0.0,0.0,1.0,6
R1,0.9,0.0,0.0,0.0,1.0,6
R2,0.1,0.0,0.0,0.0,1.0,6
R2,0.6,0.0,0.0,0.0,1.0,6
R2,0.9,0.0,0.0,0.0,1.0,6
R3,0.1,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,6
R3,0.6,0.16666666666666666,0.5,0.0,0.3333333333333333,6
R3,0.9,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,6
R4,0.1,0.0,1.0,0.0,0.0,6
R4,0.6,0.0,1.0,0.0,0.0,6
R4,0.9,0.0,1.0,0.0,0.0,6
R5,0.1,0.0,1.0,0.0,0.0,6
R5,0.6,0.0,1.0,0.0,0.0,6
R5,0.9,0.0,1.0,0.0,0.0,6
R6,0.1,0.0,1.0,0.0,0.0,6
R6,0.6,0.0,1.0,0.0,0.0,6
R6,0.9,0.0,1.0,0.0,0.0,6
