model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_decisions,parse_failures,parse_failure_rate,total_retries,mean_retries,n_races,contaminated_races,parse_clean_races,canonical_mechanism_races,forced_stop_races,behavioral_races,noncanonical_mechanism_races
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,186,0,0.0,9.0,0.04838709677419355,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,186,0,0.0,2.0,0.010752688172043012,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,S_AA,ai-race-fairgame-v3,f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c,pilot,completed,42,0,0.0,2.0,0.047619047619047616,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.1,S_AC,ai-race-fairgame-v3,e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537,pilot,completed,42,0,0.0,3.0,0.07142857142857142,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.1,S_CA,ai-race-fairgame-v3,9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f,pilot,completed,42,0,0.0,1.0,0.023809523809523808,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,e7e9fdcc31a6097c7f48a238aef9a1cf1b9f924d4c4f1d2383423f94c79e3ff0,pilot,completed,186,0,0.0,8.0,0.043010752688172046,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.6,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,186,0,0.0,10.0,0.053763440860215055,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.6,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,186,0,0.0,11.0,0.05913978494623656,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.6,S_AA,ai-race-fairgame-v3,f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c,pilot,completed,42,0,0.0,3.0,0.07142857142857142,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.6,S_AC,ai-race-fairgame-v3,e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537,pilot,completed,42,0,0.0,1.0,0.023809523809523808,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.6,S_CA,ai-race-fairgame-v3,9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f,pilot,completed,42,0,0.0,0.0,0.0,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,e7e9fdcc31a6097c7f48a238aef9a1cf1b9f924d4c4f1d2383423f94c79e3ff0,pilot,completed,186,0,0.0,9.0,0.04838709677419355,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.9,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,186,0,0.0,11.0,0.05913978494623656,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.9,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,186,0,0.0,14.0,0.07526881720430108,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.9,S_AA,ai-race-fairgame-v3,f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c,pilot,completed,42,0,0.0,3.0,0.07142857142857142,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.9,S_AC,ai-race-fairgame-v3,e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537,pilot,completed,42,0,0.0,2.0,0.047619047619047616,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.9,S_CA,ai-race-fairgame-v3,9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f,pilot,completed,42,0,0.0,5.0,0.11904761904761904,3,0,3,3,0,3,0
google/gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,e7e9fdcc31a6097c7f48a238aef9a1cf1b9f924d4c4f1d2383423f94c79e3ff0,pilot,completed,186,0,0.0,8.0,0.043010752688172046,10,0,10,10,0,10,0
google/gemini-3.1-flash-lite-preview,0.1,none,ai-race-fairgame-v3,e797ad425dab097001e50ec17372e386b79eacabbda45d5e9ecb2bc8a6d07d09,pilot,completed,186,0,0.0,0.0,0.0,10,0,10,10,0,10,0
google/gemini-3.1-flash-lite-preview,0.6,none,ai-race-fairgame-v3,e797ad425dab097001e50ec17372e386b79eacabbda45d5e9ecb2bc8a6d07d09,pilot,completed,186,0,0.0,0.0,0.0,10,0,10,10,0,10,0
google/gemini-3.1-flash-lite-preview,0.9,none,ai-race-fairgame-v3,e797ad425dab097001e50ec17372e386b79eacabbda45d5e9ecb2bc8a6d07d09,pilot,completed,186,0,0.0,0.0,0.0,10,0,10,10,0,10,0
google/gemini-3.5-flash-lite,0.1,none,ai-race-fairgame-v3,979bae7b1682a11de6986508bc46a40cfe183fca8ea14fbfa98940869ae7f0bb,pilot,completed,186,0,0.0,0.0,0.0,10,0,10,10,0,10,0
google/gemini-3.5-flash-lite,0.6,none,ai-race-fairgame-v3,979bae7b1682a11de6986508bc46a40cfe183fca8ea14fbfa98940869ae7f0bb,pilot,completed,186,0,0.0,0.0,0.0,10,0,10,10,0,10,0
google/gemini-3.5-flash-lite,0.9,none,ai-race-fairgame-v3,979bae7b1682a11de6986508bc46a40cfe183fca8ea14fbfa98940869ae7f0bb,pilot,completed,186,0,0.0,0.0,0.0,10,0,10,10,0,10,0
