model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_rounds,n_races
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,5.0,2
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,7.0,1
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,8.0,1
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,9.0,2
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,10.0,1
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,11.0,1
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,13.0,1
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,16.0,1
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,5.0,2
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,7.0,1
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,8.0,1
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,9.0,2
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,10.0,1
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,11.0,1
