beta,sse,predicted_0.1,predicted_0.6,predicted_0.9
0.0016070528182616384,0.06885106643711726,0.6910325452580786,0.41179743969988136,0.2580729794101557
0.001516716888470924,0.06893782520859962,0.6727708259688857,0.4073820877364473,0.26217921374233527
0.0017027691722259013,0.0695324083390396,0.7097500367751421,0.4164690118233867,0.25375090940170475
0.0014314589375234786,0.06972644519992773,0.6550400795641954,0.40321019706489575,0.2660772279761526
0.0018041864093920718,0.07103805123513426,0.7288310618954748,0.42140991701389624,0.24920580690779884
0.0013509935211980279,0.0711443442684439,0.6378993073033479,0.39926940664617255,0.26977491636152406
0.0012750512407130128,0.07311588431800363,0.6213925623419053,0.39554778514817607,0.2732803337460952
0.0019116440753857036,0.07341024140753115,0.7481660913486826,0.42663356445774736,0.24443105829662573
0.0012033778407775906,0.07556514044606429,0.6055504585256849,0.39203385276940267,0.276601597172642
0.0020255019392306666,0.07667341886744629,0.7676288166770151,0.4321535856534792,0.23942082391482844
0.001135733358343105,0.0784181136583276,0.5903918065234116,0.38871659466396596,0.2797468048378883
0.0021461411978584057,0.08083079210295882,0.7870775899915853,0.4379837418520368,0.23417025695656218
0.0010718913192051286,0.08160439989474226,0.575925274674352,0.38558546742534094,0.2827239702140827
0.001011637979766207,0.08505836252678539,0.5621509986388487,0.382630399898736,0.2855409692887924
0.0022739657523579274,0.08586176234033026,0.8063579172654818,0.44413781042862516,0.22867575141305008
0.0009547716114208056,0.08871987504531317,0.5490620877797027,0.37984178941766883,0.2882054990571221
0.0024094035602395267,0.09172063219733192,0.8253060631444493,0.45062944770903507,0.2229352191276571
0.0009011018251665018,0.09253470858678914,0.5366459961443648,0.37721049440295823,0.29072504558867135
0.0008504489341802677,0.09645463858002581,0.5248857416939564,0.3747278241202753,0.2931068601785421
0.0025529080682395165,0.09833698082318866,0.8437537301582964,0.4574720258948397,0.21694839459837564
0.0008026433522257174,0.10043733910659414,0.5137609692487431,0.3723855262678014,0.29535794227234236
0.0007575250258771912,0.1044461249449064,0.503248860983961,0.3701757729547646,0.29748502802346877
0.002704959730463137,0.10561795826575486,0.861533658424354,0.4646784420240456,0.21071716432458704
0.0007149428986597577,0.10844959147118702,0.4933249038164282,0.36809114553778405,0.2994945834956305
0.0006747544053110693,0.11242119281498089,0.4839635262886754,0.3661246186984569,0.3013928016630895
0.0028660676169482502,0.11345254867653619,0.8784858659855305,0.4722608974159381,0.20424591513299445
0.0006368249944718586,0.11633878964116405,0.475138619144124,0.3642695440763506,0.3031856024856268
0.0006010276782070381,0.1201841900384039,0.4668239541752612,0.3625196337113126,0.3048786354450272
0.0030367711180354605,0.12171759653001743,0.8944641330709167,0.48023064684101147,0.19754189301222
0.0005672426068491978,0.12394270037517155,0.4589935155047929,0.36086894349887083,0.3064772840256251
0.0005353566677410725,0.1276026976228547,0.45162175652949593,0.35931185681966205,0.3079866717052085
0.0032176417502507355,0.13028512233143616,0.9093422471602308,0.4885977177858943,0.19061556055985382
0.0005052631065335679,0.13115523043555058,0.4446837945402095,0.3578430684687765,0.30941166909407253
0.00047686116977144693,0.13459365306610147,0.4381555536922944,0.35645756898109904,0.31075690192153255
0.00045005576757004977,0.1379132938248977,0.4320138656445098,0.3551506294244635,0.31202675962234017
0.0034092850697468144,0.13903022658268216,0.9230194899469989,0.4973706017046112,0.1834809372878359
0.00042475715525368984,0.1411111580925595,0.42623653588411864,0.35391778671248614,0.3132254043192849
0.0004008806328898465,0.14418566473598976,0.42080238255322294,0.35275482947228387,0.31435678003666195
0.0003783462617131929,0.14713641402673,0.4156912535067379,0.3516577844894561,0.3154246220105527
0.0036123426997094303,0.14783874541950162,0.9354248759927161,0.5065559211042033,0.17615590293296896
0.00035707859649004625,0.14996398471774938,0.4108840263754014,0.3506229037413961,0.3164324659888754
0.00033700643292719284,0.1526697577172225,0.40636259557454985,0.3496466520221689,0.31738365743628066
0.0003180625692794119,0.15525576374020994,0.4021098494857808,0.3487256951550076,0.31828136057725975
0.003827494478516315,0.1566138159170959,0.9465197491354801,0.516158078717903,0.16866243988661572
0.0003001835813575589,0.1577245523710537,0.398109640432151,0.34785688878316146,0.31912856722685673
0.0002833096101839324,0.16007908009223384,0.39434674955854326,0.3470372677263921,0.3199281053700608
