game_id,player,risk,persona_condition,horizon,best_strategies,unique_best_strategy,n_tied
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0000,Company_1,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0000,Company_2,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0000,Company_3,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0001,Company_1,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0001,Company_2,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0001,Company_3,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0002,Company_1,0.1,none,16,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0002,Company_2,0.1,none,16,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0002,Company_3,0.1,none,16,AS,AS,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0003,Company_1,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0003,Company_2,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0003,Company_3,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0004,Company_1,0.1,none,7,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0004,Company_2,0.1,none,7,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0004,Company_3,0.1,none,7,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0005,Company_1,0.1,none,7,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0005,Company_2,0.1,none,7,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0005,Company_3,0.1,none,7,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0006,Company_1,0.1,none,8,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0006,Company_2,0.1,none,8,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0006,Company_3,0.1,none,8,AS|AU,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0007,Company_1,0.1,none,10,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0007,Company_2,0.1,none,10,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0007,Company_3,0.1,none,10,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0008,Company_1,0.1,none,6,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0008,Company_2,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0008,Company_3,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0009,Company_1,0.1,none,15,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0009,Company_2,0.1,none,15,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0009,Company_3,0.1,none,15,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0010,Company_1,0.1,none,9,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0010,Company_2,0.1,none,9,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0010,Company_3,0.1,none,9,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0011,Company_1,0.1,none,7,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0011,Company_2,0.1,none,7,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0011,Company_3,0.1,none,7,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0012,Company_1,0.1,none,6,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0012,Company_2,0.1,none,6,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0012,Company_3,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0013,Company_1,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0013,Company_2,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0013,Company_3,0.1,none,5,AU|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0014,Company_1,0.1,none,11,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0014,Company_2,0.1,none,11,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0014,Company_3,0.1,none,11,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0015,Company_1,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0015,Company_2,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0015,Company_3,0.1,none,5,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0016,Company_1,0.1,none,17,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0016,Company_2,0.1,none,17,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0016,Company_3,0.1,none,17,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0017,Company_1,0.1,none,16,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0017,Company_2,0.1,none,16,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0017,Company_3,0.1,none,16,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0018,Company_1,0.1,none,9,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0018,Company_2,0.1,none,9,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0018,Company_3,0.1,none,9,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0019,Company_1,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0019,Company_2,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__companies_nplayer_default_n3__n3__rep0019,Company_3,0.1,none,6,AU,AU,1
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_1_n3__n3__rep0000,Company_1,0.1,R1,6,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_1_n3__n3__rep0000,Company_2,0.1,R1,6,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_1_n3__n3__rep0000,Company_3,0.1,R1,6,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_1_n3__n3__rep0001,Company_1,0.1,R1,5,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_1_n3__n3__rep0001,Company_2,0.1,R1,5,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_1_n3__n3__rep0001,Company_3,0.1,R1,5,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_2_n3__n3__rep0000,Company_1,0.1,R2,6,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_2_n3__n3__rep0000,Company_2,0.1,R2,6,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_2_n3__n3__rep0000,Company_3,0.1,R2,6,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_2_n3__n3__rep0001,Company_1,0.1,R2,5,AS|CS,,2
ai_race_nplayer_n3_risk_10__qwen2.5-14b-instruct__en__persona_nplayer_risk_2_n3__n3__rep0001,Company_2,0.1,R2,5,AS|CS,,2
