condition,risk,successes,n,proportion,ci_95_low,ci_95_high
R1,0.1,0,33,0.0,0.0,0.10426999754245211
R1,0.6,0,33,0.0,0.0,0.10426999754245211
R1,0.9,0,33,0.0,0.0,0.10426999754245211
R2,0.1,0,33,0.0,0.0,0.10426999754245211
R2,0.6,0,33,0.0,0.0,0.10426999754245211
R2,0.9,0,33,0.0,0.0,0.10426999754245211
R3,0.1,26,33,0.7878787878787878,0.6224835500784931,0.8932397846697919
R3,0.6,21,33,0.6363636363636364,0.4661617830226639,0.7781282176475766
R3,0.9,16,33,0.48484848484848486,0.3250404210813369,0.6478162455108586
R4,0.1,33,33,1.0,0.895730002457548,1.0
R4,0.6,33,33,1.0,0.895730002457548,1.0
R4,0.9,33,33,1.0,0.895730002457548,1.0
R5,0.1,33,33,1.0,0.895730002457548,1.0
R5,0.6,33,33,1.0,0.895730002457548,1.0
R5,0.9,33,33,1.0,0.895730002457548,1.0
R6,0.1,33,33,1.0,0.895730002457548,1.0
R6,0.6,33,33,1.0,0.895730002457548,1.0
R6,0.9,33,33,1.0,0.895730002457548,1.0
baseline,0.1,365,528,0.6912878787878788,0.6506207377069124,0.7291916982169717
baseline,0.6,302,528,0.571969696969697,0.5293952216472285,0.6135045067201735
baseline,0.9,246,528,0.4659090909090909,0.4237595594917828,0.5085510954920793
