context,round,n_at_risk,n_events,kaplan_meier_cumulative_divergence
technology_race,1,192,0,0.0
technology_race,2,192,0,0.0
technology_race,3,192,0,0.0
technology_race,4,192,0,0.0
technology_race,5,192,0,0.0
technology_race,6,162,0,0.0
technology_race,7,108,0,0.0
technology_race,8,102,0,0.0
technology_race,9,90,0,0.0
technology_race,10,60,0,0.0
technology_race,11,36,0,0.0
technology_race,12,24,0,0.0
technology_race,13,24,0,0.0
technology_race,14,18,0,0.0
technology_race,15,18,0,0.0
technology_race,16,18,0,0.0
technology_race,17,12,0,0.0
technology_race,18,6,0,0.0
technology_race,19,6,0,0.0
technology_race,20,6,0,0.0
technology_race,21,6,0,0.0
technology_race,22,6,0,0.0
technology_race,23,6,0,0.0
technology_race,24,6,0,0.0
technology_race,25,6,0,0.0
technology_race,26,6,0,0.0
technology_race,27,6,0,0.0
technology_race,28,6,0,0.0
technology_race,29,6,0,0.0
technology_race,30,6,0,0.0
robotic_expedition,1,192,0,0.0
robotic_expedition,2,192,0,0.0
robotic_expedition,3,192,0,0.0
robotic_expedition,4,192,0,0.0
robotic_expedition,5,192,96,0.5
robotic_expedition,6,84,0,0.5
robotic_expedition,7,54,0,0.5
robotic_expedition,8,48,0,0.5
robotic_expedition,9,42,0,0.5
robotic_expedition,10,42,0,0.5
robotic_expedition,11,24,0,0.5
robotic_expedition,12,18,0,0.5
robotic_expedition,13,18,0,0.5
robotic_expedition,14,12,0,0.5
robotic_expedition,15,12,0,0.5
robotic_expedition,16,12,0,0.5
robotic_expedition,17,6,0,0.5
robotic_expedition,18,6,0,0.5
robotic_expedition,19,6,0,0.5
robotic_expedition,20,6,0,0.5
robotic_expedition,21,6,0,0.5
robotic_expedition,22,6,0,0.5
robotic_expedition,23,6,0,0.5
robotic_expedition,24,6,0,0.5
robotic_expedition,25,6,0,0.5
robotic_expedition,26,6,0,0.5
robotic_expedition,27,6,0,0.5
robotic_expedition,28,6,0,0.5
robotic_expedition,29,6,0,0.5
robotic_expedition,30,6,0,0.5
colony_life_support,1,192,0,0.0
colony_life_support,2,192,0,0.0
colony_life_support,3,192,0,0.0
colony_life_support,4,192,75,0.390625
colony_life_support,5,117,21,0.5
colony_life_support,6,84,0,0.5
colony_life_support,7,54,0,0.5
colony_life_support,8,48,0,0.5
colony_life_support,9,42,0,0.5
colony_life_support,10,42,0,0.5
colony_life_support,11,24,0,0.5
colony_life_support,12,18,0,0.5
colony_life_support,13,18,0,0.5
colony_life_support,14,12,0,0.5
colony_life_support,15,12,0,0.5
colony_life_support,16,12,0,0.5
colony_life_support,17,6,0,0.5
colony_life_support,18,6,0,0.5
colony_life_support,19,6,0,0.5
colony_life_support,20,6,0,0.5
colony_life_support,21,6,0,0.5
colony_life_support,22,6,0,0.5
colony_life_support,23,6,0,0.5
colony_life_support,24,6,0,0.5
colony_life_support,25,6,0,0.5
colony_life_support,26,6,0,0.5
colony_life_support,27,6,0,0.5
colony_life_support,28,6,0,0.5
colony_life_support,29,6,0,0.5
colony_life_support,30,6,0,0.5
hospital_deployment,1,192,0,0.0
hospital_deployment,2,192,0,0.0
hospital_deployment,3,192,0,0.0
hospital_deployment,4,192,48,0.25
hospital_deployment,5,144,48,0.5
hospital_deployment,6,84,0,0.5
hospital_deployment,7,54,0,0.5
hospital_deployment,8,48,0,0.5
hospital_deployment,9,42,0,0.5
hospital_deployment,10,42,0,0.5
hospital_deployment,11,24,0,0.5
hospital_deployment,12,18,0,0.5
hospital_deployment,13,18,0,0.5
hospital_deployment,14,12,0,0.5
hospital_deployment,15,12,0,0.5
hospital_deployment,16,12,0,0.5
hospital_deployment,17,6,0,0.5
hospital_deployment,18,6,0,0.5
hospital_deployment,19,6,0,0.5
hospital_deployment,20,6,0,0.5
hospital_deployment,21,6,0,0.5
hospital_deployment,22,6,0,0.5
hospital_deployment,23,6,0,0.5
hospital_deployment,24,6,0,0.5
hospital_deployment,25,6,0,0.5
hospital_deployment,26,6,0,0.5
hospital_deployment,27,6,0,0.5
hospital_deployment,28,6,0,0.5
hospital_deployment,29,6,0,0.5
hospital_deployment,30,6,0,0.5
fictional_cartography,1,192,0,0.0
fictional_cartography,2,192,0,0.0
fictional_cartography,3,192,0,0.0
fictional_cartography,4,192,72,0.375
fictional_cartography,5,120,24,0.5
fictional_cartography,6,84,0,0.5
fictional_cartography,7,54,0,0.5
fictional_cartography,8,48,0,0.5
fictional_cartography,9,42,0,0.5
fictional_cartography,10,42,0,0.5
fictional_cartography,11,24,0,0.5
fictional_cartography,12,18,0,0.5
fictional_cartography,13,18,0,0.5
fictional_cartography,14,12,0,0.5
fictional_cartography,15,12,0,0.5
fictional_cartography,16,12,0,0.5
