context,mapping,n_paired_player_races,ever_diverged_rate,mean_action_disagreement,mean_unsafe_delta,mean_final_payoff_delta,payoff_changed_rate
technology_race,safe_p,96,0.0,0.0,0.0,0.0,0.0
robotic_expedition,safe_p,96,1.0,0.2624387254901961,0.2624387254901961,-8.664583333333333,1.0
colony_life_support,safe_p,96,1.0,0.41785006932065755,0.41785006932065755,-10.145833333333334,1.0
hospital_deployment,safe_p,96,1.0,0.44569732248960187,0.44569732248960187,-5.558333333333333,1.0
fictional_cartography,safe_p,96,1.0,0.46725960586254706,0.46725960586254706,-10.970833333333331,1.0
crystal_guild_contract,safe_p,96,1.0,0.5916824494949495,0.5916824494949495,-28.608333333333334,1.0
logistics_contract,safe_p,96,1.0,0.6799315149039414,0.6799315149039414,-25.529166666666665,1.0
technology_race,safe_q,96,0.0,0.0,0.0,0.0,0.0
robotic_expedition,safe_q,96,0.0,0.0,0.0,0.0,0.0
colony_life_support,safe_q,96,0.0,0.0,0.0,0.0,0.0
hospital_deployment,safe_q,96,0.0,0.0,0.0,0.0,0.0
fictional_cartography,safe_q,96,0.0,0.0,0.0,0.0,0.0
crystal_guild_contract,safe_q,96,0.0,0.0,0.0,0.0,0.0
logistics_contract,safe_q,96,0.0,0.0,0.0,0.0,0.0
