model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
gpt-5-nano,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.4244121156621157,0.39027215839715834,0.48052216967119876,36.767765086674885,0.633703024908252,0.15195445223668713,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.4244121156621157,0.42731220168720163,-0.03687439066587204,34.200127302817535,0.9707995581230884,-0.011660706183500855,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.39027215839715834,0.42731220168720163,-0.43928921277039706,37.05120755681099,0.6630034516452992,-0.13891544638967807,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.04159090909090909,0.07557165057165056,-1.5372014573725579,37.99949632691166,0.13252996621112392,-0.48610578278275146,0.3975898986333718
gpt-5-nano,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.04159090909090909,0.038995726495726496,0.12414884763819105,37.43946319377445,0.9018615835749348,0.03925931274218994,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.07557165057165056,0.038995726495726496,1.753298932871299,37.47140257975244,0.08772874686412058,0.5544418047015967,0.26318624059236173
gpt-5-nano,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.043611111111111114,-2.6146891956410387,19.0,0.017042130916069157,-0.8268373231659286,0.051126392748207475
gpt-5-nano,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.043611111111111114,-2.6146891956410387,19.0,0.017042130916069157,-0.8268373231659286,0.051126392748207475
gpt-5-nano,R1-R1,ai-race-fairgame-v3,5c70cafff77445fb4781e6e59a081f2526e5a4a9231ecbfbf5f9344a777c51a3,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.02,0.0,0.9999999999999997,19.0,0.3298768009211251,0.31622776601683783,0.9896304027633753
