model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
gpt-5-nano,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.42861111111111116,0.38091269841269837,0.7369343033100288,36.661656745818235,0.4658524428399229,0.23303908843690527,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.42861111111111116,0.43105158730158727,-0.033037246703107634,33.22820810691189,0.9738425433720694,-0.010447294720270872,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.38091269841269837,0.43105158730158727,-0.6338432302177099,36.50233010015234,0.5301352673567996,-0.2004388286966427,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.04928571428571428,0.08428571428571427,-1.359283022295998,37.698587000542645,0.18213314299336447,-0.4298430335252791,0.5463994289800934
gpt-5-nano,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.04928571428571428,0.04345238095238095,0.2386192033902932,36.415221401450516,0.8127386451720452,0.0754580176168299,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.08428571428571427,0.04345238095238095,1.7599051338609109,37.447529161206454,0.08659124684894273,0.5565308688824,0.2597737405468282
gpt-5-nano,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.05083333333333333,-2.56700676289659,19.0,0.018865323609587592,-0.8117588139809033,0.056595970828762776
gpt-5-nano,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.05083333333333333,-2.56700676289659,19.0,0.018865323609587592,-0.8117588139809033,0.056595970828762776
gpt-5-nano,R1-R1,ai-race-fairgame-v3,5c70cafff77445fb4781e6e59a081f2526e5a4a9231ecbfbf5f9344a777c51a3,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.025,0.0,1.0000000000000004,19.0,0.3298768009211247,0.31622776601683805,0.9896304027633741
gpt-5-nano,R1-R1,ai-race-fairgame-v3,5c70cafff77445fb4781e6e59a081f2526e5a4a9231ecbfbf5f9344a777c51a3,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.025,0.0125,0.4472135954999581,27.941176470588236,0.6581685181601695,0.14142135623730956,1.0
gpt-5-nano,R1-R1,ai-race-fairgame-v3,5c70cafff77445fb4781e6e59a081f2526e5a4a9231ecbfbf5f9344a777c51a3,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.0125,-1.0000000000000002,19.0,0.3298768009211249,-0.316227766016838,0.9896304027633748
gpt-5-nano,R1-R2,ai-race-fairgame-v3,69cde1f84fc5a9e3bd184f4e3dcbfd09f5cb1d964de1bdc0b52a5d06adab7c0e,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R1-R2,ai-race-fairgame-v3,69cde1f84fc5a9e3bd184f4e3dcbfd09f5cb1d964de1bdc0b52a5d06adab7c0e,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.015476190476190477,-1.4482133861268585,19.0,0.1638592860041747,-0.4579652838105768,0.4915778580125241
gpt-5-nano,R1-R2,ai-race-fairgame-v3,69cde1f84fc5a9e3bd184f4e3dcbfd09f5cb1d964de1bdc0b52a5d06adab7c0e,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.015476190476190477,-1.4482133861268585,19.0,0.1638592860041747,-0.4579652838105768,0.4915778580125241
gpt-5-nano,R1-R3,ai-race-fairgame-v3,21f0337942c140c9e309026338ba44e93462a5978f65b6f82d16e2be7e0d2049,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.02609126984126984,0.07648809523809523,-1.528449939187448,29.536127279082194,0.13704072377720206,-0.48333830973781844,0.41112217133160617
gpt-5-nano,R1-R3,ai-race-fairgame-v3,21f0337942c140c9e309026338ba44e93462a5978f65b6f82d16e2be7e0d2049,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.02609126984126984,0.07642857142857143,-1.3197263613294128,26.64662089582066,0.19815312656695291,-0.41733411899673045,0.5944593797008587
