model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_players,n_races,n_decisions,n_decisions_round2plus,mean_phi_U,median_phi_U,sd_phi_U,mean_phi_U_round2plus,median_phi_U_round2plus,mean_n_rounds,median_n_rounds,parse_failure_rate,n_decisions_all_races,n_races_recorded,n_races_excluded
gpt-5-nano,0.1,R+,ai-race-fairgame-v3,8845384fdff381f8817463dbbf206b739bd0bb493b6bef9f7d49e4e82122e8d7,pilot,completed,20,10,186,166,0.4244121156621157,0.4,0.20306843378574163,0.42861111111111116,0.45,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R-,ai-race-fairgame-v3,5116847275b69ab5f0140810d0b679fd1c59aced8ea8310e76880ed866294726,pilot,completed,20,10,186,166,0.04159090909090909,0.0,0.07003114015608734,0.04928571428571429,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R0,ai-race-fairgame-v3,208ea93d57ff1d1aeb317ce996181083273af88d92597e75d7e07f2ea4707b99,pilot,completed,20,10,186,166,0.0,0.0,0.0,0.0,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R1,ai-race-fairgame-v3,5c70cafff77445fb4781e6e59a081f2526e5a4a9231ecbfbf5f9344a777c51a3,pilot,completed,20,10,186,166,0.02,0.0,0.0894427190999916,0.025,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R2,ai-race-fairgame-v3,69cde1f84fc5a9e3bd184f4e3dcbfd09f5cb1d964de1bdc0b52a5d06adab7c0e,pilot,completed,20,10,186,166,0.0,0.0,0.0,0.0,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R3,ai-race-fairgame-v3,21f0337942c140c9e309026338ba44e93462a5978f65b6f82d16e2be7e0d2049,pilot,completed,20,10,186,166,0.02305555555555556,0.0,0.06249821309986201,0.02609126984126984,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R4,ai-race-fairgame-v3,3e162960587db71a64904c044bec6e96d601eeed01c79e9473146914579fb3d8,pilot,completed,20,10,186,166,0.26644903707403705,0.3125,0.2475401952287142,0.2976587301587302,0.3571428571428571,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R5,ai-race-fairgame-v3,2e927554a6042b6c7854cfa7792714787a8281026e53f56c2a67703138ea5628,pilot,completed,20,10,186,166,0.302132104007104,0.26373626373626374,0.2866331767773463,0.3457936507936508,0.2916666666666667,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R6,ai-race-fairgame-v3,0dcbab0d9389372cff995f2558e8d43a23777b99156994613c8a64cb992bad75,pilot,completed,20,10,186,166,0.30579483016983017,0.26666666666666666,0.29407467971465534,0.3506944444444444,0.3125,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R1,ai-race-fairgame-v3,37e38f89e94308915f5781fe2fc6cc1be5e588c60f9ee409a63c7b8efd2168c1,pilot,completed,20,10,186,166,0.0,0.0,0.0,0.0,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R2,ai-race-fairgame-v3,4732d3afbeca47c6d4a6166ec93942c1172f1f31783dc1ec27b96d4ecaa347e4,pilot,completed,20,10,186,166,0.007142857142857143,0.0,0.031943828249996996,0.008333333333333333,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R3,ai-race-fairgame-v3,a017136c35db37babfdfdb62efe487b9f439750d51db3a6023d5817e318d7c9b,pilot,completed,20,10,186,166,0.03685897435897436,0.0,0.08424158581185541,0.04041666666666667,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R4,ai-race-fairgame-v3,0be23dcff6b4ffaec6a1add9bd343925aa9bfcc2644efafff8e948b4b3c5d964,pilot,completed,20,10,186,166,0.23778346653346652,0.10555555555555556,0.25424430358344113,0.2608531746031746,0.11805555555555555,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R5,ai-race-fairgame-v3,f827223934a6da44d55f5d839b086331f3537344f84e5076dc1df328c9222b20,pilot,completed,20,10,186,166,0.3008337495837496,0.2094017094017094,0.30831329578983924,0.33765873015873016,0.22916666666666666,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R6,ai-race-fairgame-v3,081dfbb34e195fb1dd91e23f6b92dfe893cdfa7cac786795209a6a5ae31e412b,pilot,completed,20,10,186,166,0.30681055056055057,0.2857142857142857,0.3012971510145817,0.3510714285714286,0.3333333333333333,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R1,ai-race-fairgame-v3,fda015ffb51d1af0449b9063fcd006f45964c555bf1353d61d77b62a39aa94a9,pilot,completed,20,10,186,166,0.04141414141414142,0.0,0.09621248749338995,0.04625,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R2,ai-race-fairgame-v3,9fde92c953cdee837bde27964ccc26de113b8e999069a218d8af7a6f860a1117,pilot,completed,20,10,186,166,0.07097222222222221,0.0,0.1659645909572037,0.08392857142857144,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R3,ai-race-fairgame-v3,e2da7d5cb2d2f4b12e658e70f4d6a4acd84476efd1238b281b8543874efb1874,pilot,completed,20,10,186,166,0.12201395826395826,0.13392857142857142,0.09434816688682747,0.1380952380952381,0.15476190476190477,9.3,9.0,0.0,186,10,0
