model_label,persona_condition,estimate,ci95_low,ci95_high,n_blocks,n_observations
GPT-5 nano,R+,0.2741833629333629,0.23723394314019314,0.31032417235542237,10,10
GPT-5 nano,R-,-0.08776270026270026,-0.13987541971916972,-0.0423135521885522,10,10
GPT-5 nano,R0,-0.12527842527842528,-0.15898370726495722,-0.08383659511784519,10,10
GPT-5 nano,S_AA,0.25435134310134305,0.20508547008547012,0.3026626856939356,10,10
GPT-5 nano,S_AC,0.09608830983830982,0.057539682539682536,0.1311658249158249,10,10
GPT-5 nano,S_CA,0.16235084360084362,0.12192682780182781,0.20385390766640768,10,10
GPT-5 nano,S_CC,-0.1398154623154623,-0.1787153991841492,-0.09929739704739704,10,10
GPT-5.4 nano,R+,0.3937834387834388,0.3546196164946165,0.43726174866799866,10,10
GPT-5.4 nano,R-,-0.40580493580493576,-0.4698935647685648,-0.3283630952380952,10,10
GPT-5.4 nano,R0,-0.04232547545047545,-0.09022761093073595,0.005791317478817483,10,10
GPT-5.4 nano,S_AA,0.1723195554445555,0.1324452411014911,0.21360545762108252,10,10
GPT-5.4 nano,S_AC,-0.11611506549006549,-0.13820334295334294,-0.0916309598965849,10,10
GPT-5.4 nano,S_CA,-0.11057130369630368,-0.14038717069967066,-0.07922676455488956,10,10
GPT-5.4 nano,S_CC,-0.5249540737040737,-0.5678708964646465,-0.48350009365634367,10,10
Gemini 3 Flash,R+,0.24584639897139898,0.22339910610223113,0.27058219095719094,10,10
Gemini 3 Flash,R-,-0.6193032661782663,-0.6441329619454621,-0.5922519841269841,10,10
Gemini 3 Flash,R0,0.02010767010767011,0.0004781329781329838,0.03615211640211638,10,10
Gemini 3 Flash,S_AA,0.2326278659611993,0.19047619047619047,0.26666666666666666,3,3
Gemini 3 Flash,S_AC,-0.5102292768959437,-0.5925925925925927,-0.3666666666666667,3,3
Gemini 3 Flash,S_CA,-0.4372134038800706,-0.4523809523809524,-0.425925925925926,3,3
Gemini 3 Flash,S_CC,-0.754153601028601,-0.7772077552077551,-0.7291295510045509,10,10
Qwen2.5 7B,R-,-0.24269443519443518,-0.3038547008547008,-0.1916486742424242,10,10
Qwen2.5 7B,R0,0.06487452362452363,0.015143817987567984,0.1254265919265919,10,10
Qwen2.5 7B,S_AA,0.2046158933658934,0.1413756613756614,0.28420895655270645,10,10
Qwen2.5 7B,S_AC,-0.0864223739223739,-0.1446106856106856,-0.030803721741221757,10,10
Qwen2.5 7B,S_CA,-0.1214010064010064,-0.17869945216820218,-0.05814484126984132,10,10
