model,model_label,max_private_risk,estimate,ci95_low,ci95_high,n_blocks,n_observations
anthropic-claude-haiku-4-5-20251001,Claude Haiku 4.5,0.1,0.5756613756613757,0.5555555555555556,0.6,3,6
anthropic-claude-haiku-4-5-20251001,Claude Haiku 4.5,0.6,0.45873015873015865,0.3333333333333333,0.6428571428571428,3,6
anthropic-claude-haiku-4-5-20251001,Claude Haiku 4.5,0.9,0.373015873015873,0.2857142857142857,0.5,3,6
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,1.0,1.0,1.0,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,0.7234827672327673,0.690581213924964,0.7545635232822733,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,0.5389780358530359,0.4862951163419914,0.5959730876762127,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,1.0,1.0,1.0,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,0.8011124986124987,0.7738169538794539,0.8256604437229437,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,0.6994394494394495,0.6674276695526695,0.7307886557886557,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,0.8380462592962594,0.7849400113775115,0.8993715659340659,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,0.7076616439116439,0.6542612110112109,0.7637011009823508,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,0.6259720834720834,0.5943137591575091,0.6615576749639249,10,20
gpt-5-nano,GPT-5 nano,0.1,0.12303862803862804,0.07122405372405373,0.1721198593073593,10,20
gpt-5-nano,GPT-5 nano,0.6,0.15133699633699632,0.08634493284493285,0.21634096459096458,10,20
gpt-5-nano,GPT-5 nano,0.9,0.14507076257076257,0.08432400932400932,0.2060392524142524,10,20
gpt-5.4-nano,GPT-5.4 nano,0.1,0.5769413919413919,0.5195892094017094,0.6353144078144078,10,20
gpt-5.4-nano,GPT-5.4 nano,0.6,0.4956769619269619,0.43513888888888885,0.5545511363636362,10,20
gpt-5.4-nano,GPT-5.4 nano,0.9,0.5667745448995449,0.5298926767676768,0.6074001172438672,10,20
qwen2.5:7b-instruct-fp16,Qwen2.5 7B,0.1,0.6054359182484182,0.5589456897269398,0.6488838522588523,20,40
qwen2.5:7b-instruct-fp16,Qwen2.5 7B,0.6,0.5360494366744366,0.4916696515290264,0.5846438908313907,20,40
qwen2.5:7b-instruct-fp16,Qwen2.5 7B,0.9,0.5529972111222111,0.5018181280525031,0.6095016190406817,20,40
