variant,family,interpretation,n_decisions,unsafe_rate,unsafe_rate_cluster_bootstrap_ci95_low,unsafe_rate_cluster_bootstrap_ci95_high,n_first_round,first_round_flip_rate_vs_canonical,first_round_flip_cluster_bootstrap_ci95_low,first_round_flip_cluster_bootstrap_ci95_high,first_round_safe_to_unsafe,first_round_unsafe_to_safe,parse_failures,difference_vs_canonical
order_actions_reversed,order,meaning_preserving,558,0.0842293906810035,0.0178571428571428,0.1666666666666666,60,0.0333333333333333,0.0,0.1,0,2,0,-0.4372759856630825
noise_minor_typo,noise,robustness_perturbation,558,0.496415770609319,0.4588014981273408,0.5326460481099656,60,0.0333333333333333,0.0,0.1,0,2,0,-0.025089605734766984
position_goal_first,position,meaning_preserving,558,0.5017921146953405,0.4770642201834862,0.5370370370370371,60,0.15,0.05,0.3,9,0,0,-0.01971326164874554
canonical,control,control,558,0.521505376344086,0.4801587301587302,0.5604166666666667,60,0.0,0.0,0.0,0,0,0,0.0
voice_impersonal,syntax,meaning_preserving,558,0.5268817204301075,0.496031746031746,0.5566666666666666,60,0.0333333333333333,0.0,0.1,0,2,0,0.005376344086021501
format_numbered_state,format,meaning_preserving,558,0.5376344086021505,0.4941176470588235,0.5967078189300411,60,0.0666666666666666,0.0,0.1833333333333333,4,0,0,0.016129032258064502
format_extra_spacing,whitespace,meaning_preserving,558,0.5591397849462365,0.5293040293040293,0.5949612403100775,60,0.0333333333333333,0.0,0.1,0,2,0,0.037634408602150504
format_xml,format,meaning_preserving,558,0.5734767025089605,0.5044444444444445,0.6226415094339622,60,0.0333333333333333,0.0,0.1,0,2,0,0.05197132616487454
paraphrase_instruction,paraphrase,meaning_preserving,558,0.5878136200716846,0.5189873417721519,0.6388888888888888,60,0.0333333333333333,0.0,0.1,0,2,0,0.06630824372759858
format_markdown,format,meaning_preserving,558,0.6182795698924731,0.5642361111111112,0.6835205992509363,60,0.0666666666666666,0.0,0.1666666666666666,4,0,0,0.09677419354838712
order_payoffs_reversed,order,meaning_preserving,558,0.6272401433691757,0.5886075949367089,0.6666666666666666,60,0.0666666666666666,0.0,0.1666666666666666,4,0,0,0.10573476702508966
emotional_importance,framing,behavioral_framing,558,0.6487455197132617,0.601123595505618,0.6947791164658634,60,0.8333333333333334,0.6666666666666666,1.0,48,2,0,0.12724014336917566
order_state_reversed,order,meaning_preserving,558,0.6523297491039427,0.6103896103896104,0.7,60,0.1,0.0,0.2166666666666666,6,0,0,0.1308243727598567
boundary_compact,boundary,meaning_preserving,558,0.7078853046594982,0.6504629629629629,0.7562724014336918,60,0.0333333333333333,0.0,0.1,0,2,0,0.18637992831541217
format_dense,whitespace,meaning_preserving,558,0.7168458781362007,0.6689497716894978,0.7507122507122507,60,0.0333333333333333,0.0,0.1,0,2,0,0.1953405017921147
lexical_synonyms,lexical,meaning_preserving,558,0.7204301075268817,0.6917808219178082,0.7425742574257426,60,0.0333333333333333,0.0,0.1,0,2,0,0.19892473118279574
emphasis_uppercase,emphasis,meaning_preserving,558,0.7347670250896058,0.6904761904761905,0.7777777777777778,60,0.1166666666666666,0.0,0.25,7,0,0,0.21326164874551978
position_risk_near_response,position,meaning_preserving,558,0.8924731182795699,0.8688888888888889,0.9110169491525424,60,0.0166666666666666,0.0,0.05,1,0,0,0.3709677419354839
