model,model_label,max_private_risk,phase,estimate,ci95_low,ci95_high,n_blocks,n_observations,section,round,n_players_at_risk
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,Rounds 2+,1.0,1.0,1.0,10,20,phase,,
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,Rounds 2+,0.681845238095238,0.6322604166666667,0.7245877976190476,10,20,phase,,
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,Rounds 2+,0.4704960317460317,0.39443948412698415,0.5495868055555555,10,20,phase,,
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,Rounds 2+,1.0,1.0,1.0,10,20,phase,,
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,Rounds 2+,0.7730158730158729,0.7423179563492064,0.8017261904761904,10,20,phase,,
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,Rounds 2+,0.6555952380952381,0.6108333333333333,0.6945297619047618,10,20,phase,,
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,Round 1,1.0,1.0,1.0,10,20,phase,,
