max_private_risk,parameter_point,beta,mutation_regime,nominal_mu,population_size,strategy,frequency,self_play_unsafe_frequency
0.1,reference,2.0,small_mutation_limit,0.02,100,AS,1.3877787807814452e-16,0.0
0.1,reference,2.0,small_mutation_limit,0.02,100,AU,0.5000000000000168,0.9999999999999997
0.1,reference,2.0,small_mutation_limit,0.02,100,CS,1.3877787807814452e-16,0.0
0.1,reference,2.0,small_mutation_limit,0.02,100,CAS,0.49999999999998296,0.9999999999999997
0.1,best_fit,0.01,small_mutation_limit,0.05,100,AS,2.394674200416658e-15,0.0
0.1,best_fit,0.01,small_mutation_limit,0.05,100,AU,0.5000000000038762,0.9999999999999997
0.1,best_fit,0.01,small_mutation_limit,0.05,100,CS,2.0541292530783355e-13,0.0
0.1,best_fit,0.01,small_mutation_limit,0.05,100,CAS,0.4999999999959159,0.9999999999999997
0.6,reference,2.0,small_mutation_limit,0.02,100,AS,9.64739231969611e-17,0.0
0.6,reference,2.0,small_mutation_limit,0.02,100,AU,0.4999999999999956,0.9999999999999997
0.6,reference,2.0,small_mutation_limit,0.02,100,CS,2.8942176959088333e-16,0.0
0.6,reference,2.0,small_mutation_limit,0.02,100,CAS,0.500000000000004,0.9999999999999997
0.6,best_fit,0.01,small_mutation_limit,0.05,100,AS,0.001872535389508366,0.0
0.6,best_fit,0.01,small_mutation_limit,0.05,100,AU,0.4394412079398176,0.9999999999999997
0.6,best_fit,0.01,small_mutation_limit,0.05,100,CS,0.06750381481450907,0.0
0.6,best_fit,0.01,small_mutation_limit,0.05,100,CAS,0.491182441856165,0.9999999999999997
0.9,reference,2.0,small_mutation_limit,0.02,100,AS,0.009708836914729116,0.0
0.9,reference,2.0,small_mutation_limit,0.02,100,AU,9.508465421683278e-05,0.9999999999999997
0.9,reference,2.0,small_mutation_limit,0.02,100,CS,0.9805824271822698,0.0
0.9,reference,2.0,small_mutation_limit,0.02,100,CAS,0.009613651248784218,0.9999999999999997
0.9,best_fit,0.01,small_mutation_limit,0.05,100,AS,0.028292643185550387,0.0
0.9,best_fit,0.01,small_mutation_limit,0.05,100,AU,0.003566026988144341,0.9999999999999997
0.9,best_fit,0.01,small_mutation_limit,0.05,100,CS,0.9077781380030767,0.0
0.9,best_fit,0.01,small_mutation_limit,0.05,100,CAS,0.06036319182322862,0.9999999999999997
