max_private_risk,game_config,own_strategy,opponent_strategy,payoff,method,replications,seed
0.1,ai_race_risk_10,AS,AS,58.99999999751339,exact_enumeration,0,
0.1,ai_race_risk_10,AS,AU,5.399999998508031,exact_enumeration,0,
0.1,ai_race_risk_10,AS,CS,58.99999999751339,exact_enumeration,0,
0.1,ai_race_risk_10,AS,CAS,8.599999997513384,exact_enumeration,0,
0.1,ai_race_risk_10,AU,AS,109.43999999462892,exact_enumeration,0,
0.1,ai_race_risk_10,AU,AU,61.1999999955241,exact_enumeration,0,
0.1,ai_race_risk_10,AU,CS,106.55999999552411,exact_enumeration,0,
0.1,ai_race_risk_10,AU,CAS,61.1999999955241,exact_enumeration,0,
0.1,ai_race_risk_10,CS,AS,58.99999999751339,exact_enumeration,0,
0.1,ai_race_risk_10,CS,AU,16.59999999502677,exact_enumeration,0,
0.1,ai_race_risk_10,CS,CS,58.99999999751339,exact_enumeration,0,
0.1,ai_race_risk_10,CS,CAS,33.79259260025506,exact_enumeration,0,
0.1,ai_race_risk_10,CAS,AS,108.96088596425805,exact_enumeration,0,
0.1,ai_race_risk_10,CAS,AU,61.1999999955241,exact_enumeration,0,
0.1,ai_race_risk_10,CAS,CS,86.75324902237111,exact_enumeration,0,
0.1,ai_race_risk_10,CAS,CAS,61.1999999955241,exact_enumeration,0,
0.6,ai_race_risk_60,AS,AS,58.99999999751339,exact_enumeration,0,
0.6,ai_race_risk_60,AS,AU,5.399999998508031,exact_enumeration,0,
0.6,ai_race_risk_60,AS,CS,58.99999999751339,exact_enumeration,0,
0.6,ai_race_risk_60,AS,CAS,8.599999997513384,exact_enumeration,0,
0.6,ai_race_risk_60,AU,AS,48.639999997612854,exact_enumeration,0,
0.6,ai_race_risk_60,AU,AU,27.199999998010714,exact_enumeration,0,
0.6,ai_race_risk_60,AU,CS,47.35999999801072,exact_enumeration,0,
0.6,ai_race_risk_60,AU,CAS,27.199999998010714,exact_enumeration,0,
0.6,ai_race_risk_60,CS,AS,58.99999999751339,exact_enumeration,0,
0.6,ai_race_risk_60,CS,AU,16.59999999502677,exact_enumeration,0,
0.6,ai_race_risk_60,CS,CS,58.99999999751339,exact_enumeration,0,
0.6,ai_race_risk_60,CS,CAS,26.64444443875286,exact_enumeration,0,
0.6,ai_race_risk_60,CAS,AS,101.76531579798124,exact_enumeration,0,
0.6,ai_race_risk_60,CAS,AU,27.199999998010714,exact_enumeration,0,
0.6,ai_race_risk_60,CAS,CS,61.6306053343033,exact_enumeration,0,
0.6,ai_race_risk_60,CAS,CAS,27.199999998010714,exact_enumeration,0,
0.9,ai_race_risk_90,AS,AS,58.99999999751339,exact_enumeration,0,
0.9,ai_race_risk_90,AS,AU,5.399999998508031,exact_enumeration,0,
0.9,ai_race_risk_90,AS,CS,58.99999999751339,exact_enumeration,0,
0.9,ai_race_risk_90,AS,CAS,8.599999997513384,exact_enumeration,0,
0.9,ai_race_risk_90,AU,AS,12.159999999403212,exact_enumeration,0,
0.9,ai_race_risk_90,AU,AU,6.799999999502676,exact_enumeration,0,
0.9,ai_race_risk_90,AU,CS,11.839999999502677,exact_enumeration,0,
0.9,ai_race_risk_90,AU,CAS,6.799999999502676,exact_enumeration,0,
0.9,ai_race_risk_90,CS,AS,58.99999999751339,exact_enumeration,0,
0.9,ai_race_risk_90,CS,AU,16.59999999502677,exact_enumeration,0,
0.9,ai_race_risk_90,CS,CS,58.99999999751339,exact_enumeration,0,
0.9,ai_race_risk_90,CS,CAS,22.355555541851544,exact_enumeration,0,
0.9,ai_race_risk_90,CAS,AS,97.44797369821518,exact_enumeration,0,
0.9,ai_race_risk_90,CAS,AU,6.799999999502676,exact_enumeration,0,
0.9,ai_race_risk_90,CAS,CS,46.5570191214626,exact_enumeration,0,
0.9,ai_race_risk_90,CAS,CAS,6.799999999502676,exact_enumeration,0,
