model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
google/gemini-3-flash-preview,none,ai-race-fairgame-v3,51f86874ea08d313fd9025b5755a4e1a6959bcf0b40f3fae7bb956d6a41c0045,pilot,completed,max_private_risk,0.1,0.6,3,20,20,1.0,0.7234827672327673,18.45707736429141,19.0,1.3634260774319176e-13,5.83664034210982,4.090278232295753e-13
google/gemini-3-flash-preview,none,ai-race-fairgame-v3,51f86874ea08d313fd9025b5755a4e1a6959bcf0b40f3fae7bb956d6a41c0045,pilot,completed,max_private_risk,0.1,0.9,3,20,20,1.0,0.5389780358530357,20.837860501775257,19.0,1.5083635260686406e-14,6.589510075046894,4.525090578205922e-14
google/gemini-3-flash-preview,none,ai-race-fairgame-v3,51f86874ea08d313fd9025b5755a4e1a6959bcf0b40f3fae7bb956d6a41c0045,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.7234827672327673,0.5389780358530357,6.905246148594194,33.39744252193362,6.479469897055082e-08,2.1836305633663162,1.9438409691165246e-07
google/gemini-3.1-flash-lite-preview,none,ai-race-fairgame-v3,0b80cb35e49b077d198ae21685cd13d305a39234d2037a6b5bbddb278c429130,pilot,completed,max_private_risk,0.1,0.6,3,20,20,1.0,0.8011124986124987,16.318174547664555,19.0,1.2399209507253027e-12,5.160259882680788,3.719762852175908e-12
google/gemini-3.1-flash-lite-preview,none,ai-race-fairgame-v3,0b80cb35e49b077d198ae21685cd13d305a39234d2037a6b5bbddb278c429130,pilot,completed,max_private_risk,0.1,0.9,3,20,20,1.0,0.6994394494394494,21.15078495647559,19.0,1.1490903272103701e-14,6.688465476288819,3.44727098163111e-14
google/gemini-3.1-flash-lite-preview,none,ai-race-fairgame-v3,0b80cb35e49b077d198ae21685cd13d305a39234d2037a6b5bbddb278c429130,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.8011124986124987,0.6994394494394494,5.430895969181307,37.13836433851093,3.6639007627493097e-06,1.7174000998040548,1.0991702288247928e-05
google/gemini-3.5-flash-lite,none,ai-race-fairgame-v3,c24795f46a2d201502f5745e524b1fcd5dbfe804318909acdbf0f182730d1230,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.8380462592962594,0.7076616439116439,4.2082514270992135,37.904864118751746,0.00015202847026179068,1.3307659476287543,0.00045608541078537203
google/gemini-3.5-flash-lite,none,ai-race-fairgame-v3,c24795f46a2d201502f5745e524b1fcd5dbfe804318909acdbf0f182730d1230,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.8380462592962594,0.6259720834720834,8.309810651719893,32.75814285823354,1.4230731043848264e-09,2.6277928584163055,4.269219313154479e-09
google/gemini-3.5-flash-lite,none,ai-race-fairgame-v3,c24795f46a2d201502f5745e524b1fcd5dbfe804318909acdbf0f182730d1230,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.7076616439116439,0.6259720834720834,3.088876095342147,31.806489442730093,0.004149940242955313,0.9767883871328604,0.01244982072886594
