variant,family,max_private_risk,n_decisions,unsafe_rate,n_first_round,first_round_flip_rate_vs_canonical
boundary_compact,boundary,0.1,186,0.7419354838709677,20,0.0
boundary_compact,boundary,0.6,186,0.7204301075268817,20,0.05
boundary_compact,boundary,0.9,186,0.6612903225806451,20,0.05
canonical,control,0.1,186,0.543010752688172,20,0.0
canonical,control,0.6,186,0.4946236559139785,20,0.0
canonical,control,0.9,186,0.5268817204301075,20,0.0
emotional_importance,framing,0.1,186,0.6451612903225806,20,0.8
emotional_importance,framing,0.6,186,0.6720430107526881,20,0.85
emotional_importance,framing,0.9,186,0.6290322580645161,20,0.85
emphasis_uppercase,emphasis,0.1,186,0.7580645161290323,20,0.15
emphasis_uppercase,emphasis,0.6,186,0.7365591397849462,20,0.1
emphasis_uppercase,emphasis,0.9,186,0.7096774193548387,20,0.1
format_dense,whitespace,0.1,186,0.7526881720430108,20,0.0
format_dense,whitespace,0.6,186,0.7258064516129032,20,0.05
format_dense,whitespace,0.9,186,0.6720430107526881,20,0.05
format_extra_spacing,whitespace,0.1,186,0.5860215053763441,20,0.0
format_extra_spacing,whitespace,0.6,186,0.5591397849462365,20,0.05
format_extra_spacing,whitespace,0.9,186,0.532258064516129,20,0.05
format_markdown,format,0.1,186,0.6935483870967742,20,0.1
format_markdown,format,0.6,186,0.5860215053763441,20,0.05
format_markdown,format,0.9,186,0.5752688172043011,20,0.05
format_numbered_state,format,0.1,186,0.5698924731182796,20,0.1
format_numbered_state,format,0.6,186,0.5268817204301075,20,0.05
format_numbered_state,format,0.9,186,0.5161290322580645,20,0.05
format_xml,format,0.1,186,0.5591397849462365,20,0.0
format_xml,format,0.6,186,0.5645161290322581,20,0.05
format_xml,format,0.9,186,0.5967741935483871,20,0.05
lexical_synonyms,lexical,0.1,186,0.7473118279569892,20,0.0
lexical_synonyms,lexical,0.6,186,0.7311827956989247,20,0.05
lexical_synonyms,lexical,0.9,186,0.6827956989247311,20,0.05
noise_minor_typo,noise,0.1,186,0.5161290322580645,20,0.0
noise_minor_typo,noise,0.6,186,0.46236559139784944,20,0.05
noise_minor_typo,noise,0.9,186,0.510752688172043,20,0.05
order_actions_reversed,order,0.1,186,0.06451612903225806,20,0.0
order_actions_reversed,order,0.6,186,0.08602150537634409,20,0.05
order_actions_reversed,order,0.9,186,0.10215053763440861,20,0.05
order_payoffs_reversed,order,0.1,186,0.6774193548387096,20,0.1
order_payoffs_reversed,order,0.6,186,0.5913978494623656,20,0.05
order_payoffs_reversed,order,0.9,186,0.6129032258064516,20,0.05
order_state_reversed,order,0.1,186,0.7096774193548387,20,0.1
order_state_reversed,order,0.6,186,0.6451612903225806,20,0.1
order_state_reversed,order,0.9,186,0.6021505376344086,20,0.1
paraphrase_instruction,paraphrase,0.1,186,0.6182795698924731,20,0.0
paraphrase_instruction,paraphrase,0.6,186,0.5591397849462365,20,0.05
paraphrase_instruction,paraphrase,0.9,186,0.5860215053763441,20,0.05
position_goal_first,position,0.1,186,0.510752688172043,20,0.15
position_goal_first,position,0.6,186,0.489247311827957,20,0.15
position_goal_first,position,0.9,186,0.5053763440860215,20,0.15
position_risk_near_response,position,0.1,186,0.8817204301075269,20,0.0
position_risk_near_response,position,0.6,186,0.8924731182795699,20,0.0
position_risk_near_response,position,0.9,186,0.9032258064516129,20,0.05
voice_impersonal,syntax,0.1,186,0.5752688172043011,20,0.0
voice_impersonal,syntax,0.6,186,0.489247311827957,20,0.05
voice_impersonal,syntax,0.9,186,0.5161290322580645,20,0.05
