variant,family,interpretation,n_decisions,unsafe_rate,unsafe_rate_cluster_bootstrap_ci95_low,unsafe_rate_cluster_bootstrap_ci95_high,n_first_round,first_round_flip_rate_vs_canonical,first_round_flip_cluster_bootstrap_ci95_low,first_round_flip_cluster_bootstrap_ci95_high,first_round_safe_to_unsafe,first_round_unsafe_to_safe,parse_failures
boundary_compact,boundary,meaning_preserving,558,0.7078853046594982,0.6504629629629629,0.7562724014336918,60,0.03333333333333333,0.0,0.1,0,2,0
canonical,control,control,558,0.521505376344086,0.4801587301587302,0.5604166666666667,60,0.0,0.0,0.0,0,0,0
emotional_importance,framing,behavioral_framing,558,0.6487455197132617,0.601123595505618,0.6947791164658634,60,0.8333333333333334,0.6666666666666666,1.0,48,2,0
emphasis_uppercase,emphasis,meaning_preserving,558,0.7347670250896058,0.6904761904761905,0.7777777777777778,60,0.11666666666666667,0.0,0.25,7,0,0
format_dense,whitespace,meaning_preserving,558,0.7168458781362007,0.6689497716894978,0.7507122507122507,60,0.03333333333333333,0.0,0.1,0,2,0
format_extra_spacing,whitespace,meaning_preserving,558,0.5591397849462365,0.5293040293040293,0.5949612403100775,60,0.03333333333333333,0.0,0.1,0,2,0
format_markdown,format,meaning_preserving,558,0.6182795698924731,0.5642361111111112,0.6835205992509363,60,0.06666666666666667,0.0,0.16666666666666666,4,0,0
format_numbered_state,format,meaning_preserving,558,0.5376344086021505,0.49411764705882355,0.5967078189300411,60,0.06666666666666667,0.0,0.18333333333333332,4,0,0
format_xml,format,meaning_preserving,558,0.5734767025089605,0.5044444444444445,0.6226415094339622,60,0.03333333333333333,0.0,0.1,0,2,0
lexical_synonyms,lexical,meaning_preserving,558,0.7204301075268817,0.6917808219178082,0.7425742574257426,60,0.03333333333333333,0.0,0.1,0,2,0
noise_minor_typo,noise,robustness_perturbation,558,0.496415770609319,0.45880149812734083,0.5326460481099656,60,0.03333333333333333,0.0,0.1,0,2,0
order_actions_reversed,order,meaning_preserving,558,0.08422939068100359,0.017857142857142856,0.16666666666666666,60,0.03333333333333333,0.0,0.1,0,2,0
order_payoffs_reversed,order,meaning_preserving,558,0.6272401433691757,0.5886075949367089,0.6666666666666666,60,0.06666666666666667,0.0,0.16666666666666666,4,0,0
order_state_reversed,order,meaning_preserving,558,0.6523297491039427,0.6103896103896104,0.7,60,0.1,0.0,0.21666666666666667,6,0,0
paraphrase_instruction,paraphrase,meaning_preserving,558,0.5878136200716846,0.5189873417721519,0.6388888888888888,60,0.03333333333333333,0.0,0.1,0,2,0
position_goal_first,position,meaning_preserving,558,0.5017921146953405,0.47706422018348627,0.5370370370370371,60,0.15,0.05,0.3,9,0,0
position_risk_near_response,position,meaning_preserving,558,0.8924731182795699,0.8688888888888889,0.9110169491525424,60,0.016666666666666666,0.0,0.05,1,0,0
voice_impersonal,syntax,meaning_preserving,558,0.5268817204301075,0.49603174603174605,0.5566666666666666,60,0.03333333333333333,0.0,0.1,0,2,0
