player,opponent_a,opponent_b,max_private_risk,rate_vs_a,rate_vs_b,paired_delta,ci_low,ci_high,n_matched_reps
GPT Luna,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,pooled,0.4622875816993465,0.629537037037037,0.1672494553376906,0.11676157765254287,0.21773733302283832,10
GPT Luna,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,0.1,0.5462745098039216,0.6989705882352941,0.15269607843137253,0.06988575275958747,0.2355064041031576,10
GPT Luna,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,0.6,0.4644117647058823,0.6527614379084967,0.18834967320261442,0.07948625821433891,0.29721308819088993,10
GPT Luna,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,0.9,0.3761764705882352,0.5368790849673204,0.160702614379085,0.08217543891872361,0.2392297898394464,10
Gemini 3.5 Flash-Lite,Claude Haiku 4.5,GPT Luna,pooled,0.4499945533769063,0.6246296296296295,0.1746350762527233,0.13003175354488375,0.21923839896056282,10
Gemini 3.5 Flash-Lite,Claude Haiku 4.5,GPT Luna,0.1,0.4935947712418301,0.7164705882352941,0.22287581699346407,0.13722079447944824,0.3085308395074799,10
Gemini 3.5 Flash-Lite,Claude Haiku 4.5,GPT Luna,0.6,0.455718954248366,0.62109477124183,0.16537581699346404,0.09700659354214136,0.23374504044478672,10
Gemini 3.5 Flash-Lite,Claude Haiku 4.5,GPT Luna,0.9,0.4006699346405229,0.5363235294117648,0.13565359477124184,0.04393324342999813,0.22737394611248554,10
Claude Haiku 4.5,GPT Luna,Gemini 3.5 Flash-Lite,pooled,0.427979302832244,0.5015686274509804,0.07358932461873638,0.024961445354107943,0.12221720388336482,10
Claude Haiku 4.5,GPT Luna,Gemini 3.5 Flash-Lite,0.1,0.501781045751634,0.5538725490196079,0.05209150326797386,-0.025008922620907675,0.1291919291568554,10
Claude Haiku 4.5,GPT Luna,Gemini 3.5 Flash-Lite,0.6,0.4285294117647059,0.5401633986928104,0.11163398692810458,0.0020324176624347545,0.2212355561937744,10
Claude Haiku 4.5,GPT Luna,Gemini 3.5 Flash-Lite,0.9,0.3536274509803921,0.41066993464052287,0.05704248366013072,-0.027951911179630307,0.14203687849989174,10
