layer,evidence_class,condition,target_feature_id,alpha,n,mean_delta_unsafe_log_odds,median_delta_unsafe_log_odds,action_flip_rate
20,heldout_causal_intervention,matched_random,22627,1.0,32,0.01562480188272275,0.0,0.0
20,heldout_causal_intervention,matched_random,22627,2.0,32,0.03124992849689079,0.0,0.0
20,heldout_causal_intervention,sae_reconstruction,,,32,-0.03515663420012061,-5.8673322200775146e-08,0.0
20,heldout_causal_intervention,target_feature,15912,-2.0,32,0.01953106530856985,0.0,0.0
20,heldout_causal_intervention,target_feature,15912,-1.0,32,0.0351560883602815,0.0,0.0
20,heldout_causal_intervention,target_feature,15912,1.0,32,0.027343853127490547,5.361871444620192e-07,0.0
20,heldout_causal_intervention,target_feature,15912,2.0,32,0.015624878898620409,5.98374754190445e-08,0.0
20,heldout_causal_intervention,target_feature,18201,-2.0,32,0.01953099075535647,-1.1920928955078125e-07,0.0
20,heldout_causal_intervention,target_feature,18201,-1.0,32,0.03515606333348842,-2.546585164964199e-10,0.0
20,heldout_causal_intervention,target_feature,18201,1.0,32,0.031249722417328485,-1.1920928955078125e-07,0.0
20,heldout_causal_intervention,target_feature,18201,2.0,32,0.011718589825136405,-1.1920201359316707e-07,0.0
20,heldout_causal_intervention,target_feature,22627,-2.0,32,0.03906238329363987,3.576260496629402e-07,0.0
20,heldout_causal_intervention,target_feature,22627,-1.0,32,0.027343464376940574,1.1920928955078125e-07,0.0
20,heldout_causal_intervention,target_feature,22627,1.0,32,0.03906229096833158,3.5721495805773884e-07,0.0
20,heldout_causal_intervention,target_feature,22627,2.0,32,0.039062382233623794,1.1920928955078125e-07,0.0
20,heldout_causal_intervention,target_feature_ablation,15912,,32,0.039062508534584595,1.1920928955078125e-07,0.0
20,heldout_causal_intervention,target_feature_ablation,18201,,32,0.03906235202157404,1.7860293155536056e-07,0.0
20,heldout_causal_intervention,target_feature_ablation,22627,,32,0.0039060287831489404,1.1941301636397839e-07,0.0
20,heldout_causal_intervention,unrelated_feature,15912,-2.0,32,0.01953118330925463,2.9617513064295053e-07,0.0
20,heldout_causal_intervention,unrelated_feature,15912,-1.0,32,0.007812183851797272,-2.3794746084604412e-07,0.0
20,heldout_causal_intervention,unrelated_feature,15912,1.0,32,0.027343627028130868,2.9805596568621695e-07,0.0
20,heldout_causal_intervention,unrelated_feature,15912,2.0,32,0.046874875383878134,1.1886731954291463e-07,0.0
20,heldout_causal_intervention,unrelated_feature,18201,-2.0,32,0.03515625421050572,2.3865140974521637e-07,0.0
20,heldout_causal_intervention,unrelated_feature,18201,-1.0,32,0.01953105157463142,1.7695128917694092e-07,0.0
20,heldout_causal_intervention,unrelated_feature,18201,1.0,32,0.0039060755768787203,0.0,0.0
20,heldout_causal_intervention,unrelated_feature,18201,2.0,32,-1.1266013189015212e-07,-1.7881393432617188e-07,0.0
20,heldout_causal_intervention,unrelated_feature,22627,-2.0,32,0.019531181710704004,1.7881393432617188e-07,0.0
20,heldout_causal_intervention,unrelated_feature,22627,-1.0,32,0.015624906052721599,0.0,0.0
20,heldout_causal_intervention,unrelated_feature,22627,1.0,32,0.039062430627154754,4.153698682785034e-07,0.0
20,heldout_causal_intervention,unrelated_feature,22627,2.0,32,0.01171858937630077,-2.384185791015625e-07,0.0
20,heldout_causal_intervention,zero,,0.0,32,0.0,0.0,0.0
