condition,target_feature_id,alpha,n_races,n_decisions,unsafe_rate,mean_delta_unsafe_rate_vs_zero,comparable_flip_rate,n_state_comparable_decisions,mean_delta_total_final_payoff_vs_zero,payoff_delta_ci95_low,payoff_delta_ci95_high,mean_setback_count
matched_random,1803.0,-2.0,6,94,0.6595744680851063,-0.03472222222222223,0.0375,80,2.933333333333333,-12.0,23.0,1.0
matched_random,1803.0,2.0,6,94,0.7340425531914894,0.02314814814814814,0.025,80,-0.20000000000000018,-0.46666666666666706,0.0,0.6666666666666666
matched_random,8505.0,-2.0,6,94,0.6808510638297872,-0.01620370370370372,0.023809523809523808,84,5.133333333333333,-9.8,25.2,0.8333333333333334
matched_random,8505.0,2.0,6,94,0.723404255319149,0.016203703703703703,0.025,80,-0.13333333333333375,-0.2666666666666678,0.0,0.6666666666666666
matched_random,16320.0,-2.0,6,94,0.6808510638297872,-0.01620370370370372,0.023809523809523808,84,5.133333333333333,-9.8,25.2,0.8333333333333334
matched_random,16320.0,2.0,6,94,0.723404255319149,0.016203703703703703,0.025,80,-0.13333333333333375,-0.2666666666666678,0.0,0.6666666666666666
target_feature,1803.0,-2.0,6,94,0.7340425531914894,0.02314814814814814,0.025,80,-0.20000000000000018,-0.46666666666666706,0.0,0.6666666666666666
target_feature,1803.0,2.0,6,94,0.6595744680851063,-0.03472222222222223,0.0375,80,2.933333333333333,-12.0,23.0,1.0
target_feature,8505.0,-2.0,6,94,0.6808510638297872,-0.01620370370370372,0.023809523809523808,84,5.133333333333333,-9.8,25.2,0.8333333333333334
target_feature,8505.0,2.0,6,94,0.723404255319149,0.016203703703703703,0.025,80,-0.13333333333333375,-0.2666666666666678,0.0,0.6666666666666666
target_feature,16320.0,-2.0,6,94,0.7127659574468085,0.004629629629629632,0.039473684210526314,76,-2.4,-6.733333333333333,-0.06666666666666672,0.8333333333333334
target_feature,16320.0,2.0,6,94,0.7021276595744681,0.0,0.011111111111111112,90,-0.3000000000000001,-0.9000000000000004,0.0,0.6666666666666666
unrelated_feature,1803.0,-2.0,6,94,0.6808510638297872,-0.01620370370370372,0.023809523809523808,84,5.133333333333333,-9.8,25.2,0.8333333333333334
unrelated_feature,1803.0,2.0,6,94,0.7340425531914894,0.02314814814814814,0.025,80,-0.20000000000000018,-0.46666666666666706,0.0,0.6666666666666666
unrelated_feature,8505.0,-2.0,6,94,0.723404255319149,0.016203703703703703,0.025,80,-0.13333333333333375,-0.2666666666666678,0.0,0.6666666666666666
unrelated_feature,8505.0,2.0,6,94,0.6808510638297872,-0.01620370370370372,0.023809523809523808,84,5.133333333333333,-9.8,25.2,0.8333333333333334
unrelated_feature,16320.0,-2.0,6,94,0.6808510638297872,-0.01620370370370372,0.023809523809523808,84,5.133333333333333,-9.8,25.2,0.8333333333333334
unrelated_feature,16320.0,2.0,6,94,0.7021276595744681,0.0,0.011111111111111112,90,-0.3000000000000001,-0.9000000000000004,0.0,0.6666666666666666
zero,,0.0,6,94,0.7021276595744681,0.0,0.0,94,0.0,0.0,0.0,0.6666666666666666
