condition,target_feature_id,alpha,n_decisions,n_races,mean_delta_unsafe_log_odds,ci95_low,ci95_high,median_delta_unsafe_log_odds,mean_abs_delta_unsafe_log_odds,action_flip_rate
matched_random,1803.0,-2.0,24,6,0.011721170390956104,-0.0341065072764953,0.05104991279380477,2.7323607355356216e-05,0.053356721880845726,0.041666666666666664
matched_random,1803.0,-1.0,24,6,0.011218747473321855,-0.04404400982376602,0.06479090040860076,-0.000743598211556673,0.0611703839385882,0.041666666666666664
matched_random,1803.0,1.0,24,6,0.017301203100942075,-0.03433658182621002,0.058501217141747476,8.948007598519325e-05,0.0678610240186875,0.08333333333333333
matched_random,1803.0,2.0,24,6,-0.01660843767846624,-0.04909726710099241,0.019848629694294045,-3.790389746427536e-05,0.05872170192499956,0.08333333333333333
matched_random,8505.0,-2.0,24,6,0.007225733754845957,-0.022367481514811514,0.029537467829262216,8.660554885864258e-05,0.06191249436233193,0.041666666666666664
matched_random,8505.0,-1.0,24,6,0.03156449494417757,-0.016913113391233817,0.0699418962679126,0.017009762581437826,0.061960764888984464,0.041666666666666664
matched_random,8505.0,1.0,24,6,0.018886713000635307,-0.038766679167747495,0.06829943507909775,5.454756319522858e-06,0.0591571427260836,0.041666666666666664
matched_random,8505.0,2.0,24,6,0.030394875560887158,-0.008828804828226566,0.05866691918560752,0.05868850648403168,0.08033478419141223,0.125
matched_random,16320.0,-2.0,24,6,-0.0033500029627854624,-0.047996514994237155,0.027462084227326242,-0.0020086318254470825,0.06779612829753508,0.041666666666666664
matched_random,16320.0,-1.0,24,6,0.00026538060046732426,-0.05387712571592558,0.042811897654946036,0.011268092319369316,0.081105264602229,0.125
matched_random,16320.0,1.0,24,6,0.0067125551868230104,-0.04805027383069197,0.045522705567154015,3.387033939361572e-05,0.07127288379706442,0.125
matched_random,16320.0,2.0,24,6,0.008673968686101338,-0.020643326491117477,0.03171768951032198,-1.5686266124248505e-05,0.05434262228664011,0.125
sae_reconstruction,,0.0,24,6,0.06938279412376384,0.024084325193574552,0.09862970450410137,0.0538589283823967,0.09691304690204561,0.125
target_feature,1803.0,-2.0,24,6,0.001459827064536512,-0.03690392807835624,0.048795050560412084,-6.1588361859321594e-06,0.08395633206237108,0.08333333333333333
target_feature,1803.0,-1.0,24,6,0.011218013668743273,-0.03280298435129225,0.04738336978480194,4.7773122787475586e-05,0.05977137010389318,0.125
target_feature,1803.0,1.0,24,6,0.019049975438974798,-0.014294850081205368,0.06398002943024039,-3.666430711746216e-05,0.046499192831106484,0.0
target_feature,1803.0,2.0,24,6,0.004300005035474896,-0.04698630440980196,0.04737046050528685,4.1775405406951904e-05,0.06441360254151125,0.041666666666666664
target_feature,8505.0,-2.0,24,6,-0.012831614857229093,-0.07418896118178964,0.04136493398497502,4.457402974367142e-05,0.08083183974182855,0.041666666666666664
target_feature,8505.0,-1.0,24,6,-0.0020320299469555416,-0.022806805509485696,0.022673318977697428,-4.002079367637634e-05,0.05200435939089706,0.0
target_feature,8505.0,1.0,24,6,0.01956011572231849,-0.015131393680348992,0.05314540922303091,0.021353628486394882,0.07277269909779231,0.125
target_feature,8505.0,2.0,24,6,0.02323307387996465,-0.03622965408223016,0.07365997200831771,-4.4755637645721436e-05,0.0778522816253826,0.125
target_feature,16320.0,-2.0,24,6,-0.00408504786901176,-0.06418571500107646,0.03327318178168658,-5.2461400628089905e-05,0.05696263451439639,0.08333333333333333
target_feature,16320.0,-1.0,24,6,0.03574420763955762,-0.021494465362694528,0.07446617616171186,0.03365433216094971,0.06803525724293043,0.041666666666666664
target_feature,16320.0,1.0,24,6,-0.007466197867567341,-0.05966540759331301,0.03362066773697734,7.728487253189087e-05,0.07961825382274886,0.0
target_feature,16320.0,2.0,24,6,0.007203881861642003,-0.04731813970614563,0.050020359844590224,5.4010190069675446e-05,0.06864394565733771,0.0
target_feature_ablation,1803.0,,24,6,0.01334310156137993,-0.03420597736380602,0.04968262188644572,0.01761273853480816,0.08713231371560444,0.041666666666666664
target_feature_ablation,8505.0,,24,6,0.024730793743704755,-0.013656106777489185,0.05280748506387075,0.01827237382531166,0.061853969392056264,0.125
target_feature_ablation,16320.0,,24,6,0.011127839990270635,-0.04402246647937731,0.05323875479569489,1.9222497940063477e-06,0.06873976272375633,0.08333333333333333
unrelated_feature,1803.0,-2.0,24,6,0.0027564897124345102,-0.026434467419197683,0.03681870810687542,-1.0163523256778717e-05,0.07198874501045793,0.041666666666666664
unrelated_feature,1803.0,-1.0,24,6,0.029429460914495092,-0.017734269447186413,0.06585378407246688,0.0022670794278383255,0.06990783161018044,0.125
unrelated_feature,1803.0,1.0,24,6,0.02459483713998149,-0.013333975492666164,0.05439750270937406,7.205456495285034e-05,0.05444073517962048,0.125
unrelated_feature,1803.0,2.0,24,6,0.0015631797723472118,-0.023913362196513584,0.024220294851277555,-7.1106478571891785e-06,0.05325780110433698,0.125
unrelated_feature,8505.0,-2.0,24,6,0.001761939376592636,-0.06141476530362578,0.06295834147724612,-9.942054748535156e-05,0.08943791935841243,0.08333333333333333
unrelated_feature,8505.0,-1.0,24,6,0.020921692058133583,-0.027065167319960892,0.06161522708134726,0.009782373905181885,0.08121799541792522,0.125
unrelated_feature,8505.0,1.0,24,6,0.007252967217937112,-0.04256903607812193,0.047110073340053744,2.4429522454738617e-05,0.06682807044126093,0.125
unrelated_feature,8505.0,2.0,24,6,-7.271603681147099e-05,-0.03670199889512289,0.025035329833626746,-3.860611468553543e-05,0.0436710009817034,0.041666666666666664
unrelated_feature,16320.0,-2.0,24,6,-0.005909560869137446,-0.044032647768127424,0.016957140217224758,-2.886354923248291e-05,0.05148653297995528,0.041666666666666664
unrelated_feature,16320.0,-1.0,24,6,-0.008387525216676295,-0.0540314913695482,0.03384903408586979,-5.9009529650211334e-05,0.07746961747761816,0.041666666666666664
unrelated_feature,16320.0,1.0,24,6,0.011840166679273048,-0.034465994513421146,0.05533685599980147,-6.721168756484985e-05,0.06492174176188807,0.125
unrelated_feature,16320.0,2.0,24,6,0.011380443737531701,-0.023531853666772014,0.044758615149543136,-2.1070241928100586e-05,0.053883506217971444,0.0
zero,,0.0,24,6,0.0,0.0,0.0,0.0,0.0,0.0
