control,target_feature_id,alpha,n_paired_races,mean_target_minus_control_payoff_delta,payoff_contrast_ci95_low,payoff_contrast_ci95_high,mean_target_minus_control_unsafe_rate,exact_action_sequence_match_rate
matched_random,1803,-2.0,6,-3.133333333333333,-23.2,11.6,0.05787037037037037,0.5
matched_random,1803,2.0,6,3.133333333333333,-11.6,23.2,-0.05787037037037037,0.5
matched_random,8505,-2.0,6,0.0,0.0,0.0,0.0,1.0
matched_random,8505,2.0,6,0.0,0.0,0.0,0.0,1.0
matched_random,16320,-2.0,6,-7.533333333333332,-27.599999999999994,7.2,0.020833333333333353,0.5
matched_random,16320,2.0,6,-0.16666666666666638,-0.6999999999999993,0.20000000000000018,-0.016203703703703703,0.6666666666666666
unrelated_feature,1803,-2.0,6,-5.333333333333333,-25.399999999999995,9.4,0.03935185185185186,0.6666666666666666
unrelated_feature,1803,2.0,6,3.133333333333333,-11.6,23.2,-0.05787037037037037,0.5
unrelated_feature,8505,-2.0,6,5.266666666666667,-9.6,25.399999999999995,-0.03240740740740742,0.6666666666666666
unrelated_feature,8505,2.0,6,-5.266666666666667,-25.399999999999995,9.6,0.03240740740740742,0.6666666666666666
unrelated_feature,16320,-2.0,6,-7.533333333333332,-25.40833333333332,7.2,0.020833333333333353,0.5
unrelated_feature,16320,2.0,6,0.0,0.0,0.0,0.0,1.0
