control,target_feature_id,alpha,n_decisions,n_races,mean_target_minus_control_delta,delta_ci95_low,delta_ci95_high,mean_target_minus_control_abs_delta,abs_delta_ci95_low,abs_delta_ci95_high,mean_target_minus_control_flip_rate
matched_random,1803,-2.0,24,6,-0.010261343326419592,-0.031825780529867516,0.021001873951819208,0.03059961018152535,0.016791724732943943,0.04285160637107386,0.041666666666666664
matched_random,1803,-1.0,24,6,-7.338045785824457e-07,-0.030803580474304527,0.03217670461162925,-0.0013990138346950214,-0.0228727595399945,0.025025802198797464,0.08333333333333333
matched_random,1803,1.0,24,6,0.0017487723380327225,-0.040364435563484825,0.0659511952350537,-0.02136183118758102,-0.04879284056369215,0.02114292743958925,-0.08333333333333333
matched_random,1803,2.0,24,6,0.020908442713941138,-0.00611122679852304,0.03882347419857979,0.0056919006165117025,-0.00695661191017397,0.02875683522399734,-0.041666666666666664
matched_random,8505,-2.0,24,6,-0.02005734861207505,-0.06345585873350501,0.013376134783029556,0.018919345379496615,-0.009877274677689587,0.059402072615921495,0.0
matched_random,8505,-1.0,24,6,-0.03359652489113311,-0.057702834034959474,0.0037636990132539168,-0.009956405498087406,-0.02135358290332887,0.004280653570524671,-0.041666666666666664
matched_random,8505,1.0,24,6,0.0006734027216831843,-0.020362449144678458,0.02719814411830157,0.013615556371708712,-0.02336962812114507,0.03802677197381854,0.08333333333333333
matched_random,8505,2.0,24,6,-0.007161801680922508,-0.04457328185115172,0.017577863410115243,-0.0024825025660296283,-0.01710699600252238,0.013210068335351736,0.0
matched_random,16320,-2.0,24,6,-0.0007350449062262973,-0.024066168987364682,0.013513900605695588,-0.010833493783138692,-0.03406278638257867,0.019335847161710263,0.041666666666666664
matched_random,16320,-1.0,24,6,0.0354788270390903,0.006522930080169125,0.062770840632064,-0.013070007359298566,-0.04482758732046932,0.019749180156866025,-0.08333333333333333
matched_random,16320,1.0,24,6,-0.01417875305439035,-0.038165281324282936,0.006098387681919596,0.008345370025684437,-0.008919533172791655,0.026246210485696794,-0.125
matched_random,16320,2.0,24,6,-0.0014700868244593341,-0.04568773076722497,0.03449200206835355,0.014301323370697597,0.004069618873861658,0.03434107430717524,-0.125
unrelated_feature,1803,-2.0,24,6,-0.0012966626478979986,-0.026691411706534298,0.018047964045157034,0.011967587051913142,0.0011512425474145196,0.023771737605847162,0.041666666666666664
unrelated_feature,1803,-1.0,24,6,-0.018211447245751817,-0.05041137973413519,0.014755829917983366,-0.010136461506287256,-0.03160720660040776,0.014073418961329893,0.0
unrelated_feature,1803,1.0,24,6,-0.005544861701006691,-0.04474119428131315,0.050597986493569704,-0.007941542348514,-0.025754975011715524,0.020150108262896538,-0.125
unrelated_feature,1803,2.0,24,6,0.0027368252631276846,-0.02938859723508358,0.0316726826907446,0.011155801437174281,-0.008038778833690145,0.031726389192044735,-0.08333333333333333
unrelated_feature,8505,-2.0,24,6,-0.01459355423382173,-0.04431484480418505,0.0177190275862813,-0.008606079616583884,-0.05003220103038796,0.05289715507792102,-0.041666666666666664
unrelated_feature,8505,-1.0,24,6,-0.022953722005089123,-0.05566386647265533,0.015428802546332865,-0.029213636027028162,-0.05694666666289171,-1.4211982488632202e-06,-0.125
unrelated_feature,8505,1.0,24,6,0.012307148504381379,-0.011931324710271187,0.04846147923833794,0.005944628656531374,-0.03594002105797139,0.03337020151041172,0.0
unrelated_feature,8505,2.0,24,6,0.02330578991677612,-0.019697750815086894,0.05886005819775164,0.0341812806436792,0.006245137937366962,0.05355532542471924,0.08333333333333333
unrelated_feature,16320,-2.0,24,6,0.0018245130001256864,-0.025936579182744026,0.026902101852971573,0.0054761015344411135,-0.011422927374951541,0.0337221646681428,0.041666666666666664
unrelated_feature,16320,-1.0,24,6,0.04413173285623392,0.0031006951865397,0.0696375025091348,-0.009434360234687725,-0.05237332441740566,0.02834690536838025,0.0
unrelated_feature,16320,1.0,24,6,-0.01930636454684039,-0.05809629238432362,0.0029595412686467173,0.014696512060860792,-0.005967657752335071,0.04557122448459268,-0.125
unrelated_feature,16320,2.0,24,6,-0.004176561875889699,-0.04080052292821082,0.026093446891064995,0.01476043943936626,-0.015996907874941825,0.03957916832027527,0.0
