model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_players,n_races,n_decisions,n_decisions_round2plus,mean_phi_U,median_phi_U,sd_phi_U,mean_phi_U_round2plus,median_phi_U_round2plus,mean_n_rounds,median_n_rounds,parse_failure_rate,n_decisions_all_races,n_races_recorded,n_races_excluded
gpt-5-nano,0.1,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,20,10,186,166,0.4244121156621157,0.4,0.20306843378574163,0.42861111111111116,0.45,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,20,10,186,166,0.04159090909090909,0.0,0.07003114015608734,0.04928571428571429,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,20,10,186,166,0.0,0.0,0.0,0.0,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,20,10,186,166,0.02,0.0,0.0894427190999916,0.025,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,20,10,186,166,0.0,0.0,0.0,0.0,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R3,ai-race-fairgame-v3,d5a78c68f5cac31ca4db628960ab46c654c0023a9537b0f7b31377a8f061266e,pilot,completed,20,10,186,166,0.02305555555555556,0.0,0.06249821309986201,0.02609126984126984,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R4,ai-race-fairgame-v3,54e34cb2cbdda8a3e58434ba1ec3f67263b35fb7a14e40efc7094166e4d26f6c,pilot,completed,20,10,186,166,0.26644903707403705,0.3125,0.24754019522871423,0.2976587301587302,0.3571428571428571,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R5,ai-race-fairgame-v3,f1e253d8fb164767a13e1e0dfc09e99d1ba68fd9952ce60cfc53df0a6a108790,pilot,completed,20,10,186,166,0.302132104007104,0.26373626373626374,0.2866331767773463,0.3457936507936508,0.2916666666666667,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R1-R6,ai-race-fairgame-v3,578aed3e5e391ad7e0d1df7dece1d043f7c9bd2727310bca65229822b65c0c5b,pilot,completed,20,10,186,166,0.30579483016983017,0.26666666666666666,0.29407467971465534,0.3506944444444444,0.3125,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R1,ai-race-fairgame-v3,afa635149ba0e41a8c13160ef18de15979eddad138c4736033dabdcddadd76da,pilot,completed,20,10,186,166,0.0,0.0,0.0,0.0,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R2,ai-race-fairgame-v3,20fc9d5dc05dab2641d82e87fd797bfde3bd8a0f26c925c84ad65f7580cf216a,pilot,completed,20,10,186,166,0.007142857142857143,0.0,0.031943828249996996,0.008333333333333333,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R3,ai-race-fairgame-v3,c3c3880229a504030b53b75b4a709ff3e6338493197e88215632c8098490ae8a,pilot,completed,20,10,186,166,0.03685897435897436,0.0,0.0842415858118554,0.04041666666666667,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R4,ai-race-fairgame-v3,eb3fc01948afc39a0bdb7d8505f0fc8cf8c0faa405d5e01e06786000810cf63e,pilot,completed,20,10,186,166,0.23778346653346652,0.10555555555555556,0.25424430358344113,0.2608531746031746,0.11805555555555555,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R5,ai-race-fairgame-v3,5d5e4f80e4411da94cc030534db4e5a4cc712cc6e0240ff52e47f17c7ae39036,pilot,completed,20,10,186,166,0.3008337495837496,0.2094017094017094,0.30831329578983924,0.33765873015873016,0.22916666666666666,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R2-R6,ai-race-fairgame-v3,6fddd011d29c0ee6b3b9adac863d71167c141100ac6a59ecb6672ddf3aea488b,pilot,completed,20,10,186,166,0.30681055056055057,0.2857142857142857,0.3012971510145817,0.3510714285714286,0.3333333333333333,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R1,ai-race-fairgame-v3,5fb0408188b461c4d41c167266c63d73f72355d97246d15fb7b2c792b3bed518,pilot,completed,20,10,186,166,0.04141414141414142,0.0,0.09621248749338995,0.04625,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R2,ai-race-fairgame-v3,5544079c8b2c6f8cd9c2b6f4ab10b7606034b1b75eea1acaf0c9d8dab93b7f03,pilot,completed,20,10,186,166,0.07097222222222221,0.0,0.1659645909572037,0.08392857142857144,0.0,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R3,ai-race-fairgame-v3,a39695ae5f4da7bb6d8a5fa790e310edb62647bc0e42c1b8fcd16cdf62ef49fd,pilot,completed,20,10,186,166,0.12201395826395826,0.13392857142857142,0.09434816688682747,0.1380952380952381,0.15476190476190477,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R4,ai-race-fairgame-v3,762fd623bba3bee2e043aff8722a1bbfaed5bbfc6c05780fcc4c61ef3f9561d0,pilot,completed,20,10,186,166,0.35567273004773003,0.35416666666666663,0.17847715850819368,0.4018253968253968,0.39583333333333337,9.3,9.0,0.0,186,10,0
gpt-5-nano,0.1,R3-R5,ai-race-fairgame-v3,18e87c63f13788867fa8962d0a84174f518d7e02922a434bf5eda6f433d102b9,pilot,completed,20,10,186,166,0.3061124986124986,0.25,0.19179091123890282,0.34773809523809524,0.2857142857142857,9.3,9.0,0.0,186,10,0
