bootstrap,root_feature,root_threshold
0,own_private_risk_before,0.02182539738714695
1,own_private_risk_before,0.029285714030265808
2,own_private_risk_before,0.024038461968302727
3,own_private_risk_before,0.024038461968302727
4,own_private_risk_before,0.024038461968302727
5,own_private_risk_before,0.022649573162198067
6,own_private_risk_before,0.024038461968302727
7,own_private_risk_before,0.022649573162198067
8,own_private_risk_before,0.024038461968302727
9,own_private_risk_before,0.022649573162198067
10,own_private_risk_before,0.024038461968302727
11,own_private_risk_before,0.024038461968302727
12,own_private_risk_before,0.024038461968302727
13,own_private_risk_before,0.030384615063667297
14,own_private_risk_before,0.022649573162198067
15,own_private_risk_before,0.024038461968302727
16,own_private_risk_before,0.024038461968302727
17,own_private_risk_before,0.019090908579528332
18,own_private_risk_before,0.024038461968302727
19,own_private_risk_before,0.024038461968302727
20,own_private_risk_before,0.024038461968302727
21,own_private_risk_before,0.022649573162198067
22,own_private_risk_before,0.019090908579528332
23,own_private_risk_before,0.022649573162198067
24,own_private_risk_before,0.024038461968302727
25,own_private_risk_before,0.024038461968302727
26,own_private_risk_before,0.024038461968302727
27,own_private_risk_before,0.024038461968302727
28,own_private_risk_before,0.020714285783469677
29,own_private_risk_before,0.019090908579528332
30,own_private_risk_before,0.024038461968302727
31,own_private_risk_before,0.029285714030265808
32,own_private_risk_before,0.019090908579528332
33,own_private_risk_before,0.024038461968302727
34,own_private_risk_before,0.024038461968302727
35,own_private_risk_before,0.024038461968302727
36,own_private_risk_before,0.022649573162198067
37,own_private_risk_before,0.024038461968302727
38,own_private_risk_before,0.024038461968302727
39,own_private_risk_before,0.024038461968302727
40,own_private_risk_before,0.032051282934844494
41,own_private_risk_before,0.024038461968302727
42,own_private_risk_before,0.024038461968302727
43,own_private_risk_before,0.032051282934844494
44,own_private_risk_before,0.024038461968302727
45,own_private_risk_before,0.029285714030265808
46,own_private_risk_before,0.019090908579528332
47,own_private_risk_before,0.030384615063667297
48,own_private_risk_before,0.024038461968302727
49,own_private_risk_before,0.024038461968302727
50,own_private_risk_before,0.024038461968302727
51,own_private_risk_before,0.024038461968302727
52,own_private_risk_before,0.024038461968302727
53,own_private_risk_before,0.024038461968302727
54,own_private_risk_before,0.022649573162198067
55,own_private_risk_before,0.024038461968302727
56,own_private_risk_before,0.024038461968302727
57,own_private_risk_before,0.024038461968302727
58,own_private_risk_before,0.024038461968302727
59,own_private_risk_before,0.024038461968302727
60,own_private_risk_before,0.024038461968302727
61,own_private_risk_before,0.024038461968302727
62,own_private_risk_before,0.024038461968302727
63,own_private_risk_before,0.024038461968302727
64,own_private_risk_before,0.024038461968302727
65,own_private_risk_before,0.024038461968302727
66,own_private_risk_before,0.022649573162198067
67,own_private_risk_before,0.024038461968302727
68,own_private_risk_before,0.024038461968302727
69,own_private_risk_before,0.022649573162198067
70,own_private_risk_before,0.024038461968302727
71,own_private_risk_before,0.024038461968302727
72,own_private_risk_before,0.019090908579528332
73,own_private_risk_before,0.019090908579528332
74,own_private_risk_before,0.024038461968302727
75,own_private_risk_before,0.024038461968302727
76,own_private_risk_before,0.024038461968302727
77,own_private_risk_before,0.024038461968302727
78,own_private_risk_before,0.024038461968302727
79,own_private_risk_before,0.024038461968302727
80,own_private_risk_before,0.024038461968302727
81,own_private_risk_before,0.02182539738714695
82,own_private_risk_before,0.024038461968302727
83,own_private_risk_before,0.024038461968302727
84,own_private_risk_before,0.024038461968302727
85,own_private_risk_before,0.022649573162198067
86,own_private_risk_before,0.019090908579528332
87,own_private_risk_before,0.024038461968302727
88,own_private_risk_before,0.032051282934844494
89,own_private_risk_before,0.022649573162198067
90,own_private_risk_before,0.024038461968302727
91,own_private_risk_before,0.022649573162198067
92,own_private_risk_before,0.024038461968302727
93,own_private_risk_before,0.024038461968302727
94,own_private_risk_before,0.024038461968302727
95,own_private_risk_before,0.024038461968302727
96,own_private_risk_before,0.022649573162198067
97,own_private_risk_before,0.024038461968302727
98,own_private_risk_before,0.020714285783469677
99,own_private_risk_before,0.022649573162198067
100,own_private_risk_before,0.022649573162198067
101,own_private_risk_before,0.024038461968302727
102,own_private_risk_before,0.024038461968302727
103,own_private_risk_before,0.020714285783469677
104,own_private_risk_before,0.022649573162198067
105,own_private_risk_before,0.024038461968302727
106,own_private_risk_before,0.024038461968302727
107,own_private_risk_before,0.022649573162198067
108,own_private_risk_before,0.02182539738714695
109,own_private_risk_before,0.022649573162198067
110,own_private_risk_before,0.024038461968302727
111,own_private_risk_before,0.024038461968302727
112,own_private_risk_before,0.022649573162198067
113,own_private_risk_before,0.024038461968302727
114,own_private_risk_before,0.022649573162198067
115,own_private_risk_before,0.022649573162198067
116,own_private_risk_before,0.019090908579528332
117,own_private_risk_before,0.024038461968302727
118,own_private_risk_before,0.022649573162198067
119,own_private_risk_before,0.032051282934844494
120,own_private_risk_before,0.022649573162198067
121,own_private_risk_before,0.02182539738714695
122,own_private_risk_before,0.022649573162198067
123,own_private_risk_before,0.024038461968302727
