scope,leaf_id,n,unsafe_rate,provider_mode_count,experiment_mode_count,model_count,gap_min,gap_max,support_share
baseline_completed,8,809,0.9468479604449939,1,1,3,-0.5,0.5,0.3248995983935743
baseline_completed,12,299,0.6622073578595318,2,1,4,-0.5,2.0,0.12008032128514057
baseline_completed,5,118,0.652542372881356,1,1,1,0.5,2.5,0.04738955823293173
baseline_completed,7,229,0.5633187772925764,1,1,3,0.0,0.5,0.09196787148594378
baseline_completed,4,289,0.5259515570934256,1,1,1,-2.5,0.0,0.11606425702811245
baseline_completed,11,144,0.3333333333333333,2,1,4,0.0,2.5,0.05783132530120482
baseline_completed,15,120,0.275,1,1,1,-0.5,0.5,0.04819277108433735
baseline_completed,21,79,0.24050632911392406,1,1,1,-1.5,0.5,0.03172690763052209
baseline_completed,13,104,0.17307692307692307,2,1,4,0.0,2.5,0.04176706827309237
baseline_completed,22,109,0.09174311926605505,1,1,1,-1.5,1.5,0.043775100401606426
baseline_completed,18,91,0.06593406593406594,1,1,1,-0.5,1.5,0.03654618473895582
baseline_completed,19,99,0.010101010101010102,1,1,1,0.0,0.5,0.03975903614457831
