feature,importance
own_private_risk_before,0.6657870544815481
progress_gap_before,0.10843385297717432
round,0.07702752546923755
first_round_unsafe,0.07628637612133139
provider_provider_google,0.032296678878685994
model_slug_gpt-5-nano,0.018110037055053742
opponent_prev_unsafe,0.010904743407375652
opponent_private_risk_before,0.008222848763637833
experiment_mode_mode_risk_matrix,0.002930882845955467
max_private_risk,0.0
model_slug_google-gemini-3.1-flash-lite-preview,0.0
own_prev_unsafe,0.0
model_slug_google-gemini-3.5-flash-lite,0.0
model_slug_gpt-5.4-nano,0.0
provider_provider_openai,0.0
model_slug_google-gemini-3-flash-preview,0.0
persona_mode_persona_none,0.0
persona_mode_persona_risk_aware,0.0
experiment_mode_mode_baseline,0.0
experiment_mode_mode_strategy_persona,0.0
condition_condition_R0_neutral,0.0
condition_condition_R1_R1,0.0
condition_condition_R1_R2,0.0
condition_condition_R1_R3,0.0
condition_condition_R1_R4,0.0
condition_condition_R1_R5,0.0
condition_condition_R1_R6,0.0
condition_condition_R2_R1,0.0
condition_condition_R2_R2,0.0
condition_condition_R2_R3,0.0
condition_condition_R2_R4,0.0
condition_condition_R2_R5,0.0
condition_condition_R2_R6,0.0
condition_condition_R3_R1,0.0
condition_condition_R3_R2,0.0
condition_condition_R3_R3,0.0
condition_condition_R3_R4,0.0
condition_condition_R3_R5,0.0
condition_condition_R3_R6,0.0
condition_condition_R4_R1,0.0
condition_condition_R4_R2,0.0
condition_condition_R4_R3,0.0
condition_condition_R4_R4,0.0
condition_condition_R4_R5,0.0
condition_condition_R4_R6,0.0
condition_condition_R5_R1,0.0
condition_condition_R5_R2,0.0
condition_condition_R5_R3,0.0
condition_condition_R5_R4,0.0
condition_condition_R5_R5,0.0
condition_condition_R5_R6,0.0
condition_condition_R6_R1,0.0
condition_condition_R6_R2,0.0
condition_condition_R6_R3,0.0
condition_condition_R6_R4,0.0
condition_condition_R6_R5,0.0
condition_condition_R6_R6,0.0
condition_condition_Rminus_risk_averse,0.0
condition_condition_Rplus_risk_seeking,0.0
condition_condition_S_AA_adv_adv,0.0
condition_condition_S_AC_adv_coop,0.0
condition_condition_S_CA_coop_adv,0.0
condition_condition_S_CC_coop_coop,0.0
condition_condition_nonpersona,0.0
