rule,bootstraps,unsafe_rate_median,unsafe_rate_ci_low,unsafe_rate_ci_high,lift_median,lift_ci_low,lift_ci_high,support_median
gap_direction=near_tied & round_phase=mid_r5_8 & model_slug=gpt-5-nano,200,0.06377763871506048,0.03325757575757576,0.1125284090909091,-0.5168070909590949,-0.5779048730926647,-0.4650537265801501,150.0
gap_direction=near_tied & own_risk_state=risk_low & model_slug=gpt-5-nano,200,0.06396617566830332,0.02579691259021652,0.13636363636363635,-0.5174129824006071,-0.5760490318810736,-0.45528955593832043,107.0
gap_magnitude=gap_0_0_5 & opponent_risk_state=risk_low & model_slug=gpt-5-nano,200,0.06396617566830332,0.02579691259021652,0.13636363636363635,-0.5174129824006071,-0.5760490318810736,-0.45528955593832043,107.0
gap_direction=near_tied & opponent_risk_state=risk_low & model_slug=gpt-5-nano,200,0.06396617566830332,0.02579691259021652,0.13636363636363635,-0.5174129824006071,-0.5760490318810736,-0.45528955593832043,107.0
gap_magnitude=gap_0_0_5 & own_risk_state=risk_low & model_slug=gpt-5-nano,200,0.06396617566830332,0.02579691259021652,0.13636363636363635,-0.5174129824006071,-0.5760490318810736,-0.45528955593832043,107.0
prev_state=both_prev_safe & round_phase=late_r9plus & model_slug=gpt-5-nano,200,0.05951176321780926,0.009232695810564663,0.12753851540616248,-0.5232887688048508,-0.5944918698034436,-0.45333460115707597,102.0
round_phase=late_r9plus & model_slug=gpt-5-nano,200,0.05283094098883573,0.008894751082251082,0.1,-0.532005818455344,-0.5952096993465926,-0.4703057352088999,118.0
round_phase=late_r9plus & family=family_chatgpt & model_slug=gpt-5-nano,200,0.05283094098883573,0.008894751082251082,0.1,-0.532005818455344,-0.5952096993465926,-0.4703057352088999,118.0
prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & family=family_gemini,200,0.040161290322580645,0.011050724637681161,0.071494708994709,-0.5440936343355474,-0.604977342142969,-0.48718995814664434,121.0
prev_state=own_prev_unsafe & gap_direction=ahead & family=family_gemini,200,0.040161290322580645,0.011050724637681161,0.071494708994709,-0.5440936343355474,-0.604977342142969,-0.48718995814664434,121.0
gap_direction=ahead & family=family_gemini,200,0.03894872572815534,0.010929802955665027,0.06781230599434368,-0.5457070587288225,-0.6061930144826676,-0.488631145247889,124.0
gap_direction=ahead & gap_magnitude=gap_0_5_1 & family=family_gemini,200,0.03894872572815534,0.010929802955665027,0.06781230599434368,-0.5457070587288225,-0.6061930144826676,-0.488631145247889,124.0
