analysis_scope,provider,experiment_mode,model_slug,gap_bin,n,mean,ci95_low,ci95_high
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,behind_1_2,59,0.7966101694915254,0.6938990161609,0.8993213228221508
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,behind_0_5_1,300,0.86,0.820734721020559,0.899265278979441
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,tied_or_slight_behind,1801,0.7667962243198223,0.7472660110136498,0.7863264376259949
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,ahead_0_0_5,3564,0.24971941638608305,0.2355083969607295,0.2639304358114366
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,ahead_0_5_1,1801,0.5063853414769572,0.48329481677641384,0.5294758661775006
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,ahead_1_2,346,0.7023121387283237,0.6541324852262507,0.7504917922303966
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,ahead_gt2,13,0.7692307692307693,0.5401958662133862,0.9982656722481523
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,behind_1_2,24,0.20833333333333334,0.04585292140851313,0.3708137452581536
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,behind_0_5_1,41,0.17073170731707318,0.05555391104353362,0.28590950359061273
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,tied_or_slight_behind,102,0.5784313725490197,0.48259815991496224,0.6742645851830771
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,ahead_0_0_5,1982,0.4989909182643794,0.4769782156625701,0.5210036208661887
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,ahead_0_5_1,102,0.19607843137254902,0.1190275274982315,0.27312933524686656
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,ahead_1_2,65,0.27692307692307694,0.16813752539107857,0.3857086284550753
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,behind_gt2,750,0.052,0.03610972987013751,0.06789027012986248
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,behind_1_2,1447,0.13130615065653076,0.11390420877025834,0.14870809254280318
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,behind_0_5_1,1200,0.20583333333333334,0.1829573838286518,0.2287092828380149
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,tied_or_slight_behind,1997,0.28793189784677015,0.2680721973518991,0.3077915983416412
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,ahead_0_0_5,7140,0.22549019607843138,0.21579661477216824,0.2351837773846945
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,ahead_0_5_1,1997,0.5483224837255883,0.526495219667482,0.5701497477836946
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,ahead_1_2,2110,0.5511848341232227,0.5299623002575657,0.5724073679888797
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,ahead_gt2,1287,0.45843045843045843,0.43120779298732337,0.4856531238735935
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,behind_gt2,1951,0.06919528446950282,0.05793381733805217,0.08045675160095347
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,behind_1_2,1919,0.11985409067222512,0.10532219229822119,0.13438598904622906
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,behind_0_5_1,1248,0.1594551282051282,0.13914332521049397,0.17976693119976242
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,tied_or_slight_behind,1631,0.2556713672593501,0.234499824760019,0.27684290975868114
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,ahead_0_0_5,4430,0.3200902934537246,0.3063525285105418,0.3338280583969074
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,ahead_0_5_1,1631,0.7345187001839363,0.7130874509468268,0.7559499494210458
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,ahead_1_2,2305,0.754880694143167,0.7373197231791637,0.7724416651071704
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,ahead_gt2,2813,0.7575542125844295,0.7417167578984049,0.773391667270454
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,behind_gt2,141,0.07801418439716312,0.03374562175254234,0.1222827470417839
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,behind_1_2,238,0.14285714285714285,0.09839962843904596,0.18731465727523974
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,behind_0_5_1,157,0.1337579617834395,0.0805121203745695,0.18700380319230947
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,tied_or_slight_behind,301,0.16943521594684385,0.12705517028006452,0.21181526161362318
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,ahead_0_0_5,1812,0.1120309050772627,0.09750829013916837,0.12655352001535702
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,ahead_0_5_1,301,0.4418604651162791,0.3857573741239242,0.49796355610863396
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,ahead_1_2,302,0.5860927152317881,0.5305423016596829,0.6416431288038933
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,ahead_gt2,234,0.5256410256410257,0.4616607170641648,0.5896213342178865
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,behind_gt2,198,0.09090909090909091,0.05086570513854684,0.130952476679635
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,behind_1_2,209,0.2583732057416268,0.19902612361481797,0.31772028786843565
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,behind_0_5_1,217,0.3870967741935484,0.3222882795174966,0.45190526886960014
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,tied_or_slight_behind,508,0.46653543307086615,0.4231524589894465,0.5099184071522859
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,ahead_0_0_5,1222,0.3330605564648118,0.30663493123629526,0.35948618169332835
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,ahead_0_5_1,508,0.6181102362204725,0.5758602869399003,0.6603601855010446
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,ahead_1_2,341,0.7302052785923754,0.6830947377502551,0.7773158194344957
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,ahead_gt2,283,0.7597173144876325,0.7099378632856039,0.809496765689661
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,tied_or_slight_behind,35,1.0,1.0,1.0
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,ahead_0_0_5,428,0.7733644859813084,0.733701054739188,0.8130279172234287
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,ahead_0_5_1,35,0.0,0.0,0.0
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,tied_or_slight_behind,26,1.0,1.0,1.0
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,ahead_0_0_5,446,0.852017937219731,0.8190632230351234,0.8849726514043386
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,ahead_0_5_1,26,0.0,0.0,0.0
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,tied_or_slight_behind,64,1.0,1.0,1.0
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,ahead_0_0_5,370,0.7243243243243244,0.6787918796929873,0.7698567689556615
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,ahead_0_5_1,64,0.078125,0.012374793919643315,0.1438752060803567
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,behind_1_2,5,0.4,0.0,0.8294144850840502
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,behind_0_5_1,5,0.0,0.0,0.0
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,tied_or_slight_behind,57,0.3508771929824561,0.22698051904114863,0.4747738669237636
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,ahead_0_0_5,364,0.10989010989010989,0.07776042275141518,0.1420197970288046
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,ahead_0_5_1,57,0.07017543859649122,0.0038604470939337804,0.13649043009904865
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,ahead_1_2,10,0.3,0.015969015774687012,0.584030984225313
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,behind_gt2,8,0.75,0.4499375065090607,1.0
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,behind_1_2,42,0.5952380952380952,0.4467893261726798,0.7436868643035106
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,behind_0_5_1,49,0.4897959183673469,0.34982507592259393,0.6297667608120999
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,tied_or_slight_behind,89,0.550561797752809,0.44721450676772184,0.6539090887378961
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,ahead_0_0_5,122,0.4672131147540984,0.3786790443727744,0.5557471851354224
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,ahead_0_5_1,89,0.7078651685393258,0.6133877517814842,0.8023425852971674
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,ahead_1_2,79,0.5569620253164557,0.4474212539470488,0.6665027966858625
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,ahead_gt2,20,0.55,0.3319637644793876,0.7680362355206125
