expanded_best_strategy,player_sequences,unsafe_rate,final_progress,final_stage_payoff,progress_advantage,payoff_advantage,win_rate
AS,2825,0.04701114126777844,9.490088495575222,8.751150442477876,-1.2008849557522123,-4.323185840707964,0.05451327433628319
AU,1282,0.911119823580822,13.053822152886115,18.544929797191887,1.78393135725429,6.422152886115444,0.6653666146645866
ANTI_CS,558,0.5354663705470156,11.078853046594983,14.302508960573476,1.1397849462365592,4.103225806451613,0.6989247311827957
CAS,313,0.5366359590001762,11.702875399361023,14.522044728434503,0.3929712460063898,1.4146964856230033,0.549520766773163
ALT_SAFE_FIRST,271,0.4499119986204857,11.898523985239853,14.866420664206643,0.9446494464944649,3.400738007380074,0.6346863468634686
CS,227,0.5556352604810755,11.62114537444934,13.885462555066079,-0.3854625550660793,-1.3876651982378851,0.09691629955947137
ANTI_CAS,217,0.4688417125629107,11.04147465437788,12.544700460829493,-0.7419354838709677,-2.6709677419354834,0.3271889400921659
BULLY_UNTIL_FAR_AHEAD,151,0.5192787712655262,12.894039735099337,17.196026490066224,2.1324503311258276,7.67682119205298,1.0
WSLS_U,150,0.4916867576867577,11.07,12.995999999999999,-0.36333333333333334,-1.308,0.26
ALT_UNSAFE_FIRST,147,0.5544927389315145,11.850340136054422,15.130612244897957,0.9115646258503401,3.2816326530612243,0.6258503401360545
CATCHUP_ATTACK,102,0.4284593266210914,13.151960784313726,15.398039215686273,-0.12745098039215685,-0.45882352941176446,0.12745098039215685
PROBE_COOLDOWN_R2,79,0.24214795401504263,10.626582278481013,10.617721518987342,-1.379746835443038,-4.9670886075949365,0.11392405063291139
TF2T_S,67,0.4126014946910469,11.343283582089553,12.614925373134328,-0.835820895522388,-3.0089552238805974,0.04477611940298507
DELAYED_ATTACK_R3,65,0.6047176754869064,11.315384615384616,14.372307692307693,0.4461538461538462,1.6061538461538467,0.4
ONE_SHOT_PUNISHER,52,0.3781774315428162,11.826923076923077,12.888461538461538,-0.9807692307692307,-3.530769230769231,0.038461538461538464
DELAYED_ATTACK_R2,49,0.7311005604372951,11.846938775510203,16.6734693877551,2.0918367346938775,7.530612244897959,1.0
GRIM_S,46,0.5980597301249475,11.630434782608695,14.921739130434782,0.717391304347826,2.582608695652174,0.6304347826086957
PROBE_COOLDOWN_R3,43,0.422649153172409,11.465116279069768,12.604651162790697,-0.9883720930232558,-3.558139534883721,0.3023255813953488
WSLS_S,40,0.4587857281607282,12.8125,15.184999999999999,0.0125,0.04499999999999993,0.3
DESPERATE_CATCHUP,34,0.4380395748042807,11.882352941176471,13.370588235294118,-0.8235294117647058,-2.9647058823529413,0.0
LEADER_ATTACK,23,0.4091973244147157,10.391304347826088,13.286956521739132,1.391304347826087,5.008695652173913,0.9565217391304348
BULLY_RETALIATOR,17,0.6216286164815576,14.852941176470589,20.0,2.0588235294117645,7.411764705882353,1.0
OPPORTUNIST,9,0.35408249158249155,14.166666666666666,16.77777777777778,0.5555555555555556,2.000000000000001,0.5555555555555556
PRESS_WHEN_NOT_BEHIND,3,0.6599358974358974,17.333333333333332,19.93333333333334,-2.1666666666666665,-7.79999999999999,0.0
LEADER_OR_RETALIATE,2,0.5,13.75,17.5,1.25,4.5,1.0
STRICT_LEADER_ATTACK,2,0.4920634920634921,10.0,13.6,2.0,7.2,1.0
