scope,scope_label,feature,importance,n,clusters
common_baseline_r2,Common baseline round 2+,own_prev_unsafe,0.01043174141548678,2490,150
common_baseline_r2,Common baseline round 2+,opponent_prev_unsafe,0.07337482265702854,2490,150
common_baseline_r2,Common baseline round 2+,progress_gap_before,0.04412312036763699,2490,150
common_baseline_r2,Common baseline round 2+,own_private_risk_before,0.08739215976269592,2490,150
common_baseline_r2,Common baseline round 2+,opponent_private_risk_before,0.0742308373629008,2490,150
common_baseline_r2,Common baseline round 2+,round,0.022920281011296523,2490,150
common_baseline_r2,Common baseline round 2+,max_private_risk,0.02890569289758964,2490,150
common_baseline_r2,Common baseline round 2+,prev_state_both_prev_safe,0.018202878648347628,2490,150
common_baseline_r2,Common baseline round 2+,prev_state_both_prev_unsafe,0.0279554808061374,2490,150
common_baseline_r2,Common baseline round 2+,prev_state_opponent_prev_unsafe,0.010973533673657535,2490,150
common_baseline_r2,Common baseline round 2+,prev_state_own_prev_unsafe,0.028570722048196162,2490,150
common_baseline_r2,Common baseline round 2+,gap_direction_ahead,0.03998755479892321,2490,150
common_baseline_r2,Common baseline round 2+,gap_direction_behind,0.008850109828442868,2490,150
common_baseline_r2,Common baseline round 2+,gap_direction_near_tied,0.013721244594044384,2490,150
common_baseline_r2,Common baseline round 2+,gap_magnitude_gap_0_0_5,0.01704133976283016,2490,150
common_baseline_r2,Common baseline round 2+,gap_magnitude_gap_0_5_1,0.01138558246830778,2490,150
common_baseline_r2,Common baseline round 2+,gap_magnitude_gap_1plus,0.0031194780064767607,2490,150
common_baseline_r2,Common baseline round 2+,own_risk_state_risk_high,0.006755017574877755,2490,150
common_baseline_r2,Common baseline round 2+,own_risk_state_risk_low,0.015501845673434324,2490,150
common_baseline_r2,Common baseline round 2+,own_risk_state_risk_mid,0.005083718265001465,2490,150
common_baseline_r2,Common baseline round 2+,own_risk_state_risk_very_high,0.01951214560779867,2490,150
common_baseline_r2,Common baseline round 2+,own_risk_state_risk_zero,0.0043590696017424945,2490,150
common_baseline_r2,Common baseline round 2+,opponent_risk_state_risk_high,0.004316352708566012,2490,150
common_baseline_r2,Common baseline round 2+,opponent_risk_state_risk_low,0.01703008889943963,2490,150
common_baseline_r2,Common baseline round 2+,opponent_risk_state_risk_mid,0.0034735682749727314,2490,150
common_baseline_r2,Common baseline round 2+,opponent_risk_state_risk_very_high,0.01011452888711181,2490,150
common_baseline_r2,Common baseline round 2+,opponent_risk_state_risk_zero,0.008456572943294473,2490,150
common_baseline_r2,Common baseline round 2+,round_phase_early_r2_4,0.006747271633330777,2490,150
common_baseline_r2,Common baseline round 2+,round_phase_late_r9plus,0.0018174344537702485,2490,150
common_baseline_r2,Common baseline round 2+,round_phase_mid_r5_8,0.0016058549262706362,2490,150
common_baseline_r2,Common baseline round 2+,family_family_chatgpt,0.11069226564818746,2490,150
common_baseline_r2,Common baseline round 2+,family_family_gemini,0.0875539912539,2490,150
common_baseline_r2,Common baseline round 2+,model_slug_google-gemini-3-flash-preview,0.0031831720624640463,2490,150
common_baseline_r2,Common baseline round 2+,model_slug_google-gemini-3.1-flash-lite-preview,0.013614985645796716,2490,150
common_baseline_r2,Common baseline round 2+,model_slug_google-gemini-3.5-flash-lite,0.004682804499917261,2490,150
common_baseline_r2,Common baseline round 2+,model_slug_gpt-5-nano,0.11343170601750778,2490,150
common_baseline_r2,Common baseline round 2+,model_slug_gpt-5.4-nano,0.04088102531261639,2490,150
common_all_r2,Common all completed round 2+,own_prev_unsafe,0.05854619065415625,55518,3369
common_all_r2,Common all completed round 2+,opponent_prev_unsafe,0.018960989051971824,55518,3369
common_all_r2,Common all completed round 2+,progress_gap_before,0.06529831347003974,55518,3369
common_all_r2,Common all completed round 2+,own_private_risk_before,0.21512554366379144,55518,3369
common_all_r2,Common all completed round 2+,opponent_private_risk_before,0.025557554173069,55518,3369
common_all_r2,Common all completed round 2+,round,0.03934295927945722,55518,3369
common_all_r2,Common all completed round 2+,max_private_risk,0.004883724278981223,55518,3369
common_all_r2,Common all completed round 2+,prev_state_both_prev_safe,0.037549410537488226,55518,3369
common_all_r2,Common all completed round 2+,prev_state_both_prev_unsafe,0.031227585828204632,55518,3369
common_all_r2,Common all completed round 2+,prev_state_opponent_prev_unsafe,0.004641570081974153,55518,3369
common_all_r2,Common all completed round 2+,prev_state_own_prev_unsafe,0.017313256225268792,55518,3369
common_all_r2,Common all completed round 2+,gap_direction_ahead,0.03345141510558463,55518,3369
common_all_r2,Common all completed round 2+,gap_direction_behind,0.016185915202499176,55518,3369
common_all_r2,Common all completed round 2+,gap_direction_near_tied,0.010029994086278455,55518,3369
common_all_r2,Common all completed round 2+,gap_magnitude_gap_0_0_5,0.013749213149210853,55518,3369
common_all_r2,Common all completed round 2+,gap_magnitude_gap_0_5_1,0.0066878947929662124,55518,3369
common_all_r2,Common all completed round 2+,gap_magnitude_gap_1plus,0.00806458684722054,55518,3369
common_all_r2,Common all completed round 2+,own_risk_state_risk_high,0.010910855620221607,55518,3369
common_all_r2,Common all completed round 2+,own_risk_state_risk_low,0.01268202437600171,55518,3369
common_all_r2,Common all completed round 2+,own_risk_state_risk_mid,0.02306969014978498,55518,3369
common_all_r2,Common all completed round 2+,own_risk_state_risk_very_high,0.0021862634366902507,55518,3369
common_all_r2,Common all completed round 2+,own_risk_state_risk_zero,0.17226135407281423,55518,3369
