bootstrap,term,coef,error
0,own_prev_unsafe,-0.23319378273724561,
0,opponent_prev_unsafe,1.3227415037052206,
0,progress_gap_before,-1.1937079992729898,
0,first_round_unsafe,1.84777578468816,
1,own_prev_unsafe,-0.3591937994681579,
1,opponent_prev_unsafe,0.9351404529263444,
1,progress_gap_before,-1.4338837089899896,
1,first_round_unsafe,1.8774011284996868,
2,own_prev_unsafe,-0.3611666472753392,
2,opponent_prev_unsafe,0.8755582603407814,
2,progress_gap_before,-0.7262157391322929,
2,first_round_unsafe,1.418569049019137,
3,own_prev_unsafe,-0.549481187020093,
3,opponent_prev_unsafe,1.0953814353258409,
3,progress_gap_before,-1.0619641181527357,
3,first_round_unsafe,1.9742491773019677,
4,own_prev_unsafe,-0.47637711849118014,
4,opponent_prev_unsafe,0.8887536652217346,
4,progress_gap_before,-0.7277250629060822,
4,first_round_unsafe,1.7719641833548643,
5,own_prev_unsafe,-0.5108233440306417,
5,opponent_prev_unsafe,0.6174212589017335,
5,progress_gap_before,-0.8309901352706649,
5,first_round_unsafe,1.8151614843666048,
6,own_prev_unsafe,-0.15170114583999428,
6,opponent_prev_unsafe,0.9157943024801578,
6,progress_gap_before,-1.2058261345396344,
6,first_round_unsafe,1.4570506270600512,
7,own_prev_unsafe,-0.36294259588033584,
7,opponent_prev_unsafe,1.0000833403387166,
7,progress_gap_before,-1.44661719287986,
7,first_round_unsafe,1.4662109021006393,
8,own_prev_unsafe,-0.09074874301299408,
8,opponent_prev_unsafe,1.0775939574575728,
8,progress_gap_before,-1.0337031297430939,
8,first_round_unsafe,1.7566428927614992,
9,own_prev_unsafe,-0.4829536732129399,
9,opponent_prev_unsafe,1.1129477931617782,
9,progress_gap_before,-0.8982669997807307,
9,first_round_unsafe,1.8665291861558628,
10,own_prev_unsafe,-0.2999483360962312,
10,opponent_prev_unsafe,0.6530482936101835,
10,progress_gap_before,-0.9971816433352501,
10,first_round_unsafe,1.565986760974438,
11,own_prev_unsafe,-0.30449422399987636,
11,opponent_prev_unsafe,0.782161082313167,
11,progress_gap_before,-1.029632424837796,
11,first_round_unsafe,1.4116223048599035,
12,own_prev_unsafe,-0.7938877636626499,
12,opponent_prev_unsafe,1.1388193699023343,
12,progress_gap_before,-1.195738617761341,
12,first_round_unsafe,1.6693035340745384,
13,own_prev_unsafe,-0.41272997367448194,
13,opponent_prev_unsafe,0.8977393966965412,
13,progress_gap_before,-1.2648477084895524,
13,first_round_unsafe,1.953531760621125,
14,own_prev_unsafe,-0.5371915099319807,
14,opponent_prev_unsafe,1.0638639581850606,
14,progress_gap_before,-0.7989944853938217,
14,first_round_unsafe,1.2275218225201436,
15,own_prev_unsafe,-0.8850331107339322,
15,opponent_prev_unsafe,1.278166019349482,
15,progress_gap_before,-1.0605371563796162,
15,first_round_unsafe,2.1621594030870614,
16,own_prev_unsafe,-0.10439645451469329,
16,opponent_prev_unsafe,1.2405863315796484,
16,progress_gap_before,-0.8127037413601675,
16,first_round_unsafe,1.7390985310358649,
17,own_prev_unsafe,-0.5664176226654527,
17,opponent_prev_unsafe,1.2040702489280717,
17,progress_gap_before,-1.0677683566074272,
17,first_round_unsafe,1.5945629446459386,
18,own_prev_unsafe,-0.2981824505897113,
18,opponent_prev_unsafe,0.726907069689887,
18,progress_gap_before,-0.7998135751496117,
18,first_round_unsafe,1.8127553453336938,
19,own_prev_unsafe,-0.5736678607654703,
19,opponent_prev_unsafe,1.1471000384702181,
19,progress_gap_before,-0.9464619539426025,
19,first_round_unsafe,2.0854573606950626,
20,own_prev_unsafe,-0.4988922143097797,
20,opponent_prev_unsafe,1.3428575511997205,
20,progress_gap_before,-1.0207749091924778,
20,first_round_unsafe,1.4763761677293235,
21,own_prev_unsafe,-0.2846276823202608,
21,opponent_prev_unsafe,1.402237963719544,
21,progress_gap_before,-0.9744092652198042,
21,first_round_unsafe,1.3815975706758465,
22,own_prev_unsafe,-0.37631372222919024,
22,opponent_prev_unsafe,1.1636939114906455,
22,progress_gap_before,-1.095928709894522,
22,first_round_unsafe,1.901665246982454,
23,own_prev_unsafe,-0.13029713076302102,
23,opponent_prev_unsafe,1.1580955054065913,
23,progress_gap_before,-0.9996580114348794,
23,first_round_unsafe,1.4839757496880528,
24,own_prev_unsafe,-0.4200257358624325,
24,opponent_prev_unsafe,0.9042157141230742,
24,progress_gap_before,-1.352937786615806,
24,first_round_unsafe,1.569538432623587,
25,own_prev_unsafe,-0.46718910706190847,
25,opponent_prev_unsafe,1.1248088484218557,
25,progress_gap_before,-1.7220410504141708,
25,first_round_unsafe,1.705802335530257,
26,own_prev_unsafe,-0.8607505152312741,
26,opponent_prev_unsafe,1.0196013622020104,
26,progress_gap_before,-1.2429472709343812,
26,first_round_unsafe,2.0037636763189495,
27,own_prev_unsafe,-0.5962219743393975,
27,opponent_prev_unsafe,1.2660245884456514,
27,progress_gap_before,-0.8933664372773011,
27,first_round_unsafe,1.7687558289545338,
28,own_prev_unsafe,-0.0491508988389503,
28,opponent_prev_unsafe,0.9115449249702495,
28,progress_gap_before,-1.0708328409869676,
28,first_round_unsafe,1.470235743241312,
29,own_prev_unsafe,-0.6603246042148523,
29,opponent_prev_unsafe,1.0496281205690416,
29,progress_gap_before,-1.1461551985791791,
29,first_round_unsafe,2.170606560890519,
30,own_prev_unsafe,-0.6784505747847824,
30,opponent_prev_unsafe,0.8974733047587664,
30,progress_gap_before,-1.22995063225798,
30,first_round_unsafe,1.7813004239154688,
31,own_prev_unsafe,-0.3758967903588817,
31,opponent_prev_unsafe,0.9186855983750903,
31,progress_gap_before,-1.4420034731815137,
31,first_round_unsafe,1.5886223860696078,
32,own_prev_unsafe,-0.21729426694411447,
32,opponent_prev_unsafe,1.0148516710345654,
32,progress_gap_before,-0.8855918412714658,
32,first_round_unsafe,1.6728414405044987,
33,own_prev_unsafe,-0.5124412677810299,
33,opponent_prev_unsafe,1.1397872965581266,
33,progress_gap_before,-1.3685780030583998,
33,first_round_unsafe,1.7546694509430516,
34,own_prev_unsafe,0.06546906926813065,
34,opponent_prev_unsafe,1.0490191097613655,
34,progress_gap_before,-1.2140844142212484,
34,first_round_unsafe,1.6707192850099346,
35,own_prev_unsafe,0.01705696449288673,
35,opponent_prev_unsafe,1.361234093535954,
35,progress_gap_before,-1.0596051201439602,
35,first_round_unsafe,1.8458412889294171,
36,own_prev_unsafe,-0.324850975595264,
36,opponent_prev_unsafe,0.9938664065852945,
36,progress_gap_before,-1.2742781514898165,
36,first_round_unsafe,1.6751584789707512,
37,own_prev_unsafe,-0.30246148740172485,
37,opponent_prev_unsafe,1.1352724330094275,
37,progress_gap_before,-1.0721065286589775,
37,first_round_unsafe,1.4724678485281129,
38,own_prev_unsafe,-0.7950827751449923,
38,opponent_prev_unsafe,1.0784793613225172,
38,progress_gap_before,-0.9941177800536886,
38,first_round_unsafe,1.8911343443122481,
39,own_prev_unsafe,-0.18969138218909234,
39,opponent_prev_unsafe,1.2057560850589606,
39,progress_gap_before,-0.6846976438914534,
39,first_round_unsafe,1.2770216334958098,
40,own_prev_unsafe,-0.6543360843327225,
40,opponent_prev_unsafe,1.3010151873461753,
40,progress_gap_before,-1.0600761943783272,
40,first_round_unsafe,2.1527777390680334,
41,own_prev_unsafe,-0.042117237820973735,
41,opponent_prev_unsafe,1.4906175254349074,
41,progress_gap_before,-0.6828460426364691,
41,first_round_unsafe,1.6167869856973658,
42,own_prev_unsafe,-0.08775906345275633,
42,opponent_prev_unsafe,1.628792356932484,
42,progress_gap_before,-1.3490386245140693,
42,first_round_unsafe,1.264802256755539,
43,own_prev_unsafe,-0.6392688109391237,
43,opponent_prev_unsafe,0.9852248996991283,
43,progress_gap_before,-0.7999456266249383,
43,first_round_unsafe,1.6783879361842977,
44,own_prev_unsafe,-0.4013427257330627,
44,opponent_prev_unsafe,1.0119600625082659,
44,progress_gap_before,-1.0664554338297894,
44,first_round_unsafe,1.746307101384754,
45,own_prev_unsafe,-0.6716696328371381,
45,opponent_prev_unsafe,0.668889884599619,
45,progress_gap_before,-1.095664670904454,
45,first_round_unsafe,1.7075484248821944,
46,own_prev_unsafe,-0.2614648064808334,
46,opponent_prev_unsafe,0.907716959226084,
46,progress_gap_before,-0.8997166619765814,
46,first_round_unsafe,1.2866909565729183,
47,own_prev_unsafe,-0.241466176332951,
47,opponent_prev_unsafe,1.606682793399822,
47,progress_gap_before,-1.0637790245676118,
47,first_round_unsafe,1.6591059659296157,
48,own_prev_unsafe,-0.4091268183683432,
48,opponent_prev_unsafe,0.7609593080117679,
48,progress_gap_before,-1.30893983035811,
48,first_round_unsafe,1.879383608265559,
