scope,leaf_id,n,unsafe_rate,provider_mode_count,experiment_mode_count,model_count,gap_min,gap_max,support_share
all_completed,22,1498,0.8951935914552737,1,2,1,-2.0,-0.5,0.026982239994236105
all_completed,30,8007,0.7820656925190458,2,3,5,-0.5,6.5,0.1442234950826759
all_completed,26,107,0.7289719626168224,1,2,1,-2.0,-1.0,0.0019273028567311503
all_completed,29,9424,0.6467529711375212,2,3,5,-0.5,7.5,0.1697467488021903
all_completed,20,6255,0.5109512390087929,1,3,2,0.5,5.0,0.11266616232573219
all_completed,8,2426,0.4505358615004122,1,3,1,0.0,0.0,0.04369753953672683
all_completed,15,409,0.4474327628361858,1,2,1,-2.0,0.0,0.007366980078533088
all_completed,27,1128,0.32978723404255317,1,1,2,-6.0,-1.0,0.020317734788717172
all_completed,19,5713,0.30124277962541574,1,3,2,-6.5,0.0,0.10290356280845851
all_completed,12,80,0.3,1,3,2,0.0,1.5,0.0014409740984905797
all_completed,7,103,0.2524271844660194,1,2,1,-0.5,-0.5,0.0018552541518066213
all_completed,4,984,0.24390243902439024,2,3,2,-0.5,-0.5,0.01772398141143413
all_completed,5,920,0.10217391304347827,2,3,2,0.0,0.0,0.016571202132641665
all_completed,14,8536,0.07638238050609185,1,3,2,-7.5,0.5,0.15375193630894485
all_completed,23,681,0.0763582966226138,1,2,1,0.0,0.5,0.01226629201340106
all_completed,11,9247,0.018925056775170326,2,3,3,-0.5,0.0,0.16655859360927988
