family,model_slug,max_private_risk,decisions,unsafe_rate
family_chatgpt,gpt-5-nano,0.1,166,0.13253012048192772
family_chatgpt,gpt-5-nano,0.6000000000000001,166,0.13855421686746988
family_chatgpt,gpt-5-nano,0.9,166,0.14457831325301204
family_chatgpt,gpt-5.4-nano,0.1,166,0.608433734939759
family_chatgpt,gpt-5.4-nano,0.6000000000000001,166,0.4759036144578313
family_chatgpt,gpt-5.4-nano,0.9,166,0.5963855421686747
family_gemini,google-gemini-3-flash-preview,0.1,166,1.0
family_gemini,google-gemini-3-flash-preview,0.6000000000000001,166,0.7048192771084337
family_gemini,google-gemini-3-flash-preview,0.9,166,0.5
family_gemini,google-gemini-3.1-flash-lite-preview,0.1,166,1.0
family_gemini,google-gemini-3.1-flash-lite-preview,0.6000000000000001,166,0.7771084337349398
family_gemini,google-gemini-3.1-flash-lite-preview,0.9,166,0.6686746987951807
family_gemini,google-gemini-3.5-flash-lite,0.1,166,0.8012048192771084
family_gemini,google-gemini-3.5-flash-lite,0.6000000000000001,166,0.6506024096385542
family_gemini,google-gemini-3.5-flash-lite,0.9,166,0.5783132530120482
