model_slug,round_phase,adversarial,cooperative,adv_minus_coop_gap
google-gemini-3-flash-preview,round_1,1.0,0.0,1.0
google-gemini-3-flash-preview,early_r2_4,0.7222222222222222,0.017094017094017096,0.7051282051282051
google-gemini-3-flash-preview,mid_r5_8,0.625,0.028455284552845527,0.5965447154471545
google-gemini-3-flash-preview,late_r9plus,0.5,0.007936507936507936,0.4920634920634921
gpt-5-nano,round_1,0.08333333333333333,0.0,0.08333333333333333
gpt-5-nano,early_r2_4,0.5555555555555556,0.002777777777777778,0.5527777777777778
gpt-5-nano,mid_r5_8,0.4772727272727273,0.015151515151515152,0.46212121212121215
gpt-5-nano,late_r9plus,0.4666666666666667,0.016666666666666666,0.45
gpt-5.4-nano,round_1,0.8166666666666667,0.0,0.8166666666666667
gpt-5.4-nano,early_r2_4,0.7416666666666667,0.027777777777777776,0.7138888888888889
gpt-5.4-nano,mid_r5_8,0.7853535353535354,0.05555555555555555,0.7297979797979798
gpt-5.4-nano,late_r9plus,0.7333333333333333,0.0625,0.6708333333333333
