model_slug,own_risk_label,n,unsafe_rate,ci95_low,ci95_high
google-gemini-3-flash-preview,1,2790,0.3078853046594982,0.29075608868385167,0.32501452063514474
google-gemini-3-flash-preview,2,2469,0.32563791008505466,0.3071533303993236,0.34412248977078574
google-gemini-3-flash-preview,3,1620,0.582716049382716,0.5587032443527652,0.6067288544126669
google-gemini-3-flash-preview,4,909,0.6347634763476347,0.6034618289500852,0.6660651237451843
google-gemini-3-flash-preview,5,558,0.8620071684587813,0.8333902626714811,0.8906240742460816
google-gemini-3-flash-preview,6,558,0.9354838709677419,0.9150997834706157,0.955867958464868
gpt-5-nano,1,3348,0.01762246117084827,0.013165530896085617,0.02207939144561092
gpt-5-nano,2,3348,0.013440860215053764,0.009540197122593108,0.01734152330751442
gpt-5-nano,3,3348,0.16547192353643966,0.1528842352254278,0.17805961184745153
gpt-5-nano,4,3348,0.45459976105137395,0.43773284784328614,0.47146667425946176
gpt-5-nano,5,3348,0.4982078853046595,0.4812711164159079,0.515144654193411
gpt-5-nano,6,3348,0.5185185185185185,0.5015932613385559,0.5354437756984811
gpt-5.4-nano,1,3348,0.003882915173237754,0.0017762404101605012,0.0059895899363150065
gpt-5.4-nano,2,3348,0.0023894862604540022,0.0007356362350094646,0.00404333628589854
gpt-5.4-nano,3,3348,0.3461768219832736,0.3300613697904416,0.3622922741761056
gpt-5.4-nano,4,3348,0.47192353643966545,0.4550133821096885,0.4888336907696424
gpt-5.4-nano,5,3348,0.7861409796893668,0.7722517758726386,0.800030183506095
gpt-5.4-nano,6,3348,0.9847670250896058,0.980618225475833,0.9889158247033786
