scope,scope_label,rule,depth,support,support_share,unsafe_rate,baseline_unsafe_rate,lift,abs_lift,direction
common_all_r2,Common all completed round 2+,prev_state=both_prev_unsafe & family=family_gemini & persona_mode=persona_risk_aware,3,3014,0.054288699160632586,0.9114134041141341,0.389135055297381,0.5222783488167531,0.5222783488167531,unsafe_rule
common_all_r2,Common all completed round 2+,prev_state=both_prev_unsafe & model_slug=google-gemini-3-flash-preview & persona_mode=persona_risk_aware,3,3014,0.054288699160632586,0.9114134041141341,0.389135055297381,0.5222783488167531,0.5222783488167531,unsafe_rule
common_all_r2,Common all completed round 2+,prev_state=both_prev_unsafe & model_slug=google-gemini-3-flash-preview,2,3322,0.05983644943982132,0.9027694160144492,0.389135055297381,0.5136343607170681,0.5136343607170681,unsafe_rule
common_all_r2,Common all completed round 2+,prev_state=both_prev_unsafe & family=family_gemini & model_slug=google-gemini-3-flash-preview,3,3322,0.05983644943982132,0.9027694160144492,0.389135055297381,0.5136343607170681,0.5136343607170681,unsafe_rule
common_all_r2,Common all completed round 2+,prev_state=both_prev_unsafe & family=family_gemini,2,3928,0.07075182823588747,0.8879837067209776,0.389135055297381,0.4988486514235966,0.4988486514235966,unsafe_rule
common_all_r2,Common all completed round 2+,opponent_risk_state=risk_low & max_risk_level=risk_0.1 & family=family_gemini,3,2896,0.05216326236535898,0.835635359116022,0.389135055297381,0.44650030381864103,0.44650030381864103,unsafe_rule
common_all_r2,Common all completed round 2+,own_risk_state=risk_low & opponent_risk_state=risk_low & family=family_gemini,3,2798,0.05039806909470802,0.8305932809149392,0.389135055297381,0.4414582256175582,0.4414582256175582,unsafe_rule
common_all_r2,Common all completed round 2+,opponent_risk_state=risk_low & max_risk_level=risk_0.1 & model_slug=google-gemini-3-flash-preview,3,2564,0.046183219856623076,0.8272230889235569,0.389135055297381,0.4380880336261759,0.4380880336261759,unsafe_rule
common_all_r2,Common all completed round 2+,own_risk_state=risk_high & max_risk_level=risk_0.6 & model_slug=gpt-5.4-nano,3,2495,0.04494037969667495,0.8236472945891784,0.389135055297381,0.4345122392917974,0.4345122392917974,unsafe_rule
common_all_r2,Common all completed round 2+,own_risk_state=risk_low & opponent_risk_state=risk_low & model_slug=google-gemini-3-flash-preview,3,2466,0.04441802658597212,0.8211678832116789,0.389135055297381,0.43203282791429787,0.43203282791429787,unsafe_rule
common_baseline_r2,Common baseline round 2+,gap_direction=ahead & family=family_gemini,2,125,0.050200803212851405,0.04,0.585140562248996,-0.545140562248996,0.545140562248996,safe_rule
common_baseline_r2,Common baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & family=family_gemini,3,125,0.050200803212851405,0.04,0.585140562248996,-0.545140562248996,0.545140562248996,safe_rule
common_baseline_r2,Common baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & family=family_gemini,3,122,0.04899598393574297,0.040983606557377046,0.585140562248996,-0.5441569556916189,0.5441569556916189,safe_rule
common_baseline_r2,Common baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & family=family_gemini,3,122,0.04899598393574297,0.040983606557377046,0.585140562248996,-0.5441569556916189,0.5441569556916189,safe_rule
common_baseline_r2,Common baseline round 2+,round_phase=late_r9plus & model_slug=gpt-5-nano,2,120,0.04819277108433735,0.05,0.585140562248996,-0.535140562248996,0.535140562248996,safe_rule
common_baseline_r2,Common baseline round 2+,round_phase=late_r9plus & family=family_chatgpt & model_slug=gpt-5-nano,3,120,0.04819277108433735,0.05,0.585140562248996,-0.535140562248996,0.535140562248996,safe_rule
common_baseline_r2,Common baseline round 2+,prev_state=both_prev_safe & round_phase=late_r9plus & model_slug=gpt-5-nano,3,106,0.04257028112449799,0.05660377358490566,0.585140562248996,-0.5285367886640904,0.5285367886640904,safe_rule
common_baseline_r2,Common baseline round 2+,gap_direction=near_tied & own_risk_state=risk_low & model_slug=gpt-5-nano,3,110,0.04417670682730924,0.06363636363636363,0.585140562248996,-0.5215041986126324,0.5215041986126324,safe_rule
common_baseline_r2,Common baseline round 2+,gap_direction=near_tied & opponent_risk_state=risk_low & model_slug=gpt-5-nano,3,110,0.04417670682730924,0.06363636363636363,0.585140562248996,-0.5215041986126324,0.5215041986126324,safe_rule
common_baseline_r2,Common baseline round 2+,gap_magnitude=gap_0_0_5 & own_risk_state=risk_low & model_slug=gpt-5-nano,3,110,0.04417670682730924,0.06363636363636363,0.585140562248996,-0.5215041986126324,0.5215041986126324,safe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,prev_state=own_prev_unsafe & max_risk_level=risk_0.1 & model_slug=gpt-5.4-nano,3,40,0.040160642570281124,0.775,0.3493975903614458,0.4256024096385542,0.4256024096385542,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,prev_state=own_prev_unsafe & own_risk_state=risk_low & model_slug=gpt-5.4-nano,3,43,0.04317269076305221,0.7674418604651163,0.3493975903614458,0.4180442701036705,0.4180442701036705,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,prev_state=opponent_prev_unsafe & opponent_risk_state=risk_low & model_slug=gpt-5.4-nano,3,43,0.04317269076305221,0.7441860465116279,0.3493975903614458,0.3947884561501821,0.3947884561501821,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,gap_direction=ahead & round_phase=early_r2_4 & model_slug=gpt-5.4-nano,3,50,0.050200803212851405,0.74,0.3493975903614458,0.3906024096385542,0.3906024096385542,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,gap_direction=ahead & own_risk_state=risk_low & model_slug=gpt-5.4-nano,3,65,0.06526104417670683,0.7384615384615385,0.3493975903614458,0.3890639481000927,0.3890639481000927,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,gap_direction=ahead & max_risk_level=risk_0.1 & model_slug=gpt-5.4-nano,3,64,0.0642570281124498,0.734375,0.3493975903614458,0.3849774096385542,0.3849774096385542,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & model_slug=gpt-5.4-nano,3,51,0.05120481927710843,0.7254901960784313,0.3493975903614458,0.37609260571698555,0.37609260571698555,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,prev_state=opponent_prev_unsafe & max_risk_level=risk_0.1 & model_slug=gpt-5.4-nano,3,40,0.040160642570281124,0.725,0.3493975903614458,0.3756024096385542,0.3756024096385542,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,prev_state=own_prev_unsafe & opponent_risk_state=risk_low & model_slug=gpt-5.4-nano,3,42,0.04216867469879518,0.7142857142857143,0.3493975903614458,0.3648881239242685,0.3648881239242685,unsafe_rule
family_family_chatgpt_baseline_r2,family_chatgpt baseline round 2+,gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_low & model_slug=gpt-5.4-nano,3,66,0.06626506024096386,0.7121212121212122,0.3493975903614458,0.36272362175976636,0.36272362175976636,unsafe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,gap_direction=ahead & opponent_risk_state=risk_mid,2,87,0.05823293172690763,0.022988505747126436,0.7423025435073628,-0.7193140377602364,0.7193140377602364,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & opponent_risk_state=risk_mid,3,87,0.05823293172690763,0.022988505747126436,0.7423025435073628,-0.7193140377602364,0.7193140377602364,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_mid,3,87,0.05823293172690763,0.022988505747126436,0.7423025435073628,-0.7193140377602364,0.7193140377602364,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_mid,3,87,0.05823293172690763,0.022988505747126436,0.7423025435073628,-0.7193140377602364,0.7193140377602364,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,gap_direction=ahead & own_risk_state=risk_high,2,83,0.05555555555555555,0.024096385542168676,0.7423025435073628,-0.7182061579651942,0.7182061579651942,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & own_risk_state=risk_high,3,83,0.05555555555555555,0.024096385542168676,0.7423025435073628,-0.7182061579651942,0.7182061579651942,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & own_risk_state=risk_high,3,82,0.05488621151271754,0.024390243902439025,0.7423025435073628,-0.7179122996049238,0.7179122996049238,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & own_risk_state=risk_high,3,82,0.05488621151271754,0.024390243902439025,0.7423025435073628,-0.7179122996049238,0.7179122996049238,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,own_risk_state=risk_high & opponent_risk_state=risk_mid,2,64,0.0428380187416332,0.03125,0.7423025435073628,-0.7110525435073628,0.7110525435073628,safe_rule
family_family_gemini_baseline_r2,family_gemini baseline round 2+,prev_state=own_prev_unsafe & own_risk_state=risk_high & opponent_risk_state=risk_mid,3,64,0.0428380187416332,0.03125,0.7423025435073628,-0.7110525435073628,0.7110525435073628,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,gap_direction=ahead,1,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead,2,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1,2,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1,2,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,gap_direction=ahead & opponent_risk_state=risk_mid,2,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & gap_magnitude=gap_0_5_1,3,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & opponent_risk_state=risk_mid,3,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_mid,3,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_mid,3,35,0.07028112449799197,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3-flash-preview_baseline_r2,google-gemini-3-flash-preview baseline round 2+,gap_direction=ahead & own_risk_state=risk_high,2,27,0.05421686746987952,0.0,0.7349397590361446,-0.7349397590361446,0.7349397590361446,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,gap_direction=ahead,1,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead,2,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1,2,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1,2,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,gap_direction=ahead & own_risk_state=risk_high,2,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & gap_magnitude=gap_0_5_1,3,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & own_risk_state=risk_high,3,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & own_risk_state=risk_high,3,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & own_risk_state=risk_high,3,26,0.05220883534136546,0.0,0.8152610441767069,-0.8152610441767069,0.8152610441767069,safe_rule
model_google-gemini-3.1-flash-lite-preview_baseline_r2,google-gemini-3.1-flash-lite-preview baseline round 2+,prev_state=own_prev_unsafe & own_risk_state=risk_high,2,35,0.07028112449799197,0.2,0.8152610441767069,-0.6152610441767068,0.6152610441767068,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,gap_direction=ahead & round_phase=mid_r5_8,2,25,0.050200803212851405,0.04,0.6767068273092369,-0.6367068273092369,0.6367068273092369,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & round_phase=mid_r5_8,3,25,0.050200803212851405,0.04,0.6767068273092369,-0.6367068273092369,0.6367068273092369,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,gap_direction=ahead & opponent_risk_state=risk_mid,2,37,0.07429718875502007,0.05405405405405406,0.6767068273092369,-0.6226527732551829,0.6226527732551829,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & opponent_risk_state=risk_mid,3,37,0.07429718875502007,0.05405405405405406,0.6767068273092369,-0.6226527732551829,0.6226527732551829,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_mid,3,37,0.07429718875502007,0.05405405405405406,0.6767068273092369,-0.6226527732551829,0.6226527732551829,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & opponent_risk_state=risk_mid,3,37,0.07429718875502007,0.05405405405405406,0.6767068273092369,-0.6226527732551829,0.6226527732551829,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,gap_direction=ahead & own_risk_state=risk_high,2,30,0.060240963855421686,0.06666666666666667,0.6767068273092369,-0.6100401606425703,0.6100401606425703,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,gap_direction=ahead & gap_magnitude=gap_0_5_1 & own_risk_state=risk_high,3,30,0.060240963855421686,0.06666666666666667,0.6767068273092369,-0.6100401606425703,0.6100401606425703,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,prev_state=own_prev_unsafe & gap_direction=ahead & own_risk_state=risk_high,3,29,0.05823293172690763,0.06896551724137931,0.6767068273092369,-0.6077413100678576,0.6077413100678576,safe_rule
model_google-gemini-3.5-flash-lite_baseline_r2,google-gemini-3.5-flash-lite baseline round 2+,prev_state=own_prev_unsafe & gap_magnitude=gap_0_5_1 & own_risk_state=risk_high,3,29,0.05823293172690763,0.06896551724137931,0.6767068273092369,-0.6077413100678576,0.6077413100678576,safe_rule
model_gpt-5-nano_baseline_r2,gpt-5-nano baseline round 2+,prev_state=both_prev_safe & gap_direction=behind & gap_magnitude=gap_0_5_1,3,29,0.05823293172690763,0.5517241379310345,0.13855421686746988,0.4131699210635646,0.4131699210635646,unsafe_rule
model_gpt-5-nano_baseline_r2,gpt-5-nano baseline round 2+,prev_state=both_prev_safe & gap_direction=behind,2,33,0.06626506024096386,0.5454545454545454,0.13855421686746988,0.40690032858707553,0.40690032858707553,unsafe_rule
model_gpt-5-nano_baseline_r2,gpt-5-nano baseline round 2+,own_risk_state=risk_zero & round_phase=early_r2_4 & max_risk_level=risk_0.9,3,36,0.07228915662650602,0.4166666666666667,0.13855421686746988,0.2781124497991968,0.2781124497991968,unsafe_rule
model_gpt-5-nano_baseline_r2,gpt-5-nano baseline round 2+,gap_magnitude=gap_0_5_1 & own_risk_state=risk_zero,2,37,0.07429718875502007,0.40540540540540543,0.13855421686746988,0.26685118853793555,0.26685118853793555,unsafe_rule
model_gpt-5-nano_baseline_r2,gpt-5-nano baseline round 2+,gap_direction=behind & gap_magnitude=gap_0_5_1 & own_risk_state=risk_zero,3,37,0.07429718875502007,0.40540540540540543,0.13855421686746988,0.26685118853793555,0.26685118853793555,unsafe_rule
