provider,experiment_mode,model_slug,decisions,retry_rate
provider_google,mode_strategy_persona,google-gemini-3-flash-preview,2610,0.05325670498084291
provider_google,mode_risk_matrix,google-gemini-3-flash-preview,9480,0.05147679324894515
provider_google,mode_baseline,google-gemini-3-flash-preview,558,0.043010752688172046
provider_openai,mode_strategy_persona,gpt-5-nano,3906,0.005888376856118792
provider_openai,mode_risk_matrix,gpt-5-nano,20088,0.005077658303464755
provider_google,mode_baseline,google-gemini-3.5-flash-lite,558,0.0
provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,558,0.0
provider_openai,mode_baseline,gpt-5.4-nano,558,0.0
provider_openai,mode_baseline,gpt-5-nano,558,0.0
provider_openai,mode_risk_matrix,gpt-5.4-nano,20088,0.0
provider_openai,mode_strategy_persona,gpt-5.4-nano,3906,0.0
