scope,turns_round2plus,player_sequences,unsafe_rate,opening_unsafe_rate,ever_switch_rate,mean_switch_rate,retaliation_rate,calm_after_mutual_safe_rate,retaliation_lift,n_retaliation_state,n_mutual_safe_state,opportunistic_rate,not_ahead_rate,opportunistic_lift,n_opportunistic_state,catchup_rate,not_behind_rate,catchup_lift,n_catchup_state,forgiveness_rate,n_forgiveness_state,mutual_unsafe_stickiness,n_mutual_unsafe_state,model_slug,family,play_motif,strategy_label
overall,55518,6774,0.389135055297381,0.3454384410983171,0.5825214053734868,0.3036248541341544,0.2811869019401282,0.23429273429273428,0.0468941676473939,11391,22792,0.6568530157680009,0.23787528868360278,0.4189777270843982,9069,0.1614741641337386,0.36467940794269593,-0.20320524380895733,2632,0.42138530418751646,11391,0.6506436041834271,9944,,,,
model,10698,1374,0.48653954010095346,0.48544395924308587,0.5713245997088792,0.32421905686097824,0.7930648769574944,0.09789473684210526,0.6951701401153891,1788,3800,0.42358078602620086,0.12894196678484793,0.29463881924135293,229,0.5396825396825397,0.13647058823529412,0.40321195144724553,63,0.767337807606264,1788,0.9027694160144492,3322,google-gemini-3-flash-preview,,,
model,498,60,0.8152610441767069,1.0,0.6666666666666666,0.3516005291005292,1.0,0.96875,0.03125,49,32,,0.6296296296296297,,0,,0.6296296296296297,,0,0.5918367346938775,49,0.8315217391304348,368,google-gemini-3.1-flash-lite-preview,,,
model,498,60,0.6767068273092369,1.0,0.9333333333333333,0.504563492063492,0.9107142857142857,0.6111111111111112,0.29960317460317454,112,36,,0.35135135135135137,,0,,0.35135135135135137,,0,0.7321428571428571,112,0.7689075630252101,238,google-gemini-3.5-flash-lite,,,
model,21912,2640,0.28892844103687476,0.042045454545454546,0.6431818181818182,0.3574840668590669,0.1707966959765521,0.2860491432266408,-0.11525244725008874,3753,12372,0.539020979020979,0.27027888446215137,0.26874209455882764,3575,0.19831814996496147,0.3426316505647027,-0.1443135005997412,1427,0.5257127631228351,3753,0.1823992133726647,2034,gpt-5-nano,,,
model,21912,2640,0.4255658999634903,0.5462121212121213,0.5178030303030303,0.23339015151515155,0.17454737212163826,0.21001221001221002,-0.035464837890571754,5689,6552,0.747008547008547,0.25630733944954126,0.49070120755900576,5265,0.09457092819614711,0.5057212361474007,-0.4111503079512536,1142,0.23624538583230797,5689,0.655700652938222,3982,gpt-5.4-nano,,,
family,43824,5280,0.35724717050018256,0.2941287878787879,0.5804924242424242,0.2954371091871092,0.1730565558144461,0.25972310293806805,-0.08666654712362196,9442,18924,0.6628959276018099,0.2652873092287207,0.39760861837308925,8840,0.15219929933826393,0.4127999379772842,-0.2606006386390203,2569,0.35130269010802795,9442,0.4956781914893617,6016,,family_chatgpt,,
family,11694,1494,0.508636907815974,0.5267737617135207,0.5896921017402945,0.3325614627823463,0.8050282195997948,0.10987590486039296,0.6951523147394018,1949,3868,0.42358078602620086,0.14209019327129563,0.28149059275490523,229,0.5396825396825397,0.14893986791797012,0.39074267176456956,63,0.7609030271934325,1949,0.8879837067209776,3928,,family_gemini,,
motif,17129,2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733,12396,,0.0,,0,0.0,0.0,0.0,1519,,0,,0,,,all_safe,
motif,5190,714,1.0,1.0,0.0,0.0,,,,0,0,1.0,1.0,0.0,1753,,1.0,,0,0.0,2164,1.0,3026,,,all_unsafe,
motif,9968,1283,0.5016051364365971,0.3912704598597038,1.0,0.7874754110529636,0.8016443987667009,0.7564224548049476,0.045221943961753275,1946,3153,0.4897260273972603,0.5093720712277413,-0.01964604383048102,1752,0.6953125,0.4994908350305499,0.19582166496945008,128,0.7743285664457621,2867,0.2037962037962038,2002,,,alternating,
motif,1000,109,0.397,0.5779816513761468,1.0,0.4095565749235474,0.2709677419354839,0.3542713567839196,-0.08330361484843568,155,398,0.3220338983050847,0.6228813559322034,-0.3008474576271187,472,,0.4267241379310345,,12,0.49032258064516127,310,0.40875912408759124,137,,,cooldown,
motif,927,133,0.5145631067961165,0.10526315789473684,1.0,0.4039473684210526,0.441747572815534,0.44785276073619634,-0.006105187920662336,206,326,0.6530612244897959,0.4759825327510917,0.17707869173870416,98,0.8947368421052632,0.47876447876447875,0.4159723633407844,38,0.40869565217391307,230,0.6303030303030303,165,,,late_escalation,
motif,7052,796,0.7301474758933636,1.0,1.0,0.39198671931083995,0.8116591928251121,0.693579766536965,0.11807942628814716,669,1028,0.7102941176470589,0.6694214876033058,0.04087263004375308,2720,,0.6966848095002474,,9,0.3020178630499504,3023,0.7645797598627787,2332,,,mixed_adaptive,
motif,2100,251,0.18666666666666668,1.0,1.0,0.39125086953772215,0.2226233453670277,0.1958762886597938,0.026747056707233874,831,679,0.2138728323699422,0.1744340878828229,0.03943874448711929,173,0.19767441860465115,0.1801909307875895,0.01748348781706166,86,0.8571428571428571,245,0.11304347826086956,345,,,probe_then_cool,
motif,12152,1374,0.41137261356155364,0.0,1.0,0.391435040780019,0.27428972290424414,0.3786367414796342,-0.10434701857539008,2851,4812,0.552594002855783,0.38039141174235225,0.17220259111343073,2101,0.32857142857142857,0.4425199264255058,-0.11394849785407724,840,0.4745297805642633,2552,0.5441404233350542,1937,,,safe_then_attack,
strategy_label,7497,939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733,2764,,0.0,,0,0.0,0.0,0.0,1519,,0,,0,,,,AS
strategy_label,3233,411,1.0,1.0,0.0,0.0,,,,0,0,1.0,1.0,0.0,1753,,1.0,,0,0.0,2164,1.0,1069,,,,AU
strategy_label,794,118,0.4521410579345088,1.0,1.0,0.6950026903416734,1.0,0.0,1.0,262,131,,0.0,,0,,0.0,,0,1.0,304,1.0,97,,,,CAS
strategy_label,1031,138,0.6915615906886518,0.0,1.0,0.5852484472049688,1.0,0.0,1.0,324,75,,0.0,,0,,0.0,,0,1.0,243,1.0,389,,,,CS
strategy_label,395,39,0.5341772151898734,0.15384615384615385,1.0,0.711843711843712,0.4166666666666667,0.8344370860927153,-0.4177704194260486,48,151,0.5783132530120482,0.7987421383647799,-0.22042888535273175,83,,0.7124463519313304,,9,0.46153846153846156,91,0.1523809523809524,105,,,,ambiguous_AS|AU
strategy_label,149,17,0.4429530201342282,1.0,1.0,0.6097105508870214,0.4878048780487805,0.6060606060606061,-0.1182557280118256,41,33,0.43333333333333335,0.5666666666666667,-0.1333333333333333,30,,0.5087719298245614,,3,,27,0.3333333333333333,48,,,,ambiguous_AS|AU|CAS
strategy_label,444,46,0.5518018018018018,0.0,1.0,0.5821256038647344,,0.6313131313131313,,22,198,0.4773662551440329,0.6938775510204082,-0.21651129587637524,243,,0.556135770234987,,7,0.515625,192,0.4375,32,,,,ambiguous_AS|AU|CS
strategy_label,489,71,0.23517382413087934,1.0,1.0,0.5372736418511067,0.4888888888888889,0.22522522522522523,0.26366366366366367,90,222,0.25806451612903225,0.19649122807017544,0.06157328805885681,31,,0.20454545454545456,,8,0.851063829787234,94,0.08433734939759036,83,,,,ambiguous_AS|CAS
strategy_label,12300,1512,0.0783739837398374,0.0,0.22288359788359788,0.12043834509112286,0.6455696202531646,0.053883149269682934,0.5916864709834816,237,11228,0.3094944512946979,0.0478116293700009,0.261682821924697,811,0.3870967741935484,0.06475182665658856,0.3223449475369598,31,0.7492957746478873,710,0.224,125,,,,ambiguous_AS|CS
strategy_label,3980,573,0.8236180904522613,1.0,0.4712041884816754,0.2623881547965317,0.8701298701298701,0.680672268907563,0.18945760122230704,385,238,0.4386503067484663,0.553475935828877,-0.11482562908041072,326,,0.498567335243553,,2,0.5930735930735931,462,0.8956822107081175,2895,,,,ambiguous_AU|CAS
strategy_label,553,71,0.7179023508137432,0.0,1.0,0.45007265817124964,0.6696428571428571,0.7419354838709677,-0.07229262672811065,112,93,0.4431818181818182,0.8,-0.35681818181818187,88,,0.6431924882629108,,10,0.4,130,0.8027522935779816,218,,,,ambiguous_AU|CS
strategy_label,10454,1192,0.2646833747847714,0.18036912751677853,1.0,0.4790068712048578,0.19554176072234764,0.41658676893576224,-0.2210450082134146,3544,4172,0.31563421828908556,0.38438818565400845,-0.0687539673649229,339,0.3587174348697395,0.3849546679735359,-0.026237233103796387,998,0.7894156560088202,907,0.07919169852539595,1831,,,,near_AS
strategy_label,9462,1133,0.7217290213485521,0.5631067961165048,1.0,0.48660180165034533,0.7574468085106383,0.8565254969749352,-0.0990786884642969,470,2314,0.7084967320261438,0.8633696563285834,-0.1548729243024396,4590,,0.7610288834602673,,17,0.2857142857142857,4662,0.5758928571428571,2016,,,,near_AU
strategy_label,2645,291,0.48090737240075615,1.0,1.0,0.6015791196203567,0.8534653465346534,0.3841886269070735,0.46927671962757994,505,721,0.2886435331230284,0.2882051282051282,0.00043840491790014813,634,,0.28873677660236463,,2,0.7894144144144144,888,0.7099811676082862,531,,,,near_CAS
strategy_label,2092,223,0.5521032504780115,0.0,1.0,0.5792244999644104,0.7718446601941747,0.41150442477876104,0.3603402354154137,618,452,0.3120567375886525,0.3031400966183575,0.008916640970294987,141,,0.30116648992576883,,26,0.7891682785299806,517,0.7584158415841584,505,,,,near_CS
