analysis_scope,provider,experiment_mode,model_slug,own_prev_unsafe,opponent_prev_unsafe,n,mean,ci95_low,ci95_high
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,0.0,0.0,2708,0.10118168389955687,0.08982324490790758,0.11254012289120616
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,0.0,1.0,1559,0.8017960230917255,0.7820071462883912,0.8215848998950598
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,1.0,0.0,1559,0.22193713919178962,0.20130922346834135,0.2425650549152379
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,1.0,1.0,2058,0.9091350826044704,0.8967172525280507,0.9215529126808901
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,0.0,0.0,1038,0.06358381502890173,0.04873932981988066,0.0784283002379228
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,0.0,1.0,161,0.6583850931677019,0.5851276874730563,0.7316424988623474
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,1.0,0.0,161,0.3105590062111801,0.23908242874697477,0.3820355836753854
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,1.0,1.0,956,0.9163179916317992,0.8987643883252008,0.9338715949383976
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,0.0,0.0,9702,0.3115852401566687,0.30236931453118593,0.3208011657821515
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,0.0,1.0,3210,0.1806853582554517,0.16737498011314542,0.193995736397758
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,1.0,0.0,3210,0.48317757009345796,0.4658902523419712,0.5004648878449448
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,1.0,1.0,1806,0.19656699889258028,0.1782384815355482,0.21489551624961237
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,0.0,0.0,5230,0.2080305927342256,0.19702982404361052,0.2190313614248407
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,0.0,1.0,4878,0.14739647396473965,0.13744809586539494,0.15734485206408436
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,1.0,0.0,4878,0.7755227552275523,0.7638137875369009,0.7872317229182038
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,1.0,1.0,2942,0.6383412644459552,0.6209788276933139,0.6557037011985964
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,0.0,0.0,2282,0.2002629272567923,0.18384296533435626,0.21668288917922832
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,0.0,1.0,496,0.11491935483870967,0.08685188629558868,0.14298682338183066
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,1.0,0.0,496,0.4495967741935484,0.4058176255589508,0.49337592282814596
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,1.0,1.0,212,0.07547169811320754,0.03991345401177333,0.11102994221464176
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,0.0,0.0,1212,0.18729372937293728,0.1653286293401529,0.20925882940572166
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,0.0,1.0,689,0.29027576197387517,0.2563838034786941,0.32416772046905623
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,1.0,0.0,689,0.7010159651669086,0.6668310572762366,0.7352008730575805
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,1.0,1.0,896,0.7455357142857143,0.7170157017807863,0.7740557267906423
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,0.0,0.0,54,0.5925925925925926,0.4615381459005228,0.7236470392846623
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,0.0,1.0,68,0.9117647058823529,0.8443485209514545,0.9791808908132513
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,1.0,0.0,68,0.29411764705882354,0.1858176814240977,0.40241761269354936
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,1.0,1.0,308,0.8181818181818182,0.775106917923007,0.8612567184406295
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,0.0,0.0,32,0.96875,0.9084646272145971,1.0
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,0.0,1.0,49,1.0,1.0,1.0
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,1.0,0.0,49,0.40816326530612246,0.27054504154849623,0.5457814890637487
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,1.0,1.0,368,0.8315217391304348,0.7932797123457617,0.869763765915108
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,0.0,0.0,36,0.6111111111111112,0.45186175741399487,0.7703604648082274
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,0.0,1.0,112,0.9107142857142857,0.8579027102785917,0.9635258611499797
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,1.0,0.0,112,0.26785714285714285,0.1858415193455216,0.3498727663687641
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,1.0,1.0,238,0.7689075630252101,0.7153528710974423,0.822462254952978
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,0.0,0.0,388,0.15206185567010308,0.11633190325921998,0.18779180808098617
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,0.0,1.0,47,0.0851063829787234,0.005330153165670468,0.16488261279177635
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,1.0,0.0,47,0.1276595744680851,0.0322533218262378,0.2230658271099324
