bootstrap,root_feature,root_threshold
0,model_slug_gpt-5-nano,0.5
1,model_slug_gpt-5-nano,0.5
2,model_slug_gpt-5-nano,0.5
3,model_slug_gpt-5-nano,0.5
4,model_slug_gpt-5-nano,0.5
5,model_slug_gpt-5-nano,0.5
6,model_slug_gpt-5-nano,0.5
7,model_slug_gpt-5-nano,0.5
8,model_slug_gpt-5-nano,0.5
9,model_slug_gpt-5-nano,0.5
10,model_slug_gpt-5-nano,0.5
11,model_slug_gpt-5-nano,0.5
12,model_slug_gpt-5-nano,0.5
13,model_slug_gpt-5-nano,0.5
14,opponent_prev_unsafe,0.5
15,model_slug_gpt-5-nano,0.5
16,model_slug_gpt-5-nano,0.5
17,model_slug_gpt-5-nano,0.5
18,model_slug_gpt-5-nano,0.5
19,opponent_prev_unsafe,0.5
20,opponent_prev_unsafe,0.5
21,model_slug_gpt-5-nano,0.5
22,model_slug_gpt-5-nano,0.5
23,model_slug_gpt-5-nano,0.5
24,model_slug_gpt-5-nano,0.5
25,model_slug_gpt-5-nano,0.5
26,model_slug_gpt-5-nano,0.5
27,model_slug_gpt-5-nano,0.5
28,model_slug_gpt-5-nano,0.5
29,model_slug_gpt-5-nano,0.5
30,model_slug_gpt-5-nano,0.5
31,model_slug_gpt-5-nano,0.5
32,model_slug_gpt-5-nano,0.5
33,model_slug_gpt-5-nano,0.5
34,model_slug_gpt-5-nano,0.5
35,model_slug_gpt-5-nano,0.5
36,model_slug_gpt-5-nano,0.5
37,model_slug_gpt-5-nano,0.5
38,model_slug_gpt-5-nano,0.5
39,opponent_prev_unsafe,0.5
40,model_slug_gpt-5-nano,0.5
41,model_slug_gpt-5-nano,0.5
42,model_slug_gpt-5-nano,0.5
43,model_slug_gpt-5-nano,0.5
44,model_slug_gpt-5-nano,0.5
45,model_slug_gpt-5-nano,0.5
46,model_slug_gpt-5-nano,0.5
47,model_slug_gpt-5-nano,0.5
48,model_slug_gpt-5-nano,0.5
49,model_slug_gpt-5-nano,0.5
50,model_slug_gpt-5-nano,0.5
51,model_slug_gpt-5-nano,0.5
52,model_slug_gpt-5-nano,0.5
53,model_slug_gpt-5-nano,0.5
54,model_slug_gpt-5-nano,0.5
55,model_slug_gpt-5-nano,0.5
56,opponent_prev_unsafe,0.5
57,model_slug_gpt-5-nano,0.5
58,model_slug_gpt-5-nano,0.5
59,model_slug_gpt-5-nano,0.5
60,model_slug_gpt-5-nano,0.5
61,model_slug_gpt-5-nano,0.5
62,model_slug_gpt-5-nano,0.5
63,model_slug_gpt-5-nano,0.5
64,model_slug_gpt-5-nano,0.5
65,model_slug_gpt-5-nano,0.5
66,model_slug_gpt-5-nano,0.5
67,model_slug_gpt-5-nano,0.5
68,model_slug_gpt-5-nano,0.5
69,model_slug_gpt-5-nano,0.5
70,model_slug_gpt-5-nano,0.5
71,model_slug_gpt-5-nano,0.5
72,model_slug_gpt-5-nano,0.5
73,model_slug_gpt-5-nano,0.5
74,model_slug_gpt-5-nano,0.5
75,model_slug_gpt-5-nano,0.5
76,model_slug_gpt-5-nano,0.5
77,opponent_prev_unsafe,0.5
78,opponent_prev_unsafe,0.5
79,model_slug_gpt-5-nano,0.5
80,model_slug_gpt-5-nano,0.5
