scope,threshold,behind_decisions,behind_unsafe_rate,middle_decisions,middle_unsafe_rate,ahead_decisions,ahead_unsafe_rate,behind_minus_middle,behind_minus_ahead
all_round2plus,0.25,16819,0.2705273797490933,21880,0.3013254113345521,16819,0.6219751471550032,-0.030798031585458796,-0.35144776740590994
all_round2plus,0.5,16819,0.2705273797490933,21880,0.3013254113345521,16819,0.6219751471550032,-0.030798031585458796,-0.35144776740590994
all_round2plus,1.0,10208,0.16026645768025077,35102,0.3774998575579739,10208,0.6580133228840125,-0.2172333998777231,-0.4977468652037617
all_round2plus,1.5,6991,0.11386067801459018,41536,0.39120281201849,6991,0.6521241596338149,-0.27734213400389984,-0.5382634816192247
all_round2plus,2.0,4650,0.08516129032258064,46218,0.392228136223982,4650,0.6623655913978495,-0.3070668459014014,-0.5772043010752688
baseline_round2plus,0.25,380,0.6605263157894737,1730,0.6219653179190752,380,0.34210526315789475,0.03856099787039857,0.318421052631579
baseline_round2plus,0.5,380,0.6605263157894737,1730,0.6219653179190752,380,0.34210526315789475,0.03856099787039857,0.318421052631579
baseline_round2plus,1.0,109,0.5229357798165137,2272,0.590669014084507,109,0.5321100917431193,-0.06773323426799327,-0.00917431192660556
baseline_round2plus,1.5,55,0.6,2380,0.5873949579831933,55,0.4727272727272727,0.012605042016806678,0.12727272727272726
baseline_round2plus,2.0,20,0.7,2450,0.5844897959183674,20,0.55,0.1155102040816326,0.1499999999999999
family_chatgpt_all_round2plus,0.25,14367,0.18570334795016358,15090,0.24751491053677932,14367,0.644045381777685,-0.06181156258661574,-0.4583420338275214
family_chatgpt_all_round2plus,0.5,14367,0.18570334795016358,15090,0.24751491053677932,14367,0.644045381777685,-0.06181156258661574,-0.4583420338275214
family_chatgpt_all_round2plus,1.0,9784,0.1348119378577269,24256,0.3253215699208443,9784,0.6588307440719542,-0.1905096320631174,-0.5240188062142273
family_chatgpt_all_round2plus,1.5,6908,0.10770121598147075,30008,0.3464076246334311,6908,0.6538795599305154,-0.23870640865196036,-0.5461783439490446
family_chatgpt_all_round2plus,2.0,4637,0.0825965063618719,34550,0.35319826338639654,4637,0.6620659909424197,-0.27060175702452466,-0.5794694845805478
family_chatgpt_baseline_round2plus,0.25,255,0.49411764705882355,486,0.19958847736625515,255,0.49019607843137253,0.29452916969256837,0.003921568627451022
family_chatgpt_baseline_round2plus,0.5,255,0.49411764705882355,486,0.19958847736625515,255,0.49019607843137253,0.29452916969256837,0.003921568627451022
family_chatgpt_baseline_round2plus,1.0,109,0.5229357798165137,778,0.2994858611825193,109,0.5321100917431193,0.22344991863399444,-0.00917431192660556
family_chatgpt_baseline_round2plus,1.5,55,0.6,886,0.3261851015801354,55,0.4727272727272727,0.27381489841986456,0.12727272727272726
family_chatgpt_baseline_round2plus,2.0,20,0.7,956,0.3378661087866109,20,0.55,0.36213389121338907,0.1499999999999999
family_gemini_all_round2plus,0.25,2452,0.767536704730832,6790,0.42091310751104566,2452,0.4926590538336052,0.34662359721978636,0.2748776508972268
family_gemini_all_round2plus,0.5,2452,0.767536704730832,6790,0.42091310751104566,2452,0.4926590538336052,0.34662359721978636,0.2748776508972268
family_gemini_all_round2plus,1.0,424,0.7476415094339622,10846,0.4941914069703116,424,0.6391509433962265,0.25345010246365063,0.10849056603773577
family_gemini_all_round2plus,1.5,83,0.6265060240963856,11528,0.5078070784177654,83,0.5060240963855421,0.11869894567862016,0.12048192771084343
family_gemini_all_round2plus,2.0,13,1.0,11668,0.5077991086732945,13,0.7692307692307693,0.4922008913267055,0.23076923076923073
family_gemini_baseline_round2plus,0.25,125,1.0,1244,0.7869774919614148,125,0.04,0.21302250803858525,0.96
family_gemini_baseline_round2plus,0.5,125,1.0,1244,0.7869774919614148,125,0.04,0.21302250803858525,0.96
family_gemini_baseline_round2plus,1.0,0,,1494,0.7423025435073628,0,,,
family_gemini_baseline_round2plus,1.5,0,,1494,0.7423025435073628,0,,,
family_gemini_baseline_round2plus,2.0,0,,1494,0.7423025435073628,0,,,
