scope,fold,n_train,n_test,accuracy,balanced_accuracy,roc_auc,brier_score
all_completed,1,44414,11104,0.7639589337175793,0.7781412960736467,0.8450297608135198,0.1582712663593597
all_completed,2,44414,11104,0.7688220461095101,0.7836601326950545,0.8530405243485506,0.1551804624791175
all_completed,3,44414,11104,0.7636887608069164,0.7786063204628105,0.8466270844220132,0.1591433942948182
all_completed,4,44414,11104,0.7586455331412104,0.7739148398303982,0.8395752523605478,0.163019376544462
all_completed,5,44416,11102,0.754818951540263,0.7684718580123058,0.8388635197843715,0.1639188563912278
baseline_completed,1,1992,498,0.7751004016064257,0.7618181818181818,0.8156397306397306,0.1587126988455174
baseline_completed,2,1992,498,0.7690763052208835,0.775895225464191,0.8382294429708224,0.1641092020486851
baseline_completed,3,1992,498,0.7991967871485943,0.7956547074003164,0.8430283859152585,0.1419278388075783
baseline_completed,4,1992,498,0.751004016064257,0.7578777137069768,0.850098828756718,0.1532475565757704
baseline_completed,5,1992,498,0.7630522088353414,0.7313935373636866,0.8531668258036418,0.1484874193853685
