feature,importance
model_slug_gpt-5-nano,0.46955730724869543
own_private_risk_before,0.20260747876049953
opponent_prev_unsafe,0.18021895280858485
provider_provider_google,0.12999387496848425
round,0.008232332586416048
progress_gap_before,0.005618626936743909
opponent_private_risk_before,0.0034046023953396287
max_private_risk,0.0003668242952363347
own_prev_unsafe,0.0
first_round_unsafe,0.0
model_slug_google-gemini-3.1-flash-lite-preview,0.0
model_slug_google-gemini-3-flash-preview,0.0
model_slug_google-gemini-3.5-flash-lite,0.0
model_slug_gpt-5.4-nano,0.0
provider_provider_openai,0.0
persona_mode_persona_none,0.0
experiment_mode_mode_baseline,0.0
condition_condition_nonpersona,0.0
