model_slug,term,coef,odds_ratio,ci95_low,ci95_high,p_value,n,clusters,error
google-gemini-3-flash-preview,Intercept,-6.073662027676988,0.00230272510837175,-6.528403433323423,-5.618920622030553,4.748832206996675e-151,7884,492,
google-gemini-3-flash-preview,C(max_private_risk)[T.0.6000000000000001],-0.9973482191817258,0.368856271414411,-1.2228984073527185,-0.7717980310107332,4.449847750031077e-18,7884,492,
google-gemini-3-flash-preview,C(max_private_risk)[T.0.9],-1.584915409052253,0.2049651305781415,-1.8097887619867261,-1.36004205611778,2.1015121616800848e-43,7884,492,
google-gemini-3-flash-preview,own_risk_label,2.028741790347913,7.604512266202435,1.8630789303787898,2.1944046503170362,2.642215574628525e-127,7884,492,
google-gemini-3-flash-preview,opponent_risk_label,0.2520904701573923,1.2867124410962902,0.11887585698964456,0.38530508332514,0.0002081087778193469,7884,492,
google-gemini-3-flash-preview,progress_gap_before,-4.451285378538669,0.011663565234569412,-5.352565878548347,-3.5500048785289913,3.6686013981217503e-22,7884,492,
google-gemini-3-flash-preview,own_prev_unsafe,0.10426603762136563,1.1098956896513066,-0.190923679612393,0.3994557548551243,0.4887535501284429,7884,492,
google-gemini-3-flash-preview,opponent_prev_unsafe,2.1041277947709367,8.199947852271796,1.8833802025276523,2.324875387014221,6.932249389902742e-78,7884,492,
gpt-5-nano,Intercept,-4.000589852755855,0.01830483854428003,-4.221859733318332,-3.7793199721933783,4.6959764876171336e-275,17928,1080,
gpt-5-nano,C(max_private_risk)[T.0.6000000000000001],0.0015341828426909208,1.001535360303258,-0.13271967922429592,0.13578804490967775,0.9821309206604122,17928,1080,
gpt-5-nano,C(max_private_risk)[T.0.9],0.02930282797846396,1.029736380250402,-0.10353597672861789,0.1621416326855458,0.665489074861398,17928,1080,
gpt-5-nano,own_risk_label,0.9294381030028305,2.5330854445547786,0.8845750397214136,0.9743011662842473,0.0,17928,1080,
gpt-5-nano,opponent_risk_label,0.015115621423608637,1.01523044021881,-0.02285373150006604,0.05308497434728331,0.43523620480172187,17928,1080,
gpt-5-nano,progress_gap_before,-0.08058985827562898,0.9225719991300013,-0.14195647826176294,-0.019223238289495008,0.01005513930209986,17928,1080,
gpt-5-nano,own_prev_unsafe,-0.7061027204770773,0.4935640109191634,-0.8165724618530501,-0.5956329791011046,5.2643223247779844e-36,17928,1080,
gpt-5-nano,opponent_prev_unsafe,-1.0735110177821519,0.34180632011765244,-1.1957194535890596,-0.951302581975244,1.985405531069159e-66,17928,1080,
gpt-5.4-nano,Intercept,-5.2204011609182635,0.005405160352366027,-5.457024295543601,-4.983778026292926,0.0,17928,1080,
gpt-5.4-nano,C(max_private_risk)[T.0.6000000000000001],0.03073247193273256,1.031209589472324,-0.10973953451725253,0.17120447838271766,0.6680680443024564,17928,1080,
gpt-5.4-nano,C(max_private_risk)[T.0.9],-0.31556479060579257,0.7293768127438505,-0.44960205858829727,-0.18152752262328783,3.943167199619298e-06,17928,1080,
gpt-5.4-nano,own_risk_label,1.471042152767871,4.353770071137644,1.4049813144858407,1.5371029910499012,0.0,17928,1080,
gpt-5.4-nano,opponent_risk_label,-0.11350721526510782,0.8926977553369821,-0.16561225379528402,-0.06140217673493161,1.9578371750864946e-05,17928,1080,
gpt-5.4-nano,progress_gap_before,0.06559000191467337,1.0677888360286083,0.012501823922977467,0.11867817990636928,0.015455785187654964,17928,1080,
gpt-5.4-nano,own_prev_unsafe,-0.062206124930871715,0.9396891734612808,-0.193252711112485,0.06884046125074156,0.35217973504652145,17928,1080,
gpt-5.4-nano,opponent_prev_unsafe,-0.4235611842213989,0.6547111164510491,-0.5752209099713241,-0.2719014584714737,4.403278104495486e-08,17928,1080,
