scope,residual_signature,n,events,unsafe_rate,formula,params,loglik,bic,aic,payload_json,formula_text,archetype,model_slug,family
signature,ambiguous_AS|AU,395,211,0.5341772151898734,gap_plus_lag,4,-197.25626869192024,418.42808044344497,402.5125373838405,"{""coef"": [-0.6737300683217746, -2.530556809045476, -1.147603968122462], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": 1.9659628774430165}",logit P(U) = 1.97 + -0.67*gap + -2.53*opp_prevU + -1.15*own_prevU,catch-up rule: unsafe rises when behind,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,constant,1,-272.8696374844766,551.7181607338543,547.7392749689532,"{""p"": 0.5340909090909091}",P(U) = 0.53,mixed residual not explained by gap,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,linear_gap,2,-270.5998670135169,553.1575055568361,545.1997340270339,"{""coef"": [-0.23141332853420346], ""features"": [""gap""], ""intercept"": 0.21871855810128457}",logit P(U) = 0.22 + -0.23*gap,catch-up rule: unsafe rises when behind,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,abs_gap,2,-271.2398216407968,554.4374148113958,546.4796432815936,"{""coef"": [-0.26035932465445244], ""features"": [""abs_gap""], ""intercept"": 0.3219262738095409}",logit P(U) = 0.32 + -0.26*|gap|,gap magnitude is weak,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,quadratic_gap,3,-270.2387976523057,558.4142525993148,546.4775953046114,"{""coef"": [-0.13490969188781754, -0.07021930524334248], ""features"": [""gap"", ""gap_sq""], ""intercept"": 0.2533838289160169}",logit P(U) = 0.25 + -0.13*gap + -0.07*gap^2,catch-up rule: unsafe rises when behind,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,step_low_gap,3,-270.3588180241944,558.6542933430921,546.7176360483888,"{""loglik"": -270.3588180241944, ""n_left"": 331, ""n_right"": 64, ""p_left"": 0.5587349397590361, ""p_right"": 0.4076923076923077, ""threshold"": 1.0}","P(U)= 0.56 if gap <= 1.00, else 0.41",threshold rule concentrated on behind/low-gap side,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,step_high_gap,3,-270.3588180241944,558.6542933430921,546.7176360483888,"{""loglik"": -270.3588180241944, ""n_left"": 64, ""n_right"": 331, ""p_left"": 0.4076923076923077, ""p_right"": 0.5587349397590361, ""threshold"": 1.25}","P(U)= 0.41 if gap >= 1.25, else 0.56",threshold rule concentrated on below-threshold side,,
signature,ambiguous_AS|AU,395,211,0.5341772151898734,direction_bins,3,-271.25911135940373,560.4548800135108,548.5182227188075,"{""coef"": [0.3724869437092205, -0.30205494769701047], ""features"": [""behind"", ""ahead""], ""intercept"": 0.18660561159422875}",logit P(U) = 0.19 + 0.37*behind + -0.30*ahead,catch-up rule: unsafe rises when behind,,
signature,ambiguous_AS|AU|CAS,149,66,0.4429530201342282,constant,1,-102.30705983054753,209.6180659670405,206.61411966109506,"{""p"": 0.44333333333333336}",P(U) = 0.44,mixed residual not explained by gap,,
signature,ambiguous_AS|AU|CAS,149,66,0.4429530201342282,linear_gap,2,-100.93667598436124,211.8812445806134,205.8733519687225,"{""coef"": [-0.2505304828633519], ""features"": [""gap""], ""intercept"": -0.2406190869198337}",logit P(U) = -0.24 + -0.25*gap,catch-up rule: unsafe rises when behind,,
