scope,spec,term,coef,odds_ratio,ci95_low,ci95_high,or_ci95_low,or_ci95_high,p_value,n,pseudo_r2_mcfadden,error
baseline_completed,M0_risk_only,Intercept,0.8877892217403508,2.4297520661118397,0.40706773023766163,1.3685107132430399,1.5024058605219686,3.9294941918847957,0.0002950222689393172,2490,0.02495054695068666,
baseline_completed,M0_risk_only,C(max_private_risk)[T.0.6000000000000001],-0.6895522096404796,0.5018007202889215,-1.262353906766952,-0.11675051251400714,0.28298711659712456,0.8898071612248056,0.01830200122898647,2490,0.02495054695068666,
baseline_completed,M0_risk_only,C(max_private_risk)[T.0.9],-0.8974278505781098,0.4076167637325236,-1.4408088383982474,-0.35404686275797215,0.2367361998937842,0.7018420763293602,0.0012079184733900779,2490,0.02495054695068666,
baseline_completed,M1_human_core,Intercept,-0.2039795382467838,0.8154790571478004,-0.6960460249213338,0.28808694842776617,0.498552676615446,1.3338732772657678,0.41651815880299536,2490,0.12754877948090215,
baseline_completed,M1_human_core,C(max_private_risk)[T.0.6000000000000001],-0.5210622444691243,0.593889357105186,-0.9342632072121372,-0.10786128172611142,0.3928752265523252,0.8977521224180218,0.013451381042673223,2490,0.12754877948090215,
baseline_completed,M1_human_core,C(max_private_risk)[T.0.9],-0.6647432855255692,0.5144055661123708,-1.0655874173982984,-0.26389915365283984,0.3445254150917667,0.7680509908881674,0.0011527400342663256,2490,0.12754877948090215,
baseline_completed,M1_human_core,own_prev_unsafe,0.17580246703010988,1.1922025360820363,-0.14255281970533407,0.4941577537655538,0.8671417509108391,1.6391171172965284,0.27910448826157797,2490,0.12754877948090215,
baseline_completed,M1_human_core,opponent_prev_unsafe,1.512367198580364,4.537459158098188,1.2016689013193091,1.8230654958414187,3.325662496469681,6.190807285244563,1.4228596153830161e-21,2490,0.12754877948090215,
baseline_completed,M1_human_core,progress_gap_before,-0.1666857467480424,0.8464655741044997,-0.4198835481433152,0.08651205464723041,0.6571233385924434,1.0903645115980967,0.19695071523209495,2490,0.12754877948090215,
baseline_completed,M2_first_round,Intercept,-0.5794762944809788,0.560191665224423,-1.029776624913386,-0.12917596404857157,0.35708671593723584,0.8788193113352063,0.011661957059358054,2490,0.18719897089925652,
baseline_completed,M2_first_round,C(max_private_risk)[T.0.6000000000000001],-0.7775446102571794,0.4595329597060098,-1.1607997760759754,-0.3942894444383833,0.31323556236769157,0.674158896454684,6.997899255864964e-05,2490,0.18719897089925652,
baseline_completed,M2_first_round,C(max_private_risk)[T.0.9],-0.9143341961713782,0.4007833803870584,-1.3479384353361732,-0.48072995700658333,0.25977525247732947,0.6183318713490441,3.581458104874502e-05,2490,0.18719897089925652,
baseline_completed,M2_first_round,first_round_unsafe,1.6299148333708244,5.103440057240795,1.1424687916232266,2.1173608751184223,3.1344972413006205,8.309179563049428,5.612925319136574e-11,2490,0.18719897089925652,
baseline_completed,M2_first_round,own_prev_unsafe,-0.31888951749390554,0.7269558607750689,-0.6540976557007689,0.01631862071295792,0.519910989706043,1.0164524966360389,0.062244659549723295,2490,0.18719897089925652,
baseline_completed,M2_first_round,opponent_prev_unsafe,1.056458383461905,2.8761666506306516,0.7659935356196488,1.3469232313041613,2.1511305381143884,3.845575364036811,1.0136280354132595e-12,2490,0.18719897089925652,
baseline_completed,M2_first_round,progress_gap_before,-0.4221365702966485,0.6556444917160749,-0.794379324370478,-0.049893816222818965,0.4518616073910365,0.9513304349967163,0.026238119679872052,2490,0.18719897089925652,
baseline_completed,M3_interactions,Intercept,-0.6011497089466631,0.5481810250250337,-1.067715796061811,-0.13458362183151512,0.3437929143452462,0.8740797836680364,0.01155907892375303,2490,0.1905591105454073,
baseline_completed,M3_interactions,C(max_private_risk)[T.0.6000000000000001],-0.7809000381620199,0.4579936140158379,-1.1619686840652923,-0.3998313922587474,0.3128696327270076,0.6704330767131735,5.9086134731168594e-05,2490,0.1905591105454073,
baseline_completed,M3_interactions,C(max_private_risk)[T.0.9],-0.914056500301957,0.4008946917309595,-1.344186245684345,-0.48392675491956905,0.26075180945923765,0.6163583454755861,3.112655443218318e-05,2490,0.1905591105454073,
baseline_completed,M3_interactions,first_round_unsafe,1.6346959801418828,5.127898776963627,1.1514642359272884,2.1179277243564774,3.1628206364285036,8.313890950350602,3.351283176719613e-11,2490,0.1905591105454073,
baseline_completed,M3_interactions,own_prev_unsafe,-0.3624473238106378,0.6959709738118826,-0.8526024027101892,0.12770775508891352,0.42630407225053396,1.1362208993959555,0.14725271335312715,2490,0.1905591105454073,
baseline_completed,M3_interactions,opponent_prev_unsafe,1.083411012642962,2.954741040421924,0.6413678180694731,1.5254542072164508,1.899076695017178,4.597231190746966,1.5575368850151676e-06,2490,0.1905591105454073,
baseline_completed,M3_interactions,own_prev_unsafe:opponent_prev_unsafe,0.031083309418734443,1.0315714399238756,-0.5218444823207269,0.5840111011581959,0.593424976022304,1.7932167985235288,0.9122657873551263,2490,0.1905591105454073,
baseline_completed,M3_interactions,progress_gap_before,-1.0665047906137226,0.34420950163135744,-1.5697726525834912,-0.563236928643954,0.20809248626875376,0.5693630901227688,3.2746259291880496e-05,2490,0.1905591105454073,
baseline_completed,M3_interactions,own_prev_unsafe:progress_gap_before,0.8600661482415779,2.3633170178004748,-0.018386084556908044,1.738518381040064,0.9817819083429834,5.688908380937621,0.05499170469824953,2490,0.1905591105454073,
baseline_completed,M3_interactions,opponent_prev_unsafe:progress_gap_before,0.6237198414299343,1.865855836552101,-0.031364893839813,1.2788045766996816,0.9691218819453431,3.592342787480148,0.06202421552421226,2490,0.1905591105454073,
