analysis_scope,provider,experiment_mode,model_slug,first_round_unsafe,n,mean,ci95_low,ci95_high
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,0.0,4722,0.35599322321050403,0.34233610199585485,0.3696503444251532
all_completed,provider_google,mode_risk_matrix,google-gemini-3-flash-preview,1.0,3162,0.6514864010120177,0.6348776230030762,0.6680951790209593
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,0.0,1058,0.06427221172022685,0.049494757470805714,0.07904966596964798
all_completed,provider_google,mode_strategy_persona,google-gemini-3-flash-preview,1.0,1258,0.8187599364069952,0.7974726087193664,0.8400472640946239
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,0.0,17287,0.29704402151906056,0.29023208287202223,0.3038559601660989
all_completed,provider_openai,mode_risk_matrix,gpt-5-nano,1.0,641,0.5834633385335414,0.5452987610368155,0.6216279160302672
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,0.0,7821,0.0869454034010996,0.0807009185635966,0.09318988823860261
all_completed,provider_openai,mode_risk_matrix,gpt-5.4-nano,1.0,10107,0.6716137330562976,0.6624579136926968,0.6807695524198983
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,0.0,3182,0.177561282212445,0.16428330577530675,0.19083925864958323
all_completed,provider_openai,mode_strategy_persona,gpt-5-nano,1.0,304,0.618421052631579,0.5638133865628993,0.6730287187002587
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,0.0,1876,0.21321961620469082,0.19468515375996026,0.23175407864942138
all_completed,provider_openai,mode_strategy_persona,gpt-5.4-nano,1.0,1610,0.7316770186335404,0.7100333051613196,0.7533207321057612
baseline_completed,provider_google,mode_baseline,google-gemini-3-flash-preview,1.0,498,0.7349397590361446,0.6961747789221764,0.7737047391501128
baseline_completed,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview,1.0,498,0.8152610441767069,0.7811755976535257,0.849346490699888
baseline_completed,provider_google,mode_baseline,google-gemini-3.5-flash-lite,1.0,498,0.6767068273092369,0.6356259276763214,0.7177877269421524
baseline_completed,provider_openai,mode_baseline,gpt-5-nano,0.0,498,0.13855421686746988,0.10821074654578025,0.1688976871891595
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,0.0,286,0.5979020979020979,0.5410751937389352,0.6547290020652606
baseline_completed,provider_openai,mode_baseline,gpt-5.4-nano,1.0,212,0.5094339622641509,0.44213926753621247,0.5767286569920894
