seat_persona_role,term,coef,human_value,expected_sign,sign_match,p_value,n,phi_U_role,error
adversarial,own_prev_unsafe,-0.3591348307612769,-0.193,,True,0.005044179402834101,2208.0,0.6336050724637681,
adversarial,opponent_prev_unsafe,-0.46871675711368455,0.607,positive,False,0.005265068312234935,2208.0,0.6336050724637681,
adversarial,progress_gap_before,0.0073591511217519084,-0.296,negative,False,0.8951892000708837,2208.0,0.6336050724637681,
cooperative,__fit_error__,,,,,,,,Singular matrix
neutral,own_prev_unsafe,0.5729561465489701,-0.193,,True,0.007792422806767988,1494.0,0.4344042838018742,
neutral,opponent_prev_unsafe,1.4973986015387832,0.607,positive,True,1.6390821150570406e-15,1494.0,0.4344042838018742,
neutral,progress_gap_before,-0.10038642802953587,-0.296,negative,True,0.5149808360896033,1494.0,0.4344042838018742,
risk-averse,own_prev_unsafe,0.1839393277805659,-0.193,,True,0.5387573650806461,1494.0,0.10040160642570281,
risk-averse,opponent_prev_unsafe,1.5118401455230366,0.607,positive,True,1.1727257896473569e-07,1494.0,0.10040160642570281,
risk-averse,progress_gap_before,-0.7237663721714596,-0.296,negative,True,0.04352398519380338,1494.0,0.10040160642570281,
risk-seeking,own_prev_unsafe,-0.14807581303284556,-0.193,,True,0.6138820587032503,1494.0,0.7771084337349398,
risk-seeking,opponent_prev_unsafe,-0.10536275242189612,0.607,positive,False,0.7017154087450198,1494.0,0.7771084337349398,
risk-seeking,progress_gap_before,-0.40709349909806564,-0.296,negative,True,0.005133784605218657,1494.0,0.7771084337349398,
