model_slug,seat_persona_role,round_phase,n,unsafe_rate,ci95_low,ci95_high
google-gemini-3-flash-preview,adversarial,round_1,36,1.0,1.0,1.0
google-gemini-3-flash-preview,adversarial,early_r2_4,108,0.7222222222222222,0.6377471898586817,0.8066972545857627
google-gemini-3-flash-preview,adversarial,mid_r5_8,96,0.625,0.5281552466573434,0.7218447533426566
google-gemini-3-flash-preview,adversarial,late_r9plus,12,0.5,0.21709836809708338,0.7829016319029166
google-gemini-3-flash-preview,cooperative,round_1,78,0.0,0.0,0.0
google-gemini-3-flash-preview,cooperative,early_r2_4,234,0.017094017094017096,0.00048567816734816985,0.033702356020686025
google-gemini-3-flash-preview,cooperative,mid_r5_8,246,0.028455284552845527,0.007677397498191626,0.04923317160749943
google-gemini-3-flash-preview,cooperative,late_r9plus,126,0.007936507936507936,0.0,0.02343021213158341
google-gemini-3-flash-preview,neutral,round_1,60,0.95,0.8948523194806284,1.0
google-gemini-3-flash-preview,neutral,early_r2_4,180,0.6555555555555556,0.5861356270434721,0.724975484067639
google-gemini-3-flash-preview,neutral,mid_r5_8,198,0.797979797979798,0.742053403059967,0.853906192899629
google-gemini-3-flash-preview,neutral,late_r9plus,120,0.85,0.786111816429014,0.913888183570986
google-gemini-3-flash-preview,risk-averse,round_1,60,0.13333333333333333,0.04731800308902724,0.21934866357763944
google-gemini-3-flash-preview,risk-averse,early_r2_4,180,0.1388888888888889,0.08836658263357944,0.18941119514419835
google-gemini-3-flash-preview,risk-averse,mid_r5_8,198,0.13131313131313133,0.08426859596764485,0.1783576666586178
google-gemini-3-flash-preview,risk-averse,late_r9plus,120,0.125,0.06582687828639314,0.18417312171360686
google-gemini-3-flash-preview,risk-seeking,round_1,60,1.0,1.0,1.0
google-gemini-3-flash-preview,risk-seeking,early_r2_4,180,1.0,1.0,1.0
google-gemini-3-flash-preview,risk-seeking,mid_r5_8,198,1.0,1.0,1.0
google-gemini-3-flash-preview,risk-seeking,late_r9plus,120,1.0,1.0,1.0
gpt-5-nano,adversarial,round_1,120,0.08333333333333333,0.033881710883074304,0.13278495578359234
gpt-5-nano,adversarial,early_r2_4,360,0.5555555555555556,0.504224841069421,0.6068862700416902
gpt-5-nano,adversarial,mid_r5_8,396,0.4772727272727273,0.42807677547862516,0.5264686790668295
gpt-5-nano,adversarial,late_r9plus,240,0.4666666666666667,0.4035486701721527,0.5297846631611807
gpt-5-nano,cooperative,round_1,120,0.0,0.0,0.0
gpt-5-nano,cooperative,early_r2_4,360,0.002777777777777778,0.0,0.008214655235320866
gpt-5-nano,cooperative,mid_r5_8,396,0.015151515151515152,0.0031199750982750067,0.027183055204755297
gpt-5-nano,cooperative,late_r9plus,240,0.016666666666666666,0.00047001634996594877,0.032863316983367384
gpt-5-nano,neutral,round_1,60,0.0,0.0,0.0
gpt-5-nano,neutral,early_r2_4,180,0.016666666666666666,0.0,0.035368947507301456
gpt-5-nano,neutral,mid_r5_8,198,0.020202020202020204,0.0006050403285707377,0.03979900007546967
gpt-5-nano,neutral,late_r9plus,120,0.008333333333333333,0.0,0.024598468734848736
gpt-5-nano,risk-averse,round_1,60,0.0,0.0,0.0
gpt-5-nano,risk-averse,early_r2_4,180,0.10555555555555556,0.06066685307458335,0.15044425803652775
gpt-5-nano,risk-averse,mid_r5_8,198,0.03535353535353535,0.009630394869049822,0.061076675838020886
gpt-5-nano,risk-averse,late_r9plus,120,0.03333333333333333,0.0012157253784942784,0.06545094128817239
gpt-5-nano,risk-seeking,round_1,60,0.43333333333333335,0.3079455201148881,0.5587211465517785
gpt-5-nano,risk-seeking,early_r2_4,180,0.4111111111111111,0.3392297807702117,0.4829924414520105
gpt-5-nano,risk-seeking,mid_r5_8,198,0.43434343434343436,0.36530093206881187,0.5033859366180569
gpt-5-nano,risk-seeking,late_r9plus,120,0.35833333333333334,0.27253797495936,0.4441286917073067
gpt-5.4-nano,adversarial,round_1,120,0.8166666666666667,0.7474343952363041,0.8858989380970292
gpt-5.4-nano,adversarial,early_r2_4,360,0.7416666666666667,0.6964499081924729,0.7868834251408605
