scope,residual_signature,n,events,unsafe_rate,best_formula,gap_only_formula,best_bic,gap_only_bic,lag_bic_lift,second_bic,bic_margin,formula_text,gap_only_formula_text,archetype,gap_only_archetype,p_gap_neg2,p_gap_0,p_gap_pos2,effect_pos_minus_neg,gap_only_p_gap_neg2,gap_only_p_gap_0,gap_only_p_gap_pos2,gap_only_effect_pos_minus_neg,payload_json,gap_only_payload_json,model_slug,family
signature,ambiguous_AS|AU,395,211,0.5341772151898734,gap_plus_lag,constant,418.42808044344497,551.7181607338543,133.29008029040938,551.7181607338543,133.29008029040938,logit P(U) = 1.97 + -0.67*gap + -2.53*opp_prevU + -1.15*own_prevU,P(U) = 0.53,catch-up rule: unsafe rises when behind,mixed residual not explained by gap,0.9648864392913088,0.877176824993824,0.6498779438005107,-0.3150084954907981,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.0,"{""coef"": [-0.6737300683217746, -2.530556809045476, -1.147603968122462], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": 1.9659628774430165}","{""p"": 0.5340909090909091}",,
signature,ambiguous_AS|AU|CAS,149,66,0.4429530201342282,constant,constant,209.6180659670405,209.6180659670405,0.0,211.8812445806134,2.2631786135729044,P(U) = 0.44,P(U) = 0.44,mixed residual not explained by gap,mixed residual not explained by gap,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.0,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.0,"{""p"": 0.44333333333333336}","{""p"": 0.44333333333333336}",,
signature,ambiguous_AS|AU|CS,444,245,0.5518018018018018,gap_plus_lag,abs_gap,588.6194169730411,589.839578384026,1.2201614109849288,589.839578384026,1.2201614109849288,logit P(U) = 1.26 + -0.60*gap + -1.04*opp_prevU + -0.50*own_prevU,logit P(U) = 0.94 + -0.60*|gap|,catch-up rule: unsafe rises when behind,gap magnitude is weak,0.9219028201267926,0.7788671429216979,0.512414380053106,-0.40948844007368657,0.4360475947603772,0.7191496444293471,0.4360475947603772,0.0,"{""coef"": [-0.6047045354384283, -1.042346638459466, -0.5021383573729188], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": 1.2590767989448393}","{""coef"": [-0.5987329699834852], ""features"": [""abs_gap""], ""intercept"": 0.9402474795884854}",,
signature,ambiguous_AS|CAS,489,115,0.23517382413087934,step_low_gap,step_low_gap,513.242748696935,513.242748696935,0.0,513.242748696935,0.0,"P(U)= 0.46 if gap <= -0.50, else 0.17","P(U)= 0.46 if gap <= -0.50, else 0.17",threshold rule concentrated on behind/low-gap side,threshold rule concentrated on behind/low-gap side,0.46120689655172414,0.16666666666666666,0.16666666666666666,-0.29454022988505746,0.46120689655172414,0.16666666666666666,0.16666666666666666,-0.29454022988505746,"{""loglik"": -247.33283061425522, ""n_left"": 115, ""n_right"": 374, ""p_left"": 0.46120689655172414, ""p_right"": 0.16666666666666666, ""threshold"": -0.5}","{""loglik"": -247.33283061425522, ""n_left"": 115, ""n_right"": 374, ""p_left"": 0.46120689655172414, ""p_right"": 0.16666666666666666, ""threshold"": -0.5}",,
signature,ambiguous_AS|CS,12300,964,0.0783739837398374,step_low_gap,step_low_gap,5937.417626593561,5937.417626593561,0.0,5937.417626593561,0.0,"P(U)= 0.05 if gap <= 0.00, else 0.32","P(U)= 0.05 if gap <= 0.00, else 0.32",threshold rule concentrated on above-threshold side,threshold rule concentrated on above-threshold side,0.0476865398683248,0.0476865398683248,0.3246705710102489,0.27698403114192405,0.0476865398683248,0.0476865398683248,0.3246705710102489,0.27698403114192405,"{""loglik"": -2954.58278148474, ""n_left"": 10935, ""n_right"": 1365, ""p_left"": 0.0476865398683248, ""p_right"": 0.3246705710102489, ""threshold"": 0.0}","{""loglik"": -2954.58278148474, ""n_left"": 10935, ""n_right"": 1365, ""p_left"": 0.0476865398683248, ""p_right"": 0.3246705710102489, ""threshold"": 0.0}",,
signature,ambiguous_AU|CAS,3980,3278,0.8236180904522613,gap_plus_lag,abs_gap,3200.844898595687,3337.2557599407983,136.41086134511124,3337.2557599407983,136.41086134511124,logit P(U) = 0.07 + 0.38*gap + 2.65*opp_prevU + -0.61*own_prevU,logit P(U) = 2.11 + -1.33*|gap|,leader-pressure rule: unsafe rises when ahead,gap magnitude is weak,0.3319838049726235,0.5174617563568552,0.6982497408581273,0.3662659358855038,0.3666903461103965,0.8914155424379794,0.3666903461103965,0.0,"{""coef"": [0.384550836173204, 2.649272680773627, -0.6120395607096563], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": 0.06987544257443996}","{""coef"": [-1.3258620771592486], ""features"": [""abs_gap""], ""intercept"": 2.105282415460625}",,
signature,ambiguous_AU|CS,553,397,0.7179023508137432,linear_gap,linear_gap,633.4334971142978,633.4334971142978,0.0,639.7042751885622,6.270778074264399,logit P(U) = 0.96 + -0.62*gap,logit P(U) = 0.96 + -0.62*gap,catch-up rule: unsafe rises when behind,catch-up rule: unsafe rises when behind,0.8994311548073297,0.722639905083089,0.43150063901616975,-0.46793051579115996,0.8994311548073297,0.722639905083089,0.43150063901616975,-0.46793051579115996,"{""coef"": [-0.6166627978061577], ""features"": [""gap""], ""intercept"": 0.9575943979018618}","{""coef"": [-0.6166627978061577], ""features"": [""gap""], ""intercept"": 0.9575943979018618}",,
signature,near_AS,10454,2767,0.2646833747847714,gap_plus_lag,abs_gap,11152.77480217062,12041.434564382482,888.6597622118625,12041.434564382482,888.6597622118625,logit P(U) = -0.32 + 0.03*gap + -1.06*opp_prevU + -1.03*own_prevU,logit P(U) = -0.87 + -0.18*|gap|,gap effect is present but shallow,gap magnitude is weak,0.4064051671118038,0.41971979794625114,0.4331523327285758,0.026747165616771984,0.22514108723561801,0.2950772600307258,0.22514108723561801,0.0,"{""coef"": [0.027461311797992015, -1.0593509995670864, -1.0273755693447186], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": -0.3239237529827706}","{""coef"": [-0.18255135850743623], ""features"": [""abs_gap""], ""intercept"": -0.8708509876512656}",,
signature,near_AU,9462,6829,0.7217290213485521,gap_plus_lag,step_low_gap,10607.668473495896,11104.152780153438,496.4843066575413,11104.152780153438,496.4843066575413,logit P(U) = 2.15 + -0.28*gap + -0.96*opp_prevU + -0.75*own_prevU,"P(U)= 0.76 if gap <= 1.00, else 0.66",gap effect is present but shallow,threshold rule concentrated on behind/low-gap side,0.9378559363036616,0.8955987149335669,0.8298210969739913,-0.10803483932967028,0.761411149825784,0.761411149825784,0.6604457572502686,-0.1009653925755154,"{""coef"": [-0.28244529405679714, -0.9615004751496583, -0.7492645686589535], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": 2.149250465418843}","{""loglik"": -5538.343831492432, ""n_left"": 5739, ""n_right"": 3723, ""p_left"": 0.761411149825784, ""p_right"": 0.6604457572502686, ""threshold"": 1.0}",,
signature,near_CAS,2645,1272,0.48090737240075615,gap_plus_lag,step_low_gap,2961.7280647036414,3376.215461909432,414.4873972057908,3376.215461909432,414.4873972057908,logit P(U) = -0.34 + -0.15*gap + 2.11*opp_prevU + -0.86*own_prevU,"P(U)= 0.69 if gap <= 0.00, else 0.34",catch-up rule: unsafe rises when behind,threshold rule concentrated on behind/low-gap side,0.48680014179278774,0.41481432171765487,0.34629058215053493,-0.1405095596422528,0.6871482176360225,0.6871482176360225,0.34187223276407336,-0.34527598487194916,"{""coef"": [-0.14564324451079375, 2.1088609162914342, -0.8569793583062687], ""features"": [""gap"", ""opp_prev_unsafe"", ""own_prev_unsafe""], ""intercept"": -0.34409819308297884}","{""loglik"": -1676.2870914382775, ""n_left"": 1065, ""n_right"": 1580, ""p_left"": 0.6871482176360225, ""p_right"": 0.34187223276407336, ""threshold"": 0.0}",,
