strategy_macro,round,n_at_risk,events,hazard,survival_no_unsafe
catchup_attack,1,781,357,0.45710627400768244,0.5428937259923176
catchup_attack,2,424,363,0.8561320754716981,0.07810499359795134
catchup_attack,3,61,36,0.5901639344262295,0.03201024327784891
catchup_attack,4,25,16,0.64,0.011523687580025607
catchup_attack,5,9,7,0.7777777777777778,0.0025608194622279124
catchup_attack,6,2,2,1.0,0.0
mixed_adaptive,1,244,28,0.11475409836065574,0.8852459016393442
mixed_adaptive,2,216,52,0.24074074074074073,0.6721311475409836
mixed_adaptive,3,164,34,0.2073170731707317,0.5327868852459017
mixed_adaptive,4,130,40,0.3076923076923077,0.36885245901639346
mixed_adaptive,5,90,38,0.4222222222222222,0.21311475409836064
mixed_adaptive,6,52,26,0.5,0.10655737704918032
mixed_adaptive,7,26,12,0.46153846153846156,0.05737704918032786
mixed_adaptive,8,14,5,0.35714285714285715,0.03688524590163934
mixed_adaptive,9,9,4,0.4444444444444444,0.02049180327868852
mixed_adaptive,10,5,3,0.6,0.008196721311475409
mixed_adaptive,11,2,1,0.5,0.004098360655737704
mixed_adaptive,12,1,1,1.0,0.0
probe_cooldown,1,1798,711,0.39543937708565075,0.6045606229143492
probe_cooldown,2,1086,805,0.7412523020257827,0.15642866946494668
probe_cooldown,3,281,119,0.4234875444839858,0.09018307634633936
probe_cooldown,4,162,135,0.8333333333333334,0.01503051272438989
probe_cooldown,5,27,21,0.7777777777777778,0.0033401139387533086
probe_cooldown,6,6,6,1.0,0.0
probe_cooldown,10,1,1,1.0,0.0
stable_safe,1,2618,108,0.04125286478227655,0.9587471352177235
stable_safe,2,2510,74,0.02948207171314741,0.93048128342246
stable_safe,3,2436,45,0.01847290640394089,0.9132925897631781
stable_safe,4,2391,49,0.020493517356754497,0.894576012223071
stable_safe,5,2342,78,0.033304867634500426,0.8647822765469824
stable_safe,6,1792,44,0.024553571428571428,0.8435487831496234
stable_safe,7,1748,33,0.01887871853546911,0.8276236631016043
stable_safe,8,1498,16,0.010680907877169559,0.8187838909990505
stable_safe,9,1284,24,0.018691588785046728,0.8034795192046756
stable_safe,10,843,10,0.011862396204033215,0.7939483268060437
stable_safe,11,616,7,0.011363636363636364,0.7849261867287023
stable_safe,12,401,8,0.0199501246882793,0.7692668114323691
stable_safe,13,393,2,0.005089058524173028,0.7653519676082857
stable_safe,14,194,1,0.005154639175257732,0.7614068543731914
stable_safe,15,193,3,0.015544041450777202,0.7495715146679086
stable_safe,16,190,2,0.010526315789473684,0.7416812881977201
stable_unsafe,1,1333,1136,0.8522130532633159,0.14778694673668413
stable_unsafe,2,197,159,0.8071065989847716,0.02850712678169542
stable_unsafe,3,38,27,0.7105263157894737,0.008252063015753939
stable_unsafe,4,11,10,0.9090909090909091,0.0007501875468867219
stable_unsafe,5,1,1,1.0,0.0
