provider,family,persona_mode,experiment_mode,condition,model_slug,max_private_risk,players,unsafe_frequency_mean,unsafe_frequency_sd,final_payoff_mean,final_payoff_sd,setback_rate
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3-flash-preview,0.1,20,1.0,0.0,62.6,22.234160535915045,0.1
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3-flash-preview,0.6,20,0.7234827672327672,0.06699991739904615,31.310000000000002,37.35302284674527,0.45
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3-flash-preview,0.9,20,0.5389780358530358,0.09894263865191523,24.79,30.677780404167372,0.5
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3.1-flash-lite-preview,0.1,20,1.0,0.0,62.6,22.234160535915045,0.1
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3.1-flash-lite-preview,0.6,20,0.8011124986124987,0.05450682877285262,28.310000000000002,36.79339042474027,0.5
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3.1-flash-lite-preview,0.9,20,0.6994394494394494,0.0635507215255753,24.36,35.74062114737236,0.55
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3.5-flash-lite,0.1,20,0.8380462592962592,0.09549133350922777,61.0,27.101291482141583,0.1
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3.5-flash-lite,0.6,20,0.7076616439116439,0.10040138167251997,38.160000000000004,40.84195984781493,0.35
provider_google,family_gemini,persona_none,mode_baseline,condition_nonpersona,google-gemini-3.5-flash-lite,0.9,20,0.6259720834720834,0.06251217799387664,32.45,40.721900224507415,0.5
provider_google,family_gemini,persona_risk_aware,mode_risk_matrix,condition_R1_R1,google-gemini-3-flash-preview,0.1,20,0.0,0.0,59.3,3.3419187681078593,0.0
provider_google,family_gemini,persona_risk_aware,mode_risk_matrix,condition_R1_R1,google-gemini-3-flash-preview,0.6,20,0.0,0.0,59.3,3.3419187681078593,0.0
