model_slug,family,term,coef,odds_ratio,ci95_low,ci95_high,p_value,n,clusters
google-gemini-3-flash-preview,family_gemini,own_prev_unsafe,-0.7780945342950596,0.4592803209576964,-1.4025412117480056,-0.15364785684211346,0.014597176920087374,498,30
google-gemini-3-flash-preview,family_gemini,opponent_prev_unsafe,0.24182188570543503,1.2735673320662915,-0.3813690284928857,0.8650127999037558,0.44693132359484766,498,30
google-gemini-3-flash-preview,family_gemini,progress_gap_before,-50.51995491205226,1.1467331191862906e-22,-51.969732485636044,-49.07017733846848,0.0,498,30
google-gemini-3.1-flash-lite-preview,family_gemini,own_prev_unsafe,-2.971422101922991,0.051230403648294835,-5.078133900355616,-0.8647103034903658,0.005702043182110948,498,30
google-gemini-3.1-flash-lite-preview,family_gemini,opponent_prev_unsafe,-0.8306547781918084,0.43576386421258234,-1.9574319771154212,0.29612242073180417,0.14849268959608694,498,30
google-gemini-3.1-flash-lite-preview,family_gemini,progress_gap_before,-52.628876582458176,1.3917758983750467e-23,-55.10836180646412,-50.149391358452235,0.0,498,30
google-gemini-3.5-flash-lite,family_gemini,own_prev_unsafe,-0.6021761785718196,0.5476186225476692,-1.163453011777737,-0.04089934536590212,0.03548470546403733,498,30
google-gemini-3.5-flash-lite,family_gemini,opponent_prev_unsafe,0.9403446812189674,2.5608639479320274,0.5045561491165019,1.3761332133214328,2.3451219059886282e-05,498,30
google-gemini-3.5-flash-lite,family_gemini,progress_gap_before,-6.070918240158325,0.0023090519725993157,-7.798767080950914,-4.343069399365736,5.719337352866259e-12,498,30
gpt-5-nano,family_chatgpt,own_prev_unsafe,0.2151652836987391,1.2400668428629595,-0.7026676229856614,1.1329981903831396,0.6458970651481128,498,30
gpt-5-nano,family_chatgpt,opponent_prev_unsafe,-1.7279006657829743,0.17765698013568873,-3.1175532071273597,-0.33824812443858887,0.014808505535965895,498,30
gpt-5-nano,family_chatgpt,progress_gap_before,-1.7454148733579906,0.17457254844164297,-3.4552670862857493,-0.03556266043023171,0.04542164142003592,498,30
gpt-5.4-nano,family_chatgpt,own_prev_unsafe,-0.19791549521890453,0.8204391812419246,-0.5752383224942298,0.17940733205642076,0.3039256727607117,498,30
gpt-5.4-nano,family_chatgpt,opponent_prev_unsafe,-0.3812385934708067,0.6830149072800712,-0.8283349474024462,0.06585776046083286,0.0946704836144906,498,30
gpt-5.4-nano,family_chatgpt,progress_gap_before,-0.012420914802845625,0.9876559063674073,-0.16763033048359696,0.1427885008779057,0.8753633260892941,498,30
