state,unsafe_emission_prob,ahead_emission_prob,tied_emission_prob,behind_emission_prob,own_prev_unsafe_prob,opponent_prev_unsafe_prob,self_transition_prob,top_tokens
0,0.14434111005092978,7.962699143704612e-07,0.0036478877232347705,0.996351316006851,0.11549444614978359,0.7347453348513189,0.9939295862894699,a0_gbehind_pSU:0.57; a0_gbehind_pSS:0.21; a1_gbehind_pSU:0.07; a0_gbehind_pUU:0.06; a1_gbehind_pSS:0.04; a1_gbehind_pUU:0.03
1,0.5286826709365267,0.008206592841255888,0.9795635846403786,0.012229822518365421,0.48666028984344833,0.4152275488672051,0.7769739142852674,a1_gtied_pSS:0.23; a0_gtied_pUU:0.17; a0_gtied_pUS:0.17; a1_gtied_pSU:0.14; a1_gtied_pUS:0.10; a0_gtied_pSS:0.07
2,9.570311032781592e-07,5.471420630570476e-07,0.9999988682501231,5.846078138708467e-07,9.531023176521334e-07,0.10441968593225742,0.8715163807171344,a0_gtied_pSS:0.90; a0_gtied_pSU:0.10; a0_gtied_pUU:0.00; a0_gtied_pUS:0.00; a1_gtied_pSS:0.00; a1_gbehind_pSU:0.00
3,0.6682027255651833,0.9956963379840359,0.004302864794150023,7.972218140324089e-07,0.7355531175072225,0.11688031423336649,0.9921765484037292,a1_gahead_pUS:0.45; a0_gahead_pUS:0.19; a1_gahead_pSS:0.14; a0_gahead_pSS:0.10; a1_gahead_pUU:0.07; a0_gahead_pUU:0.03
4,0.3454390343352484,1.180982369068268e-06,0.9999976380351069,1.1809825239165886e-06,1.7714739146919886e-06,1.771473788999394e-06,1.4841200060816552e-07,a0_gtied_p??:0.65; a1_gtied_p??:0.35; a1_gbehind_pUS:0.00; a0_gahead_pSU:0.00; a0_gtied_pSU:0.00; a0_gtied_pUS:0.00
5,0.989930348643794,0.001953353522044335,0.9980450340531517,1.6124248038696651e-06,0.9847329514776337,0.9041033460233109,0.8698369769980633,a1_gtied_pUU:0.88; a1_gtied_pUS:0.09; a1_gtied_pSU:0.02; a0_gtied_pUU:0.00; a0_gtied_pUS:0.00; a0_gahead_pUS:0.00
